#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA10851	EUR	EUR	0	0	4e-4	0	0.9996	0.1665	13.9014	-6.7042	9.18	-1.3325	NA	NA	NA	NA	NA
NA19213	AFR	AFR	0	0.9999	1e-4	0	0	63.577	-18.7219	-1.6261	0.1573	0.3773	NA	NA	NA	NA	NA
HG03470	AFR	AFR	0	0.9979	0.0021	0	0	63.0502	-18.49	0.1194	0.2251	1.7556	NA	NA	NA	NA	NA
NA20821	EUR	EUR	0	0	0.0059	0	0.9941	2.1119	11.9882	-4.1634	8.8934	5.0779	NA	NA	NA	NA	NA
HG02187	EAS	EAS	1	0	0	0	0	-6.3555	-44.4387	-1.101	7.0146	8.5223	NA	NA	NA	NA	NA
HG03652	SAS	SAS	0	0	0	1	0	1.9766	-5.0149	16.8018	-3.0876	4.7132	NA	NA	NA	NA	NA
NA20530	EUR	EUR	0	0	4e-4	0	0.9996	1.3376	13.2518	-5.3435	11.2	3.9006	NA	NA	NA	NA	NA
HG02182	EAS	EAS	1	0	0	0	0	-8.3265	-44.6595	-2.4499	8.3558	4.744	NA	NA	NA	NA	NA
HG01954	AMR	AMR	0	9e-4	0.9991	0	0	-6.9314	-22.7577	-21.3502	-32.6418	-0.1766	NA	NA	NA	NA	NA
NA18499	AFR	AFR	0	0.9999	1e-4	0	0	63.6673	-17.8829	0.026	1.804	1.1004	NA	NA	NA	NA	NA
NA18526	EAS	EAS	0.9999	0	1e-4	0	0	-6.9463	-44.2568	-3.1506	7.6566	-1.9371	NA	NA	NA	NA	NA
HG02215	EUR	EUR	0	0	0.0198	0	0.9802	0.0865	12.4087	-6.4451	10.2121	-3.4403	NA	NA	NA	NA	NA
HG01986	AFR	AFR	0	0.9997	3e-4	0	0	54.9709	-13.8228	-2.1429	2.7603	2.0293	NA	NA	NA	NA	NA
NA19026	AFR	AFR	0	0.9963	0.0037	0	0	59.7443	-15.458	-0.6494	0.8684	0.436	NA	NA	NA	NA	NA
HG02105	AMR	AMR	0	0.0064	0.9936	0	0	-8.173	-25.1239	-22.1329	-39.2337	2.4737	NA	NA	NA	NA	NA
NA21088	SAS	SAS	0	0	0	1	0	1.3028	-5.5253	18.6494	-4.9844	6.4507	NA	NA	NA	NA	NA
NA12282	EUR	EUR	0	0	5e-4	0	0.9995	-1.2559	12.8509	-6.7373	7.3535	-1.6865	NA	NA	NA	NA	NA
NA18616	EAS	EAS	1	0	0	0	0	-8.4598	-43.769	-1.0784	7.5388	3.9869	NA	NA	NA	NA	NA
HG02882	AFR	AFR	0	0.998	0.002	0	0	60.8624	-16.9494	-0.274	1.8026	-2.4382	NA	NA	NA	NA	NA
NA19350	AFR	AFR	0	0.9992	8e-4	0	0	59.7963	-16.8363	0.6086	2.4691	1.4649	NA	NA	NA	NA	NA
HG03738	SAS	SAS	0	0	0	1	0	1.4089	-6.8388	19.1237	-7.2946	-0.878	NA	NA	NA	NA	NA
HG02621	AFR	AFR	0	0.9992	8e-4	0	0	61.6401	-16.9535	-0.3202	2.0615	-0.9858	NA	NA	NA	NA	NA
NA20882	SAS	SAS	0	0	0	1	0	0.9525	-1.3083	12.6591	-2.2401	5.2309	NA	NA	NA	NA	NA
HG01765	EUR	EUR	0	0	0.0277	0	0.9723	1.6115	11.8922	-4.8933	8.6043	0.7087	NA	NA	NA	NA	NA
NA20356	AFR	AFR	0	0.9998	2e-4	0	0	55.0444	-13.9073	-0.5239	1.5087	1.7123	NA	NA	NA	NA	NA
NA20539	EUR	EUR	0	0	0.0682	0	0.9318	2.2012	12.4686	-4.6843	7.6927	2.2566	NA	NA	NA	NA	NA
NA18533	EAS	EAS	1	0	0	0	0	-8.2141	-45.1902	-2.5167	6.7469	4.9519	NA	NA	NA	NA	NA
NA18968	EAS	EAS	1	0	0	0	0	-6.7825	-43.0717	-3.5015	4.4333	-7.9303	NA	NA	NA	NA	NA
HG01284	AMR	AMR	6e-4	5e-4	0.9953	0	0.0036	2.3403	2.7131	-8.2126	-1.1204	3.4832	NA	NA	NA	NA	NA
HG01438	EUR	AMR	0	0	0.0986	0	0.9014	2.2441	11.0847	-6.6244	5.4078	4.8715	NA	NA	NA	NA	NA
NA18602	EAS	EAS	1	0	0	0	0	-7.5227	-43.5751	-3.285	6.2598	-0.9681	NA	NA	NA	NA	NA
HG02386	EAS	EAS	0.9999	0	1e-4	0	0	-8.2957	-43.7641	-2.5477	7.8759	7.4033	NA	NA	NA	NA	NA
HG01303	AMR	AMR	0	0.0042	0.9958	0	0	5.8232	1.4448	-8.2846	-0.3912	2.3838	NA	NA	NA	NA	NA
HG00306	EUR	EUR	0	0	0.072	0	0.928	-1.0238	9.3598	-6.4478	9.1211	-4.125	NA	NA	NA	NA	NA
HG00596	EAS	EAS	1	0	0	0	0	-7.3753	-46.1042	-1.0771	7.0942	0.1329	NA	NA	NA	NA	NA
HG03237	SAS	SAS	0	0	0	1	0	2.3607	-2.093	12.8831	-2.1623	-0.3209	NA	NA	NA	NA	NA
NA19795	AMR	AMR	0	0.0135	0.9865	0	0	1.4295	-7.6408	-13.5432	-14.9061	0.7639	NA	NA	NA	NA	NA
HG02476	AFR	AFR	0	0.9674	0.0326	0	0	52.4243	-14.2488	-0.4943	1.0906	0.0155	NA	NA	NA	NA	NA
HG03691	SAS	SAS	0	0	0	1	0	0.9524	-11.3022	18.7984	-4.1748	3.2587	NA	NA	NA	NA	NA
NA20127	AFR	AFR	0	0.9969	0.0031	0	0	55.4116	-15.584	-2.0124	2.9889	-0.8947	NA	NA	NA	NA	NA
HG00736	EUR	AMR	0	0	0.0332	0	0.9668	3.45	8.0719	-5.6247	4.1993	4.5001	NA	NA	NA	NA	NA
HG00253	EUR	EUR	0	0	0.0241	0	0.9759	-0.1973	12.8003	-5.0063	9.6488	4.2018	NA	NA	NA	NA	NA
HG02104	AMR	AMR	0	3e-4	0.9997	0	0	-6.107	-22.1062	-23.4025	-36.4479	0.58	NA	NA	NA	NA	NA
HG02013	AFR	AFR	0	0.9998	2e-4	0	0	60.0589	-16.9677	0.248	2.372	1.2396	NA	NA	NA	NA	NA
