Other_Description_USE	n
Lymphomas	1
Melanocytic Tumors	1
Chordoma	3
Tumors of the pineal region	4
Metastatic Tumors	5
Histiocytic Tumors	6
Cysts/Benign Lesions	13
Germ Cell Tumors	13
Other Dysplasia	16
Choroid plexus tumors	17
0	18
Mesenchymal, non-meningothelial tumors	19
Meningiomas	26
Tumors of the cranial and paraspinal nerves	28
NA	40
Tumors of the sellar region	41
Ependymal Tumors	69
Diffuse astrocytic and oligodendroglial tumors	72
Neuronal and Mixed neuronal-glial tumors	75
Embryonal Tumors	145
Other astrocytic tumors	226
