Hugo_symbol	count_with_plp_PMBB_noTumor	count_without_plp_PMBB_noTumor
ABCB11	15	6280
APC	1	6294
ASXL1	24	6271
ATM	30	6265
BAP1	1	6294
BLM	14	6281
BRCA1	18	6277
BRCA2	19	6276
BRIP1	15	6280
BUB1B	3	6292
CDKN2A	2	6293
CHEK2	16	6279
COL7A1	33	6262
CREBBP	0	6295
CTNNA1	0	6295
EDNRB	3	6292
EGFR	2	6293
ELP1	15	6280
EPCAM	1	6294
ERCC2	25	6270
ERCC3	25	6270
ERCC4	3	6292
ERCC5	11	6284
EXT2	1	6294
EZH2	7	6288
FAH	9	6286
FANCA	21	6274
FANCC	9	6286
FANCD2	9	6286
FANCG	6	6289
FANCI	12	6283
FGFR1	1	6294
FGFR2	1	6294
FH	5	6290
GBA	9	6286
GJB2	32	6263
HMBS	3	6292
KIF1B	1	6294
LZTR1	10	6285
MPL	17	6278
MSH2	0	6295
MSH3	10	6285
MSH6	4	6291
MTAP	2	6293
MUTYH	18	6277
NBN	16	6279
NF1	6	6289
NF2	0	6295
NTHL1	6	6289
PMS2	19	6276
POLE	5	6290
POLH	4	6291
PRF1	7	6288
PTCH1	0	6295
PTCH2	4	6291
PTPN11	5	6290
RAD50	9	6286
RAD51D	4	6291
RECQL4	23	6272
SDHA	2	6293
SLX4	6	6289
SMARCB1	1	6294
SMARCE1	0	6295
SOS1	3	6292
SOS2	1	6294
SUFU	9	6286
TERT	3	6292
TP53	4	6291
TSC1	0	6295
TSC2	0	6295
VHL	3	6292
WRN	16	6279
XPC	9	6286
