Hugo_symbol	count_with_plp_gnomAD	count_without_plp_gnomAD
ABCB11	54	73969
APC	11	74012
ASXL1	56	73967
ATM	127	73896
BAP1	7	74016
BLM	69	73954
BRCA1	49	73974
BRCA2	108	73915
BRIP1	69	73954
BUB1B	19	74004
CDKN2A	14	74009
CHEK2	88	73935
COL7A1	132	73891
CREBBP	3	74020
CTNNA1	5	74018
EDNRB	13	74010
EGFR	37	73986
ELP1	36	73987
EPCAM	11	74012
ERCC2	100	73923
ERCC3	54	73969
ERCC4	39	73984
ERCC5	82	73941
EXT2	40	73983
EZH2	32	73991
FAH	62	73961
FANCA	124	73899
FANCC	82	73941
FANCD2	56	73967
FANCG	29	73994
FANCI	69	73954
FGFR1	20	74003
FGFR2	10	74013
FH	23	74000
GBA	78	73945
GJB2	188	73835
HMBS	22	74001
KIF1B	10	74013
LZTR1	93	73930
MPL	68	73955
MSH2	8	74015
MSH3	64	73959
MSH6	41	73982
MTAP	5	74018
MUTYH	73	73950
NBN	44	73979
NF1	23	74000
NF2	1	74022
NTHL1	38	73985
PMS2	53	73970
POLE	17	74006
POLH	26	73997
PRF1	41	73982
PTCH1	3	74020
PTCH2	14	74009
PTPN11	10	74013
RAD50	86	73937
RAD51D	19	74004
RECQL4	114	73909
RMRP	110	73913
SDHA	49	73974
SLX4	38	73985
SMARCB1	6	74017
SMARCE1	1	74022
SOS1	5	74018
SOS2	4	74019
SUFU	1	74022
TERT	12	74011
TP53	22	74001
TSC1	1	74022
TSC2	2	74021
VHL	10	74013
WRN	50	73973
XPC	47	73976
