pathway_id,control_cohort,pathway_name,genes,count_with_plp_control,count_with_plp_case,count_without_plp_control,count_without_plp_case,case_cohort,p,OR,ci.int1,ci.int2,FDR,ntests,ngenes,contains_overrepresented_gene,FDR.filtered,ntests.filtered
path:hsa02010,gnomAD,ABC transporters,"ABCC5,ABCB6,ABCC9,ABCC4,ABCA7,ABCA10,ABCA9,ABCA8,CFTR,ABCB8,ABCC2,ABCA13,DEFB1,ABCA1,ABCA2,ABCA3,ABCD1,ABCB7,ABCD2,ABCB10,ABCB9,ABCA6,ABCA5,ABCA4,ABCA12,ABCB5,ABCC6,ABCC1,ABCB1,ABCB4,ABCD3,ABCD4,ABCG4,ABCG5,ABCG8,ABCC8,TAP1,TAP2,ABCC11,ABCB11,ABCC3,ABCC10,ABCC12,ABCG2,ABCG1",2126,55,71897,783,PBTA,3.77E-08,2.375405458,1.767223761,3.136150496,1.33E-05,353,45,FALSE,1.27E-05,336
path:hsa05221,PMBB_noCancer,Acute myeloid leukemia,"AKT3,CEBPA,CEBPE,PIM2,CHUK,CSF1R,CSF2,DUSP6,EIF4EBP1,AKT1,AKT2,FCGR1A,FLT3,MTOR,GRB2,HRAS,IKBKB,IL3,ITGAM,ARAF,JUP,KIT,KRAS,MPO,MYC,NFKB1,NRAS,LEF1,PIK3CA,PIK3CB,PIM1,PIK3CD,PIK3R1,PIK3R2,PML,PPARD,MAPK1,MAPK3,MAP2K1,MAP2K2,BAD,RAF1,RARA,CCND1,BCL2A1,RELA,RPS6KB1,RPS6KB2,SOS1,SOS2,SPI1,BRAF,STAT3,STAT5A,STAT5B,TCF7,TCF7L2,ZBTB16,TCF7L1,PIK3R3,IKBKG,RUNX1,RUNX1T1,PER2,CCNA2,CCNA1,CD14",471,9,7598,829,PBTA,1.02E-11,0.175150715,0.07928682,0.337146888,3.59E-09,353,67,FALSE,3.42E-09,336
path:hsa05221,PMBB_noTumor,Acute myeloid leukemia,"AKT3,CEBPA,CEBPE,PIM2,CHUK,CSF1R,CSF2,DUSP6,EIF4EBP1,AKT1,AKT2,FCGR1A,FLT3,MTOR,GRB2,HRAS,IKBKB,IL3,ITGAM,ARAF,JUP,KIT,KRAS,MPO,MYC,NFKB1,NRAS,LEF1,PIK3CA,PIK3CB,PIM1,PIK3CD,PIK3R1,PIK3R2,PML,PPARD,MAPK1,MAPK3,MAP2K1,MAP2K2,BAD,RAF1,RARA,CCND1,BCL2A1,RELA,RPS6KB1,RPS6KB2,SOS1,SOS2,SPI1,BRAF,STAT3,STAT5A,STAT5B,TCF7,TCF7L2,ZBTB16,TCF7L1,PIK3R3,IKBKG,RUNX1,RUNX1T1,PER2,CCNA2,CCNA1,CD14",369,9,5926,829,PBTA,1.21E-11,0.1743738,0.078793322,0.336460584,4.29E-09,353,67,FALSE,4.08E-09,336
path:hsa00010,gnomAD,Glycolysis / Gluconeogenesis,"AKR1A1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,GALM,ADH7,LDHAL6A,DLAT,DLD,ENO1,ENO2,ENO3,ALDH2,ALDH3A1,ALDH1B1,FBP1,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,ALDOA,ALDOB,ALDOC,G6PC1,GAPDH,GAPDHS,GCK,GPI,HK1,HK2,HK3,ENO4,LDHA,LDHB,LDHC,PGAM4,ALDH7A1,PCK1,PCK2,PDHA1,PDHA2,PDHB,PFKL,PFKM,PFKP,PGAM1,PGAM2,PGK1,PGK2,PGM1,PKLR,PKM,PGM2,ACSS2,G6PC2,BPGM,TPI1,HKDC1,ADPGK,ACSS1,FBP2,LDHAL6B,G6PC3,MINPP1",1339,68,72684,770,PBTA,1.36E-23,4.792874786,3.662767341,6.188033131,4.79E-21,353,67,TRUE,NA,NA
path:hsa00010,PMBB_noCancer,Glycolysis / Gluconeogenesis,"AKR1A1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,GALM,ADH7,LDHAL6A,DLAT,DLD,ENO1,ENO2,ENO3,ALDH2,ALDH3A1,ALDH1B1,FBP1,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,ALDOA,ALDOB,ALDOC,G6PC1,GAPDH,GAPDHS,GCK,GPI,HK1,HK2,HK3,ENO4,LDHA,LDHB,LDHC,PGAM4,ALDH7A1,PCK1,PCK2,PDHA1,PDHA2,PDHB,PFKL,PFKM,PFKP,PGAM1,PGAM2,PGK1,PGK2,PGM1,PKLR,PKM,PGM2,ACSS2,G6PC2,BPGM,TPI1,HKDC1,ADPGK,ACSS1,FBP2,LDHAL6B,G6PC3,MINPP1",548,68,7521,770,PBTA,0.152543495,1.211992936,0.917783433,1.580332324,1,353,67,TRUE,NA,NA
path:hsa00010,PMBB_noTumor,Glycolysis / Gluconeogenesis,"AKR1A1,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,GALM,ADH7,LDHAL6A,DLAT,DLD,ENO1,ENO2,ENO3,ALDH2,ALDH3A1,ALDH1B1,FBP1,ALDH3B1,ALDH3B2,ALDH9A1,ALDH3A2,ALDOA,ALDOB,ALDOC,G6PC1,GAPDH,GAPDHS,GCK,GPI,HK1,HK2,HK3,ENO4,LDHA,LDHB,LDHC,PGAM4,ALDH7A1,PCK1,PCK2,PDHA1,PDHA2,PDHB,PFKL,PFKM,PFKP,PGAM1,PGAM2,PGK1,PGK2,PGM1,PKLR,PKM,PGM2,ACSS2,G6PC2,BPGM,TPI1,HKDC1,ADPGK,ACSS1,FBP2,LDHAL6B,G6PC3,MINPP1",417,68,5878,770,PBTA,0.108287377,1.244793022,0.938447219,1.631244733,1,353,67,TRUE,NA,NA
path:hsa04920,gnomAD,Adipocytokine signaling pathway,"AKT3,CAMKK2,PPARGC1A,CHUK,CPT1C,CPT1A,CPT1B,AGRP,AKT1,AKT2,ACSL1,ACSL3,ACSL4,ACSBG1,ACSL6,MTOR,G6PC1,ACACB,IKBKB,IRS1,JAK2,LEP,LEPR,NFKB1,NFKBIA,NFKBIB,NFKBIE,NPY,PCK1,PCK2,ADIPOR1,PRKAG2,ACSL5,PRKAG3,POMC,PPARA,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKCQ,MAPK8,MAPK9,MAPK10,PTPN11,G6PC2,RELA,RXRA,RXRB,RXRG,SLC2A1,SLC2A4,STAT3,STK11,TNF,TNFRSF1A,TNFRSF1B,TRAF2,ADIPOR2,ACSBG2,IRS4,IKBKG,IRS2,TRADD,SOCS3,G6PC3,ADIPOQ,CD36",848,24,73175,814,PBTA,6.65E-05,2.544016611,1.611447353,3.838804566,0.023484361,353,69,FALSE,0.022353386,336
path:hsa00020,PMBB_noCancer,Citrate cycle (TCA cycle),"CS,DLAT,DLD,DLST,FH,IDH1,IDH2,IDH3A,IDH3B,IDH3G,MDH1,MDH2,ACLY,ACO1,OGDH,ACO2,PC,PCK1,PCK2,PDHA1,PDHA2,PDHB,OGDHL,SDHA,SDHB,SDHC,SDHD,SUCLG2,SUCLG1,SUCLA2",130,21,7939,817,PBTA,0.066167394,1.569603383,0.934503496,2.517777432,1,353,30,FALSE,1,336
path:hsa00020,PMBB_noTumor,Citrate cycle (TCA cycle),"CS,DLAT,DLD,DLST,FH,IDH1,IDH2,IDH3A,IDH3B,IDH3G,MDH1,MDH2,ACLY,ACO1,OGDH,ACO2,PC,PCK1,PCK2,PDHA1,PDHA2,PDHB,OGDHL,SDHA,SDHB,SDHC,SDHD,SUCLG2,SUCLG1,SUCLA2",98,21,6197,817,PBTA,0.059944601,1.625231526,0.957652107,2.641184587,1,353,30,FALSE,1,336
path:hsa00030,gnomAD,Pentose phosphate pathway,"GLYCTK,FBP1,PRPS1L1,ALDOA,ALDOB,RPIA,ALDOC,G6PD,PGLS,GPI,IDNK,DERA,PFKL,PFKM,PFKP,PGD,PGM1,PGM2,PRPS1,PRPS2,RPE,RBKS,TALDO1,TKT,RPEL1,TKTL1,TKTL2,FBP2,RGN,H6PD",613,18,73410,820,PBTA,0.000341499,2.628655973,1.539622124,4.215787305,0.120549252,353,30,FALSE,0.114743764,336
