"gene_symbol_vep"	"count_with_plp_control"	"total_cohort_size_control"	"count_without_plp_control"	"count_with_plp_case"	"total_cohort_size_case"	"count_without_plp_case"	"p"	"OR"	"ci.int1"	"ci.int2"	"padj"	"ntests"
"NF1"	5	6295	6290	19	837	818	4.1601059685169e-14	29.1699727216818	10.5031292251087	100.327213376267	3.03687735701733e-12	73
"TSC2"	0	6295	6295	8	837	829	3.49338662682116e-08	Inf	12.9216245862723	Inf	2.55017223757945e-06	73
"TP53"	4	6295	6291	9	837	828	1.86956396934154e-06	17.0817607662851	4.75487768064854	76.0634943988187	0.000136478169761932	73
"TSC1"	0	6295	6295	5	837	832	2.20283341855057e-05	Inf	6.91607565815826	Inf	0.00160806839554192	73
"NF2"	0	6295	6295	4	837	833	0.000188496958072371	Inf	4.9763106541206	Inf	0.0137602779392831	73
"RMRP"	0	6295	6295	4	837	833	0.000188496958072371	Inf	4.9763106541206	Inf	0.0137602779392831	73
"PTCH1"	0	6295	6295	3	837	834	0.00161126476510543	Inf	3.11233376274335	Inf	0.117622327852696	73
"RAD51D"	4	6295	6291	4	837	833	0.00893372082786298	7.54824960036578	1.40317448297491	40.6216423993294	0.652161620433998	73
"ABCB11"	14	6295	6281	1	837	836	1	0.536691521373685	0.0126799264515919	3.53621427682962	1	73
"AKT1"	0	6295	6295	1	837	836	0.117358384744812	Inf	0.192843762002264	Inf	1	73
"APC"	40	6295	6255	4	837	833	0.813665276245318	0.750927614808219	0.194650273827495	2.08511601587217	1	73
"ASXL1"	7	6295	6288	1	837	836	1	1.07451806062444	0.0238131252324532	8.3804467300603	1	73
"ATM"	32	6295	6263	9	837	828	0.0506052465505625	2.12708747720706	0.889783184820332	4.57982586015743	1	73
"BAP1"	0	6295	6295	1	837	836	0.117358384744812	Inf	0.192843762002264	Inf	1	73
"BLM"	14	6295	6281	1	837	836	1	0.536691521373685	0.0126799264515919	3.53621427682962	1	73
"BRCA1"	18	6295	6277	3	837	834	0.72983878860289	1.25435216736335	0.23617336157849	4.31037753124676	1	73
"BRCA2"	19	6295	6276	3	837	834	0.737718332301914	1.18815401215917	0.224708426313918	4.04916866057092	1	73
"BRIP1"	15	6295	6280	3	837	834	0.460759133497924	1.50588674942392	0.278862796817008	5.33941370030859	1	73
"BUB1B"	4	6295	6291	2	837	835	0.149892916356423	3.76596073007162	0.340171998324385	26.3198551340965	1	73
"CDKN2A"	2	6295	6293	2	837	835	0.0702261591620088	7.53257418778741	0.545339150274636	104.070247601298	1	73
"CHEK2"	17	6295	6278	5	837	832	0.170766265938934	2.21898465094894	0.638396223735421	6.28690580979124	1	73
"COL7A1"	38	6295	6257	4	837	833	0.812651438350034	0.790706963275592	0.204464899921782	2.20431513577648	1	73
"CREBBP"	0	6295	6295	2	837	835	0.0137584644014392	Inf	1.41338243234243	Inf	1	73
"CTNNA1"	0	6295	6295	1	837	836	0.117358384744812	Inf	0.192843762002264	Inf	1	73
"DDX41"	6	6295	6289	1	837	836	0.58282270794686	1.25374365953442	0.0272254862983028	10.3535270755085	1	73
"EDNRB"	3	6295	6292	1	837	836	0.393139314672963	2.50815963601286	0.0477320242361419	31.2648428740506	1	73
"ELP1"	16	6295	6279	1	837	836	0.711694874238725	0.469460644527405	0.0111838828657353	3.02941968342477	1	73
"EPCAM"	3	6295	6292	1	837	836	0.393139314672963	2.50815963601286	0.0477320242361419	31.2648428740506	1	73
"ERCC2"	32	6295	6263	5	837	832	0.61564924894054	1.17616012353535	0.356772465949041	3.05248915787839	1	73
"ERCC3"	29	6295	6266	1	837	836	0.249331863639588	0.25848512849027	0.00632394647916482	1.56336259078559	1	73
"ERCC4"	8	6295	6287	2	837	835	0.331470791539546	1.88205080035644	0.194384451550344	9.45508065215465	1	73
"EXT2"	1	6295	6294	1	837	836	0.220958305088185	7.52476446055621	0.0957971797044388	588.071638407607	1	73
"EZH2"	6	6295	6289	2	837	835	0.239771233681688	2.50996013462815	0.247380881540768	14.0639476488393	1	73
"FAH"	13	6295	6282	4	837	833	0.129877869469439	2.32003806543813	0.549765518287972	7.5333582029987	1	73
"FANCA"	26	6295	6269	5	837	832	0.40222730545447	1.44891780804816	0.433306431921729	3.848649120697	1	73
"FANCC"	9	6295	6286	2	837	835	0.376286957153909	1.67276750210658	0.175573531352736	8.10106446448693	1	73
"FANCD2"	14	6295	6281	2	837	835	0.711289153543874	1.07460720968707	0.118317689226196	4.69198254027326	1	73
"FANCG"	6	6295	6289	1	837	836	0.58282270794686	1.25374365953442	0.0272254862983028	10.3535270755085	1	73
