gene_symbol_vep	population	count_with_plp_control	total_cohort_size_control	count_without_plp_control	count_with_plp_case	total_cohort_size_case	count_without_plp_case	p	OR	ci.int1	ci.int2	padj	ntests
NF1	all	49	74023	73974	19	837	818	1.36727997036131e-21	35.05811193	19.40560997	61.04579955	9.98114378363753e-20	73
TSC2	all	4	74023	74019	8	837	829	1.1241314545174e-13	178.1749698	47.68707732	806.0111432	8.20615961797704e-12	73
TSC1	all	2	74023	74021	5	837	832	3.55939208672178e-09	220.8616475	36.33599587	2428.794115	2.5983562233069e-07	73
TP53	all	44	74023	73979	9	837	828	7.47290525727321e-09	18.27297949	7.816878292	38.05605287	5.45522083780944e-07	73
NF2	all	2	74023	74021	4	837	833	2.28636351622653e-07	177.3157186	25.4105916	1991.025904	1.66904536684536e-05	73
PTCH1	all	6	74023	74017	3	837	834	0.000111258	44.40435987	7.165211424	208.9971902	0.008121823	73
SMARCB1	all	1	74023	74022	2	837	835	0.000371807	176.8892141	9.21356507	9528.593577	0.027141909	73
RAD51D	all	32	74023	73991	4	837	833	0.000687724	11.09948834	2.845952016	31.40144237	0.050203858	73
SMARCE1	all	2	74023	74021	2	837	835	0.000738089	88.78839282	6.416017903	1232.916036	0.053880522	73
SUFU	all	2	74023	74021	2	837	835	0.000738089	88.78839282	6.416017903	1232.916036	0.053880522	73
CREBBP	all	5	74023	74018	2	837	835	0.002526267	35.44972533	3.371173039	216.07894	0.18441752	73
ATM	all	283	74023	73740	9	837	828	0.006041118	2.832118865	1.277214973	5.479531017	0.441001599	73
MUTYH	all	185	74023	73838	7	837	830	0.006159173	3.365984734	1.330544999	7.105883246	0.449619635	73
PMS2	all	104	74023	73919	5	837	832	0.007770385	4.271215446	1.354818658	10.33141002	0.56723809	73
ABCB11	all	135	74023	73888	1	837	836	1	0.654690157	0.01643545	3.720086779	1	73
AKT1	all	5	74023	74018	1	837	836	0.065239887	17.70443804	0.373945978	158.9811774	1	73
APC	all	201	74023	73822	4	837	833	0.297476419	1.763598683	0.474812583	4.603362408	1	73
ASXL1	all	61	74023	73962	1	837	836	0.502124027	1.450304919	0.03609214	8.411524116	1	73
BAP1	all	13	74023	74010	1	837	836	0.145661336	6.809293905	0.1600523	45.42693911	1	73
BLM	all	140	74023	73883	1	837	836	1	0.631265834	0.015851504	3.584429183	1	73
BRCA1	all	107	74023	73916	3	837	834	0.125969832	2.484854562	0.503464579	7.485039323	1	73
BRCA2	all	234	74023	73789	3	837	834	0.750854095	1.134304637	0.231756069	3.367536696	1	73
BRIP1	all	141	74023	73882	3	837	834	0.218567265	1.884843944	0.383320796	5.640828003	1	73
BUB1B	all	45	74023	73978	2	837	835	0.097149234	3.93748115	0.461959689	15.11959722	1	73
CDKN2A	all	17	74023	74006	2	837	835	0.018825205	10.42561485	1.166516481	44.02851525	1	73
CHEK2	all	169	74023	73854	5	837	832	0.046680082	2.626142645	0.839642265	6.274723313	1	73
COL7A1	all	301	74023	73722	4	837	833	0.588165404	1.176099009	0.317645779	3.054167549	1	73
CTNNA1	all	4	74023	74019	1	837	836	0.054669563	22.11488136	0.448930545	223.6356982	1	73
DDX41	all	67	74023	73956	1	837	836	0.534631573	1.320351892	0.032904275	7.632413787	1	73
EDNRB	all	10	74023	74013	1	837	836	0.116346819	8.85031508	0.203761383	62.37610702	1	73
ELP1	all	132	74023	73891	1	837	836	1	0.669596537	0.016806894	3.806660956	1	73
EPCAM	all	17	74023	74006	1	837	836	0.183241936	5.207001186	0.124453407	33.33736444	1	73
ERCC2	all	277	74023	73746	5	837	832	0.251660371	1.599913186	0.514076395	3.79389378	1	73
ERCC3	all	146	74023	73877	1	837	836	1	0.605274445	0.015205801	3.434874892	1	73
