gene_symbol_vep	population	count_with_plp_control	total_cohort_size_control	count_without_plp_control	count_with_plp_case	total_cohort_size_case	count_without_plp_case	p	OR	ci.int1	ci.int2	padj	ntests
NF1	all	48	74023	73975	19	830	811	8.52385955556538e-22	36.09658253	19.93730761	63.00916599	6.22241747556273e-20	73
TSC2	all	4	74023	74019	8	830	822	1.05192311778259e-13	179.7010937	48.00719372	810.6022816	7.67903875981293e-12	73
TSC1	all	2	74023	74021	5	830	825	3.41480332845422e-09	222.6986171	36.65493845	2453.308155	2.49280642977158e-07	73
TP53	all	44	74023	73979	9	830	821	6.95776663923677e-09	18.43560347	7.883110064	38.40425731	5.07916964664284e-07	73
NF2	all	2	74023	74021	4	830	826	2.21185550868633e-07	178.8270858	25.61317134	2009.796691	1.61465452134102e-05	73
PTCH1	all	6	74023	74017	3	830	827	0.000108562	44.67453756	7.225967979	210.8404871	0.007925047	73
SMARCB1	all	1	74023	74022	2	830	828	0.000365701	178.3932801	9.290816223	9601.079381	0.026696202	73
RAD51D	all	32	74023	73991	4	830	826	0.000666785	11.19277343	2.870006671	31.66807195	0.048675327	73
SMARCE1	all	2	74023	74021	2	830	828	0.000726014	89.50818441	6.46777006	1242.604435	0.052999015	73
SUFU	all	2	74023	74021	2	830	828	0.000726014	89.50818441	6.46777006	1242.604435	0.052999015	73
CREBBP	all	5	74023	74018	2	830	828	0.002485397	35.74898339	3.398983309	217.8547215	0.181433991	73
MUTYH	all	185	74023	73838	7	830	823	0.005895676	3.394616077	1.341827499	7.166573985	0.430384321	73
PMS2	all	104	74023	73919	5	830	825	0.007512306	4.307459285	1.366382511	10.41938645	0.548398325	73
ATM	all	261	74023	73762	8	830	822	0.010920935	2.750307832	1.171056948	5.526187395	0.797228267	73
ABCB11	all	135	74023	73888	1	830	829	1	0.660218256	0.016574065	3.751587958	1	73
AKT1	all	5	74023	74018	1	830	829	0.064715253	17.85386218	0.377099779	160.3625899	1	73
APC	all	199	74023	73824	6	830	824	0.027572602	2.701130667	0.976690177	6.008517777	1	73
ASXL1	all	59	74023	73964	1	830	829	0.4879256	1.512166693	0.037611028	8.780742523	1	73
BAP1	all	13	74023	74010	1	830	829	0.14454203	6.866522876	0.161402158	45.80885266	1	73
BLM	all	139	74023	73884	1	830	829	1	0.641184613	0.016099603	3.641523412	1	73
BRCA1	all	105	74023	73918	3	830	827	0.118880127	2.553640197	0.517250063	7.696391029	1	73
BRCA2	all	234	74023	73789	3	830	827	0.749507426	1.143905471	0.233715558	3.39624505	1	73
BRIP1	all	141	74023	73882	3	830	827	0.21510767	1.900788193	0.386558616	5.688967442	1	73
BUB1B	all	45	74023	73978	2	830	828	0.095804052	3.970760963	0.46586195	15.24777039	1	73
CDKN2A	all	16	74023	74007	2	830	828	0.016704576	11.16832896	1.244117812	47.64991216	1	73
CHEK2	all	186	74023	73837	5	830	825	0.062614484	2.405679304	0.770074701	5.738231304	1	73
COL7A1	all	297	74023	73726	4	830	826	0.580497456	1.202104439	0.324629922	3.122320018	1	73
CTNNA1	all	4	74023	74019	1	830	829	0.054227448	22.32755545	0.452716752	225.5113517	1	73
DDX41	all	67	74023	73956	1	830	829	0.53166161	1.331500725	0.033181785	7.697010466	1	73
EDNRB	all	10	74023	74013	1	830	829	0.115437334	8.927287711	0.205479877	62.89543871	1	73
ELP1	all	132	74023	73891	1	830	829	1	0.675250502	0.016948642	3.838904912	1	73
EPCAM	all	17	74023	74006	1	830	829	0.181865838	5.251467848	0.125503029	33.61818278	1	73
ERCC2	all	277	74023	73746	5	830	825	0.248186707	1.613490438	0.518425885	3.82628151	1	73
ERCC3	all	146	74023	73877	1	830	829	1	0.610385289	0.015331432	3.463942086	1	73
ERCC4	all	194	74023	73829	2	830	828	1	0.919232516	0.110352783	3.376124179	1	73
