gene_symbol_vep	count_with_plp_control	total_cohort_size_control	count_without_plp_control	count_with_plp_case	total_cohort_size_case	count_without_plp_case	p	OR	ci.int1	ci.int2	padj	ntests
NF1	5	6295	6290	19	830	811	3.62387966500959e-14	29.42087142	10.59944465	101.1928305	2.645432155457e-12	73
TSC2	0	6295	6295	8	830	822	3.2912271949302e-08	Inf	13.0292699	Inf	2.40259585229904e-06	73
TP53	4	6295	6291	9	830	821	1.75431395684327e-06	17.22728038	4.795266402	76.709174	0.000128065	73
TSC1	0	6295	6295	5	830	825	2.12243225783888e-05	Inf	6.974983681	Inf	0.001549376	73
NF2	0	6295	6295	4	830	826	0.000182976	Inf	5.018382304	Inf	0.013357268	73
PTCH1	1	6295	6294	3	830	827	0.005754128	22.81174006	1.829218628	1189.539712	0.42005135	73
RAD51D	4	6295	6291	4	830	826	0.008698296	7.612157634	1.415034597	40.98720403	0.634975633	73
CREBBP	0	6295	6295	2	830	828	0.013555759	Inf	1.425310246	Inf	0.989570417	73
SMARCB1	0	6295	6295	2	830	828	0.013555759	Inf	1.425310246	Inf	0.989570417	73
SMARCE1	0	6295	6295	2	830	828	0.013555759	Inf	1.425310246	Inf	0.989570417	73
ABCB11	14	6295	6281	1	830	829	1	0.541222905	0.012786836	3.566162495	1	73
AKT1	0	6295	6295	1	830	829	0.116491228	Inf	0.194470156	Inf	1	73
APC	40	6295	6255	6	830	824	0.650520628	1.138611972	0.393318938	2.714063469	1	73
ASXL1	7	6295	6288	1	830	829	1	1.083594775	0.024013962	8.451333845	1	73
ATM	32	6295	6263	8	830	822	0.130446856	1.904479541	0.755656687	4.238496459	1	73
BAP1	0	6295	6295	1	830	829	0.116491228	Inf	0.194470156	Inf	1	73
BLM	14	6295	6281	1	830	829	1	0.541222905	0.012786836	3.566162495	1	73
BRCA1	18	6295	6277	3	830	827	0.728798397	1.264967569	0.238169233	4.346967685	1	73
BRCA2	19	6295	6276	3	830	827	0.736448848	1.198210206	0.226596238	4.083565665	1	73
BRIP1	15	6295	6280	3	830	827	0.458141209	1.518630265	0.281218454	5.384846898	1	73
BUB1B	4	6295	6291	2	830	828	0.148042663	3.797785698	0.343043114	26.53707718	1	73
CDKN2A	2	6295	6293	2	830	828	0.06927737	7.596196983	0.549941491	104.9518564	1	73
CHEK2	19	6295	6276	5	830	825	0.190139055	2.001705784	0.582554752	5.561848278	1	73
COL7A1	38	6295	6257	4	830	826	0.812788341	0.797410678	0.206193362	2.223055178	1	73
