"pathway_id"	"genes"	"pathway_name"	"count_with_plp_control"	"total_cohort_size_control"	"count_without_plp_control"	"count_with_plp_case"	"total_cohort_size_case"	"count_without_plp_case"	"p"	"OR"	"ci.int1"	"ci.int2"	"padj"	"ntests"
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_SPRED_AND_NF1"	"HRAS,KRAS,NF1,NRAS,SPRED1,SPRED2"	"KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_SPRED_AND_NF1"	6	6295	6289	19	830	811	1.34638346827607e-13	24.5340480901451	9.38756071815747	75.3159281520917	9.115016080229e-11	677
"KEGG_MEDICUS_REFERENCE_IGF_IGF1R_PI3K_SIGNALING_PATHWAY"	"AKT1,AKT2,AKT3,EIF4EBP1,IGF1,IGF1R,MTOR,PIK3CA,PIK3CB,PIK3CD,RHEB,TSC1,TSC2"	"KEGG_MEDICUS_REFERENCE_IGF_IGF1R_PI3K_SIGNALING_PATHWAY"	4	6295	6291	14	830	816	1.49567497109154e-10	26.9704317824774	8.44190835707719	112.921426309807	1.01257195542897e-07	677
"KEGG_MEDICUS_REFERENCE_RELN_VLDLR_PI3K_SIGNALING_PATHWAY"	"AKT1,AKT2,AKT3,DAB1,MTOR,PIK3CA,PIK3CB,PIK3CD,RELN,RHEB,RPS6KB1,RPS6KB2,TSC1,TSC2,VLDLR"	"KEGG_MEDICUS_REFERENCE_RELN_VLDLR_PI3K_SIGNALING_PATHWAY"	5	6295	6290	14	830	816	5.07585823674193e-10	21.5640151928317	7.31507036494928	76.7928814058157	3.43635602627429e-07	677
"KEGG_MEDICUS_REFERENCE_STRAD_STK11_TSC_SIGNALING_PATHWAY"	"PRKAA1,PRKAA2,STK11,STRADA,STRADB,TBC1D7,TSC1,TSC2"	"KEGG_MEDICUS_REFERENCE_STRAD_STK11_TSC_SIGNALING_PATHWAY"	6	6295	6289	13	830	817	9.23601711861253e-09	16.665297642321	5.8902166808139	53.6074992467271	6.25278358930069e-06	677
"KEGG_MEDICUS_PATHOGEN_EBV_EBNA1_TO_P53_MEDIATED_TRANSCRIPTION"	"BAK1,BAX,CDKN1A,DDB2,GADD45A,GADD45B,GADD45G,POLK,TP53,USP7"	"KEGG_MEDICUS_PATHOGEN_EBV_EBNA1_TO_P53_MEDIATED_TRANSCRIPTION"	6	6295	6289	12	830	818	5.5150980275238e-08	15.3649342656909	5.31900988584366	50.0564396195138	3.73372136463361e-05	677
"KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P53_MEDIATED_TRANSCRIPTION"	"BAK1,BAX,CDKN1A,DDB2,GADD45A,GADD45B,GADD45G,MDM2,POLK,TP53"	"KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P53_MEDIATED_TRANSCRIPTION"	6	6295	6289	12	830	818	5.5150980275238e-08	15.3649342656909	5.31900988584366	50.0564396195138	3.73372136463361e-05	677
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_TP53_TO_TRANSCRIPTION"	"BAK1,BAX,CDKN1A,DDB2,GADD45A,GADD45B,GADD45G,POLK,TP53"	"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_TP53_TO_TRANSCRIPTION"	6	6295	6289	12	830	818	5.5150980275238e-08	15.3649342656909	5.31900988584366	50.0564396195138	3.73372136463361e-05	677
"KEGG_MTOR_SIGNALING_PATHWAY"	"AKT1,AKT2,AKT3,BRAF,CAB39,CAB39L,DDIT4,EIF4B,EIF4E,EIF4E1B,EIF4E2,EIF4EBP1,HIF1A,IGF1,INS,MAPK1,MAPK3,MLST8,MTOR,PDPK1,PGF,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PRKAA1,PRKAA2,RHEB,RICTOR,RPS6,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA6,RPS6KB1,RPS6KB2,RPTOR,STK11,STRADA,TSC1,TSC2,ULK1,ULK2,ULK3,VEGFA,VEGFB,VEGFC,VEGFD"	"KEGG_MTOR_SIGNALING_PATHWAY"	29	6295	6266	20	830	810	1.75732298437442e-07	5.33291757112248	2.84504958244243	9.80860261736429	0.000118970766042148	677
"KEGG_MEDICUS_REFERENCE_MDM2_P21_CELL_CYCLE_G1_S_N00066"	"CCND1,CCND2,CCND3,CDK4,CDK6,CDKN1A,CDKN2A,E2F1,E2F2,E2F3,MDM2,RB1,TP53"	"KEGG_MEDICUS_REFERENCE_MDM2_P21_CELL_CYCLE_G1_S_N00066"	6	6295	6289	11	830	819	3.20773807425533e-07	14.0677188123236	4.75442371342515	46.4356581484761	0.000217163867627086	677
"KEGG_MEDICUS_REFERENCE_MDM2_P21_CELL_CYCLE_G1_S_N00536"	"CCNE1,CCNE2,CDK2,CDKN1A,CDKN2A,E2F1,E2F2,E2F3,MDM2,RB1,TP53"	"KEGG_MEDICUS_REFERENCE_MDM2_P21_CELL_CYCLE_G1_S_N00536"	6	6295	6289	11	830	819	3.20773807425533e-07	14.0677188123236	4.75442371342515	46.4356581484761	0.000217163867627086	677
"KEGG_MEDICUS_REFERENCE_TSC1_2_MTORC1_SIGNALING_PATHWAY"	"AKT1S1,DEPTOR,MLST8,MTOR,RHEB,RPTOR,TBC1D7,TELO2,TSC1,TSC2,TTI1"	"KEGG_MEDICUS_REFERENCE_TSC1_2_MTORC1_SIGNALING_PATHWAY"	15	6295	6280	14	830	816	1.09606761501578e-06	7.17972438408123	3.19780244266511	16.0241439395994	0.000742037775365683	677
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_P21_CELL_CYCLE_G1_S_N00497"	"CCNE1,CCNE2,CDK2,CDKN1A,E2F1,E2F2,E2F3,RB1,TP53"	"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_P21_CELL_CYCLE_G1_S_N00497"	4	6295	6291	9	830	821	1.75431395684327e-06	17.2272803836429	4.79526640246242	76.7091740025329	0.00118767054878289	677
"KEGG_MEDICUS_VARIANT_AMPLIFIED_MDM2_TO_P21_CELL_CYCLE_G1_S"	"CCND1,CCND2,CCND3,CDK4,CDK6,CDKN1A,E2F1,E2F2,E2F3,MDM2,RB1,TP53"	"KEGG_MEDICUS_VARIANT_AMPLIFIED_MDM2_TO_P21_CELL_CYCLE_G1_S"	4	6295	6291	9	830	821	1.75431395684327e-06	17.2272803836429	4.79526640246242	76.7091740025329	0.00118767054878289	677
"KEGG_MEDICUS_VARIANT_AMPLIFIED_MYCN_TO_TRANSCRIPTIONAL_ACTIVATION"	"BMI1,MAX,MDM2,MYCN,PTK2,TP53"	"KEGG_MEDICUS_VARIANT_AMPLIFIED_MYCN_TO_TRANSCRIPTIONAL_ACTIVATION"	4	6295	6291	9	830	821	1.75431395684327e-06	17.2272803836429	4.79526640246242	76.7091740025329	0.00118767054878289	677
"KEGG_P53_SIGNALING_PATHWAY"	"ADGRB1,APAF1,ATM,ATR,BAX,BBC3,BID,CASP3,CASP8,CASP9,CCNB1,CCNB2,CCNB3,CCND1,CCND2,CCND3,CCNE1,CCNE2,CCNG1,CCNG2,CD82,CDK1,CDK2,CDK4,CDK6,CDKN1A,CDKN2A,CHEK1,CHEK2,COP1,CYCS,DDB2,EI24,FAS,GADD45A,GADD45B,GADD45G,GTSE1,IGF1,IGFBP3,MDM2,MDM4,PERP,PIDD1,PMAIP1,PPM1D,PTEN,RCHY1,RPRM,RRM2,RRM2B,SERPINB5,SERPINE1,SESN1,SESN2,SESN3,SFN,SHISA5,SIAH1,STEAP3,THBS1,TNFRSF10B,TP53,TP53AIP1,TP53I3,TP73,TSC2,ZMAT3"	"KEGG_P53_SIGNALING_PATHWAY"	110	6295	6185	37	830	793	5.49280193101618e-06	2.62297114745124	1.743263835902	3.87025686839105	0.00371862690729795	677
"KEGG_GLIOMA"	"AKT1,AKT2,AKT3,ARAF,BRAF,CALM1,CALM2,CALM3,CALML3,CALML5,CALML6,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CCND1,CDK4,CDK6,CDKN1A,CDKN2A,E2F1,E2F2,E2F3,EGF,EGFR,GRB2,HRAS,IGF1,IGF1R,KRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,MDM2,MTOR,NRAS,PDGFA,PDGFB,PDGFRA,PDGFRB,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PLCG1,PLCG2,PRKCA,PRKCB,PRKCG,PTEN,RAF1,RB1,SHC1,SHC2,SHC3,SHC4,SOS1,SOS2,TGFA,TP53"	"KEGG_GLIOMA"	49	6295	6246	22	830	808	1.00618092401537e-05	3.46998567759679	1.98662331111633	5.88375845605348	0.00681184485558408	677
"KEGG_NON_SMALL_CELL_LUNG_CANCER"	"AKT1,AKT2,AKT3,ARAF,BAD,BRAF,CASP9,CCND1,CDK4,CDK6,CDKN2A,E2F1,E2F2,E2F3,EGF,EGFR,ERBB2,FHIT,FOXO3,GRB2,HRAS,KRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PLCG1,PLCG2,PRKCA,PRKCB,PRKCG,RAF1,RARB,RASSF1,RASSF5,RB1,RXRA,RXRB,RXRG,SOS1,SOS2,STK4,TGFA,TP53"	"KEGG_NON_SMALL_CELL_LUNG_CANCER"	55	6295	6240	21	830	809	0.000105319769616559	2.94441105795649	1.68201003958716	4.97873919731519	0.0713014840304105	677
"KEGG_PROSTATE_CANCER"	"AKT1,AKT2,AKT3,AR,ARAF,ATF4,BAD,BCL2,BRAF,CASP9,CCND1,CCNE1,CCNE2,CDK2,CDKN1A,CDKN1B,CHUK,CREB1,CREB3,CREB3L1,CREB3L2,CREB3L3,CREB3L4,CREB5,CREBBP,CTNNB1,E2F1,E2F2,E2F3,EGF,EGFR,EP300,ERBB2,FGFR1,FGFR2,FOXO1,GRB2,GSK3B,GSTP1,HRAS,HSP90AA1,HSP90AB1,HSP90B1,IGF1,IGF1R,IKBKB,IKBKG,INS,INSRR,KLK3,KRAS,LEF1,MAP2K1,MAP2K2,MAPK1,MAPK3,MDM2,MTOR,NFKB1,NFKBIA,NKX3-1,NRAS,PDGFA,PDGFB,PDGFC,PDGFD,PDGFRA,PDGFRB,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PTEN,RAF1,RB1,RELA,SOS1,SOS2,SRD5A2,TCF7,TCF7L1,TCF7L2,TGFA,TP53"	"KEGG_PROSTATE_CANCER"	83	6295	6212	27	830	803	0.00012718339981387	2.51623073121777	1.5563683254639	3.95384111297255	0.0861031616739902	677
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS"	"ALS2,APAF1,BAD,BAX,BCL2,BCL2L1,BID,CASP1,CASP3,CASP9,CAT,CCS,CHP1,CHP2,CYCS,DAXX,DERL1,GPX1,GRIA1,GRIA2,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,MAP2K3,MAP2K6,MAP3K5,MAPK11,MAPK12,MAPK13,MAPK14,NEFH,NEFL,NEFM,NOS1,PPP3CA,PPP3CB,PPP3CC,PPP3R1,PPP3R2,PRPH,PRPH2,RAB5A,RAC1,SLC1A2,SOD1,TNF,TNFRSF1A,TNFRSF1B,TOMM40,TOMM40L,TP53"	"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS"	37	6295	6258	16	830	814	0.000227299233914647	3.32343813040284	1.71805880439974	6.15708586033681	0.153881581360216	677
"KEGG_MEDICUS_REFERENCE_P300_P21_CELL_CYCLE_G1_S"	"ATM,ATR,CCND1,CCND2,CCND3,CDK4,CDK6,CDKN1A,E2F1,E2F2,E2F3,EP300,RB1,TADA3,TP53"	"KEGG_MEDICUS_REFERENCE_P300_P21_CELL_CYCLE_G1_S"	42	6295	6253	17	830	813	0.000272853884231463	3.11233380165759	1.65300417302194	5.61693474153365	0.184722079624701	677
"KEGG_CELL_CYCLE"	"ABL1,ANAPC1,ANAPC10,ANAPC11,ANAPC13,ANAPC2,ANAPC4,ANAPC5,ANAPC7,ATM,ATR,BUB1,BUB1B,BUB3,CCNA1,CCNA2,CCNB1,CCNB2,CCNB3,CCND1,CCND2,CCND3,CCNE1,CCNE2,CCNH,CDC14A,CDC14B,CDC16,CDC20,CDC23,CDC25A,CDC25B,CDC25C,CDC26,CDC27,CDC45,CDC6,CDC7,CDK1,CDK2,CDK4,CDK6,CDK7,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CDKN2D,CHEK1,CHEK2,CREBBP,CUL1,DBF4,E2F1,E2F2,E2F3,E2F4,E2F5,EP300,ESPL1,FZR1,GADD45A,GADD45B,GADD45G,GSK3B,HDAC1,HDAC2,MAD1L1,MAD2L1,MAD2L2,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MDM2,MYC,ORC1,ORC2,ORC3,ORC4,ORC5,ORC6,PCNA,PKMYT1,PLK1,PRKDC,PTTG1,PTTG2,RAD21,RB1,RBL1,RBL2,RBX1,SFN,SKP1,SKP1P2,SKP2,SMAD2,SMAD3,SMAD4,SMC1A,SMC1B,SMC3,STAG1,STAG2,TFDP1,TFDP2,TGFB1,TGFB2,TGFB3,TP53,TTK,WEE1,WEE2,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,ZBTB17"	"KEGG_CELL_CYCLE"	150	6295	6145	39	830	791	0.000311312518483415	2.01961983234165	1.37109664552463	2.91457576428076	0.210758575013272	677
