"pathway_id"	"genes"	"pathway_name"	"population"	"total_cohort_size_control"	"count_with_plp_control"	"count_without_plp_control"	"count_with_plp_case"	"total_cohort_size_case"	"count_without_plp_case"	"p"	"OR"	"ci.int1"	"ci.int2"	"padj"	"ntests"
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_SPRED_AND_NF1"	"HRAS,KRAS,NF1,NRAS,SPRED1,SPRED2"	"KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_SPRED_AND_NF1"	"all"	74023	80	73943	19	830	811	2.71756647751999e-18	21.6394895560578	12.3332354123709	36.2153876672259	1.83979250528103e-15	677
"KEGG_MEDICUS_REFERENCE_STRAD_STK11_TSC_SIGNALING_PATHWAY"	"PRKAA1,PRKAA2,STK11,STRADA,STRADB,TBC1D7,TSC1,TSC2"	"KEGG_MEDICUS_REFERENCE_STRAD_STK11_TSC_SIGNALING_PATHWAY"	"all"	74023	38	73985	13	830	817	1.12864172955876e-14	30.9784694744879	15.0767766660733	59.76143411864	7.64090450911278e-12	677
"KEGG_MEDICUS_REFERENCE_IGF_IGF1R_PI3K_SIGNALING_PATHWAY"	"AKT1,AKT2,AKT3,EIF4EBP1,IGF1,IGF1R,MTOR,PIK3CA,PIK3CB,PIK3CD,RHEB,TSC1,TSC2"	"KEGG_MEDICUS_REFERENCE_IGF_IGF1R_PI3K_SIGNALING_PATHWAY"	"all"	74023	52	73971	14	830	816	1.73316724400791e-14	24.3826085132298	12.4346567018154	44.9123654250236	1.17335422419336e-11	677
"KEGG_MEDICUS_REFERENCE_RELN_VLDLR_PI3K_SIGNALING_PATHWAY"	"AKT1,AKT2,AKT3,DAB1,MTOR,PIK3CA,PIK3CB,PIK3CD,RELN,RHEB,RPS6KB1,RPS6KB2,TSC1,TSC2,VLDLR"	"KEGG_MEDICUS_REFERENCE_RELN_VLDLR_PI3K_SIGNALING_PATHWAY"	"all"	74023	90	73933	14	830	816	1.2080716043003e-11	14.0970506886312	7.3755003515429	25.0221671322497	8.17864476111304e-09	677
"KEGG_MEDICUS_REFERENCE_MDM2_P21_CELL_CYCLE_G1_S_N00536"	"CCNE1,CCNE2,CDK2,CDKN1A,CDKN2A,E2F1,E2F2,E2F3,MDM2,RB1,TP53"	"KEGG_MEDICUS_REFERENCE_MDM2_P21_CELL_CYCLE_G1_S_N00536"	"all"	74023	66	73957	11	830	819	1.00335929106996e-09	15.0509140745237	7.13787626968819	28.8195416264281	6.79274240054362e-07	677
"KEGG_MEDICUS_REFERENCE_MDM2_P21_CELL_CYCLE_G1_S_N00066"	"CCND1,CCND2,CCND3,CDK4,CDK6,CDKN1A,CDKN2A,E2F1,E2F2,E2F3,MDM2,RB1,TP53"	"KEGG_MEDICUS_REFERENCE_MDM2_P21_CELL_CYCLE_G1_S_N00066"	"all"	74023	72	73951	11	830	819	2.2822579025323e-09	13.787277213476	6.56773471445273	26.2992233171461	1.54508860001437e-06	677
"KEGG_MTOR_SIGNALING_PATHWAY"	"AKT1,AKT2,AKT3,BRAF,CAB39,CAB39L,DDIT4,EIF4B,EIF4E,EIF4E1B,EIF4E2,EIF4EBP1,HIF1A,IGF1,INS,MAPK1,MAPK3,MLST8,MTOR,PDPK1,PGF,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PRKAA1,PRKAA2,RHEB,RICTOR,RPS6,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA6,RPS6KB1,RPS6KB2,RPTOR,STK11,STRADA,TSC1,TSC2,ULK1,ULK2,ULK3,VEGFA,VEGFB,VEGFC,VEGFD"	"KEGG_MTOR_SIGNALING_PATHWAY"	"all"	74023	323	73700	20	830	810	2.64466312923359e-09	5.6335362990263	3.37740752601017	8.904501149188	1.79043693849114e-06	677
"KEGG_P53_SIGNALING_PATHWAY"	"ADGRB1,APAF1,ATM,ATR,BAX,BBC3,BID,CASP3,CASP8,CASP9,CCNB1,CCNB2,CCNB3,CCND1,CCND2,CCND3,CCNE1,CCNE2,CCNG1,CCNG2,CD82,CDK1,CDK2,CDK4,CDK6,CDKN1A,CDKN2A,CHEK1,CHEK2,COP1,CYCS,DDB2,EI24,FAS,GADD45A,GADD45B,GADD45G,GTSE1,IGF1,IGFBP3,MDM2,MDM4,PERP,PIDD1,PMAIP1,PPM1D,PTEN,RCHY1,RPRM,RRM2,RRM2B,SERPINB5,SERPINE1,SESN1,SESN2,SESN3,SFN,SHISA5,SIAH1,STEAP3,THBS1,TNFRSF10B,TP53,TP53AIP1,TP53I3,TP73,TSC2,ZMAT3"	"KEGG_P53_SIGNALING_PATHWAY"	"all"	74023	1056	72967	37	830	793	3.6725621163298e-09	3.2238463877932	2.24063981598758	4.51250301407715	2.48632455275527e-06	677
"KEGG_MEDICUS_REFERENCE_TSC1_2_MTORC1_SIGNALING_PATHWAY"	"AKT1S1,DEPTOR,MLST8,MTOR,RHEB,RPTOR,TBC1D7,TELO2,TSC1,TSC2,TTI1"	"KEGG_MEDICUS_REFERENCE_TSC1_2_MTORC1_SIGNALING_PATHWAY"	"all"	74023	148	73875	14	830	816	4.64402603796825e-09	8.56230924071793	4.54957307754153	14.9101097261847	3.1440056277045e-06	677
"KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P53_MEDIATED_TRANSCRIPTION"	"BAK1,BAX,CDKN1A,DDB2,GADD45A,GADD45B,GADD45G,MDM2,POLK,TP53"	"KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P53_MEDIATED_TRANSCRIPTION"	"all"	74023	113	73910	12	830	818	1.79397128424922e-08	9.59471934671057	4.79528398872926	17.5125996738785	1.21451855943672e-05	677
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_TP53_TO_TRANSCRIPTION"	"BAK1,BAX,CDKN1A,DDB2,GADD45A,GADD45B,GADD45G,POLK,TP53"	"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_TP53_TO_TRANSCRIPTION"	"all"	74023	113	73910	12	830	818	1.79397128424922e-08	9.59471934671057	4.79528398872926	17.5125996738785	1.21451855943672e-05	677
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_P21_CELL_CYCLE_G1_S_N00497"	"CCNE1,CCNE2,CDK2,CDKN1A,E2F1,E2F2,E2F3,RB1,TP53"	"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_P21_CELL_CYCLE_G1_S_N00497"	"all"	74023	50	73973	9	830	821	1.85930963313144e-08	16.216502353476	6.98691681241373	33.4391692303068	1.25875262162999e-05	677
"KEGG_MEDICUS_PATHOGEN_EBV_EBNA1_TO_P53_MEDIATED_TRANSCRIPTION"	"BAK1,BAX,CDKN1A,DDB2,GADD45A,GADD45B,GADD45G,POLK,TP53,USP7"	"KEGG_MEDICUS_PATHOGEN_EBV_EBNA1_TO_P53_MEDIATED_TRANSCRIPTION"	"all"	74023	114	73909	12	830	818	1.96292542962712e-08	9.510256407722	4.75428082561294	17.3532204150732	1.32890051585756e-05	677
"KEGG_MEDICUS_VARIANT_AMPLIFIED_MYCN_TO_TRANSCRIPTIONAL_ACTIVATION"	"BMI1,MAX,MDM2,MYCN,PTK2,TP53"	"KEGG_MEDICUS_VARIANT_AMPLIFIED_MYCN_TO_TRANSCRIPTIONAL_ACTIVATION"	"all"	74023	51	73972	9	830	821	2.16592755733568e-08	15.8988247127617	6.85702974321563	32.7671787082757	1.46633295631626e-05	677
"KEGG_BASAL_CELL_CARCINOMA"	"APC,APC2,AXIN1,AXIN2,BMP2,BMP4,CTNNB1,DVL1,DVL2,DVL3,FZD1,FZD10,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,GLI1,GLI2,GLI3,GSK3B,HHIP,LEF1,PTCH1,PTCH2,SHH,SMO,STK36,SUFU,TCF7,TCF7L1,TCF7L2,TP53,WNT1,WNT10A,WNT10B,WNT11,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B"	"KEGG_BASAL_CELL_CARCINOMA"	"all"	74023	665	73358	27	830	803	2.81433893405604e-08	3.70917991458928	2.41062361715011	5.48679817496974	1.90530745835594e-05	677
"KEGG_MEDICUS_VARIANT_AMPLIFIED_MDM2_TO_P21_CELL_CYCLE_G1_S"	"CCND1,CCND2,CCND3,CDK4,CDK6,CDKN1A,E2F1,E2F2,E2F3,MDM2,RB1,TP53"	"KEGG_MEDICUS_VARIANT_AMPLIFIED_MDM2_TO_P21_CELL_CYCLE_G1_S"	"all"	74023	56	73967	9	830	821	4.45797473078707e-08	14.4815150671344	6.27452352170647	29.6429956532514	3.01804889274285e-05	677
