"gene_symbol_vep"	"population"	"count_with_plp_control"	"total_cohort_size_control"	"count_without_plp_control"	"count_with_plp_case"	"total_cohort_size_case"	"count_without_plp_case"	"p"	"OR"	"ci.int1"	"ci.int2"	"padj"	"ntests"
"NF1"	"all"	49	74023	73974	20	790	770	1.66813162877105e-23	39.1989915848237	21.9540769897479	67.4819005809482	1.21773608900287e-21	73
"TSC2"	"all"	4	74023	74019	8	790	782	7.11722949700475e-14	188.946867779609	50.5234185161144	881.682564613816	5.19557753281347e-12	73
"TSC1"	"all"	2	74023	74021	5	790	785	2.67541792442173e-09	237.181841942541	38.4747908793773	2519.13389969445	1.95305508482786e-07	73
"NF2"	"all"	2	74023	74021	4	790	786	1.8200881138637e-07	187.981002670417	26.9443073757555	2125.20628034972	1.3286643231205e-05	73
"TP53"	"all"	44	74023	73979	7	790	783	1.10259661464794e-06	15.0317390808645	5.69342278956404	33.7672031861458	8.04895528692993e-05	73
"PTCH1"	"all"	6	74023	74017	3	790	787	9.3968388275129e-05	47.0031838588378	7.59322916997906	219.144828054045	0.00685969234408441	73
"SMARCB1"	"all"	1	74023	74022	2	790	788	0.000331754313996719	187.501758020099	9.76181014115073	10037.2652567232	0.0242180649217605	73
"RAD51D"	"all"	32	74023	73991	4	790	786	0.000555665347011291	11.7656553445292	3.01568610558042	33.3023474893719	0.0405635703318242	73
"SMARCE1"	"all"	2	74023	74021	2	790	788	0.000658853449473705	93.8785513406636	6.79621632236787	1301.75371856988	0.0480963018115804	73
"SUFU"	"all"	2	74023	74021	2	790	788	0.000658853449473705	93.8785513406636	6.79621632236787	1301.75371856988	0.0480963018115804	73
"CREBBP"	"all"	5	74023	74018	2	790	788	0.00225787430435832	37.5611748256795	3.57145778038289	228.540831010944	0.164824824218158	73
"ATM"	"all"	284	74023	73739	9	790	781	0.00429766036174659	2.99192205595636	1.34908381532573	5.78921303183291	0.313729206407501	73
"MUTYH"	"all"	185	74023	73838	7	790	783	0.00454765325619813	3.56772537315606	1.41015944063104	7.5341743807928	0.331978687702463	73
"PMS2"	"all"	104	74023	73919	5	790	785	0.00615057789297695	4.52723454447247	1.43577190132212	10.95141269758	0.448992186187317	73
"ABCB11"	"all"	135	74023	73888	1	790	789	1	0.693689110963729	0.0174132764353385	3.94276887138119	1	73
"AKT1"	"all"	5	74023	74018	1	790	789	0.0617107471442812	18.7567374163234	0.396193693498792	167.866303059194	1	73
"APC"	"all"	200	74023	73823	6	790	784	0.022888116247958	2.82474503764446	1.02129452671086	6.28496915182753	1	73
"ASXL1"	"all"	61	74023	73962	1	790	789	0.482347020933417	1.53670007900954	0.0382394297810641	8.9135072856036	1	73
"BAP1"	"all"	13	74023	74010	1	790	789	0.138115782971946	7.21632234759435	0.169574540617506	48.1462539790643	1	73
"BLM"	"all"	140	74023	73883	1	790	789	1	0.668869447829628	0.0167945892280698	3.79898312321998	1	73
"BRCA1"	"all"	107	74023	73916	3	790	787	0.111209711983017	2.63321175535105	0.533452393867499	7.9345187339157	1	73
"BRCA2"	"all"	234	74023	73789	3	790	787	0.74238532819373	1.20204385718094	0.245576991890411	3.56930098526837	1	73
"BRIP1"	"all"	141	74023	73882	3	790	787	0.195571929127638	1.99737836125091	0.406163248392131	5.97899041286851	1	73
"BUB1B"	"all"	45	74023	73978	2	790	788	0.0882212533388959	4.17198064703105	0.489465549921033	16.0203728457069	1	73
"CDKN2A"	"all"	17	74023	74006	2	790	788	0.0169079973597985	11.0450846043561	1.23596529079895	46.6033347114502	1	73
"CHEK2"	"all"	190	74023	73833	5	790	785	0.0569201932410611	2.47507570194639	0.792319347071961	5.90257646336815	1	73
"COL7A1"	"all"	301	74023	73722	4	790	786	0.568867480097475	1.24642387360293	0.336582808284117	3.23731705013899	1	73
"CTNNA1"	"all"	4	74023	74019	1	790	789	0.051696311334667	23.4584873900815	0.475639412398471	236.855157771804	1	73
"DDX41"	"all"	67	74023	73956	1	790	789	0.514317570756582	1.39897586326685	0.034861903982051	8.08810514054874	1	73
"EDNRB"	"all"	10	74023	74013	1	790	789	0.110220648913917	9.37987113553165	0.215884072553175	66.0803432653953	1	73
"ELP1"	"all"	132	74023	73891	1	790	789	1	0.70948343366019	0.0178068193573614	4.03403857810686	1	73
"EPCAM"	"all"	17	74023	74006	1	790	789	0.173955329579578	5.51785827369002	0.131857709395663	35.314123134306	1	73
"ERCC2"	"all"	277	74023	73746	5	790	785	0.229610135293412	1.69571651583154	0.544767632751434	4.02210020328711	1	73
"ERCC3"	"all"	146	74023	73877	1	790	789	1	0.641329802852019	0.0161077247256059	3.63997373414463	1	73
"ERCC4"	"all"	194	74023	73829	2	790	788	1	0.965893473167194	0.11594484216837	3.54799069049647	1	73
"EXT2"	"all"	32	74023	73991	1	790	789	0.295591689478768	2.9304329359278	0.0718848470931529	17.5837356358381	1	73
"EZH2"	"all"	49	74023	73974	2	790	788	0.101281731790336	3.83157263612757	0.450562568557035	14.6460809602065	1	73
"FAH"	"all"	152	74023	73871	4	790	786	0.08423150146109	2.47319908112326	0.663677137211468	6.48960844849908	1	73
"FANCA"	"all"	261	74023	73762	4	790	786	0.367074983470255	1.43819255533065	0.387990867678716	3.74136959094197	1	73
"FANCC"	"all"	182	74023	73841	2	790	788	0.721518056168246	1.02975612318512	0.123545552170299	3.78607343047356	1	73
"FANCD2"	"all"	126	74023	73897	2	790	788	0.392112786570811	1.4884904561298	0.177982226706645	5.50811728470216	1	73
"FANCG"	"all"	58	74023	73965	1	790	789	0.465582042679433	1.61626595403913	0.0401858556393006	9.39435655622877	1	73
"FANCI"	"all"	152	74023	73871	1	790	789	1	0.615964323004822	0.0154747361665092	3.49412953307507	1	73
"FANCM"	"all"	385	74023	73638	1	790	789	0.201592493889832	0.242431401209481	0.00611726599776323	1.36270380095826	1	73
"FH"	"all"	36	74023	73987	1	790	789	0.324890273518802	2.60473368987091	0.0641073891426763	15.5161758313049	1	73
"GBA"	"all"	211	74023	73812	3	790	787	0.496519661770175	1.33348572567923	0.272225625817127	3.96491888986881	1	73
"GJB2"	"all"	574	74023	73449	9	790	781	0.221280961307617	1.47452638148042	0.668305693993996	2.83344612569503	1	73
"HMBS"	"all"	43	74023	73980	1	790	789	0.373264504619384	2.18061589518302	0.0539004527668313	12.8529199292319	1	73
"LZTR1"	"all"	268	74023	73755	3	790	787	0.765169437046108	1.0490928662194	0.214523714469215	3.11027088625437	1	73
"MPL"	"all"	185	74023	73838	2	790	788	0.725859730174955	1.01300799330558	0.121554463229048	3.7236574951138	1	73
"MSH2"	"all"	15	74023	74008	1	790	789	0.15622558084689	6.25279581851095	0.148356960477886	40.7422590630703	1	73
"MSH3"	"all"	123	74023	73900	2	790	788	0.38092065647784	1.52485933883956	0.182285564476073	5.64487386993342	1	73
"MSH6"	"all"	85	74023	73938	2	790	788	0.234181260772063	2.20760017450778	0.262643087860188	8.25015387558845	1	73
"NBN"	"all"	88	74023	73935	1	790	789	0.611462756893302	1.06482794367682	0.0266273202790281	6.10684388720501	1	73
"NTHL1"	"all"	78	74023	73945	1	790	789	0.56789596179445	1.20153166438382	0.0300024696217658	6.91336081573939	1	73
"POLE"	"all"	89	74023	73934	2	790	788	0.249780281823014	2.10839981531708	0.251003945085597	7.8682269670377	1	73
"POLH"	"all"	37	74023	73986	1	790	789	0.332022731579144	2.53422084627727	0.0624189471695084	15.0696948322558	1	73
"PRF1"	"all"	79	74023	73944	1	790	789	0.572463657758568	1.18630674694215	0.0296269782967487	6.82322983620608	1	73
"PTCH2"	"all"	26	74023	73997	1	790	789	0.249245800924504	3.6074040206209	0.0878738667770605	22.0041719765778	1	73
"PTEN"	"all"	11	74023	74012	1	790	789	0.119617799890602	8.52582202603282	0.197872099601232	58.7136274546424	1	73
"PTPN11"	"all"	32	74023	73991	1	790	789	0.295591689478768	2.9304329359278	0.0718848470931529	17.5837356358381	1	73
"RAD50"	"all"	236	74023	73787	3	790	787	0.743517140228091	1.19182499516066	0.243502961440033	3.5386098208972	1	73
"RECQL4"	"all"	311	74023	73712	5	790	785	0.395356602692643	1.50960811974782	0.485427567009113	3.57592615572221	1	73
"RMRP"	"all"	129	74023	73894	4	790	786	0.0531052878867268	2.91499185719388	0.780486371694279	7.67480859472736	1	73
"SDHA"	"all"	115	74023	73908	1	790	789	1	0.814549846816511	0.0204214324405407	4.64238299457173	1	73
"SLX4"	"all"	79	74023	73944	2	790	788	0.210905887701719	2.37548529963164	0.28227340501325	8.89676591751051	1	73
"SOS1"	"all"	12	74023	74011	1	790	789	0.128915829837881	7.81651506332296	0.182633894032583	52.9577061931074	1	73
"SOS2"	"all"	6	74023	74017	1	790	789	0.0716195592842683	15.6344701060639	0.339487733471238	129.061693635902	1	73
"TERT"	"all"	41	74023	73982	2	790	788	0.0757194419822742	4.58012133307279	0.535690295030016	17.6835904484601	1	73
"VHL"	"all"	21	74023	74002	1	790	789	0.208306375866562	4.46624436308342	0.107863969622036	27.8393195861029	1	73
"WAS"	"all"	1	74023	74022	1	790	789	0.0210079573769738	93.760811425627	1.19367009848987	6837.83297724194	1	73
"WRN"	"all"	110	74023	73913	1	790	789	1	0.851632039276423	0.0213428683907762	4.85852545084129	1	73
"XPC"	"all"	86	74023	73937	1	790	789	0.603115365695669	1.08964647614444	0.0272402694817448	6.25341105756105	1	73
