Hugo_symbol	n	n_without	count_with_plp_PMBB_noTumor	count_without_plp_PMBB_noTumor	oddsRatio	pvalue	CI_lower	CI_upper	fdr
ABCB11	1	837	15	6280	0.5002369054442689	0.9999999999999999	0.01187093595572718	3.259537596065135	1
APC	1	837	1	6294	7.51578197034556	0.22117673820045525	0.09568286234023898	587.3728608672147	0.4948002016300227
ASXL1	1	837	24	6271	0.3122090784516466	0.3522311315194884	0.007585614169550695	1.9197499552452004	0.5380231624737505
ATM	9	829	30	6265	2.2669653967995282	0.04112933407900059	0.9432816272033852	4.919034380836965	0.19683324166378852
BAP1	1	837	1	6294	7.51578197034556	0.22117673820045525	0.09568286234023898	587.3728608672147	0.4948002016300227
BLM	1	837	14	6281	0.536050367631558	1	0.012664799441695252	3.5319773514488193	1
BRCA1	2	836	18	6277	0.8343102917201501	1	0.0937149579917642	3.4946064025296772	1
BRCA2	3	835	19	6276	1.1867308325305155	0.7379017433488744	0.22444040091627546	4.044302124646141	0.8239902800729098
BRIP1	3	835	15	6280	1.5040836876799133	0.46113528672446774	0.27852949103370334	5.332988859205306	0.5988445947780892
BUB1B	2	836	3	6292	5.015716466040744	0.10829849391382611	0.41835608313505074	43.87109988195267	0.3577864726049222
CDKN2A	1	837	2	6293	3.758158880813598	0.3127002122416863	0.06364395942263679	72.42281982319072	0.5380231624737505
CHEK2	4	834	16	6279	1.8819085499136612	0.2834521626565514	0.45676828692871213	5.852646437948941	0.5380231624737505
COL7A1	3	835	33	6262	0.6817957096832418	0.7938312325145644	0.13349712380826367	2.1809058579699196	0.8719129930897676
CREBBP	1	837	0	6295	Inf	0.11748212533295953	0.19261363808363388	Inf	0.3577864726049222
EDNRB	1	837	3	6292	2.505172671456141	0.39347962628677274	0.047675064071599806	31.227088751096808	0.5380231624737505
EGFR	1	837	2	6293	3.758158880813598	0.3127002122416863	0.06364395942263679	72.42281982319072	0.5380231624737505
ELP1	1	837	NA	NA	0	0	0	0	0
EPCAM	1	837	1	6294	7.51578197034556	0.22117673820045525	0.09568286234023898	587.3728608672147	0.4948002016300227
ERCC2	5	833	25	6270	1.5052940735981823	0.3898471833141013	0.44881488020919563	4.018005468657917	0.5380231624737505
ERCC3	1	837	25	6270	0.2996735630390249	0.355557085025121	0.007292698165743801	1.8356036757925527	0.5380231624737505
ERCC4	1	837	3	6292	2.505172671456141	0.39347962628677274	0.047675064071599806	31.227088751096808	0.5380231624737505
EXT2	1	837	1	6294	7.51578197034556	0.22117673820045525	0.09568286234023898	587.3728608672147	0.4948002016300227
