plot_group	Hugo_symbol	n	hist_n	n_without	count_with_plp_PMBB_noTumor	count_without_plp_PMBB_noTumor	oddsRatio	pvalue	CI_lower	CI_upper	fdr
Atypical Teratoid Rhabdoid Tumor	FANCI	1	27	26	12	6283	20.07095060059979	0.054169867914480065	0.4538345803548858	145.20655373802094	0.12358078160202564
Atypical Teratoid Rhabdoid Tumor	MTAP	1	27	26	2	6293	119.17148937319526	0.012759769722031345	1.9759163777425102	2394.1340247267435	0.04916264216429724
Atypical Teratoid Rhabdoid Tumor	NBN	1	27	26	16	6279	15.0638343987503	0.0702611293770992	0.34675253429018305	104.3231155385137	0.14381574919374993
Atypical Teratoid Rhabdoid Tumor	PTPN11	1	27	26	5	6290	48.07027544086486	0.025362683584260956	0.9854813035141823	448.90418870930336	0.07415590274749909
Atypical Teratoid Rhabdoid Tumor	RAD51D	1	27	26	4	6291	60.06406814559933	0.021179025787245863	1.1832444397872401	642.8418164341061	0.06766957019827337
Atypical Teratoid Rhabdoid Tumor	SMARCB1	2	27	25	1	6294	489.794780775213	5.25619272569249e-5	24.809465611870184	16383.999999940395	5.296624977428586e-4
Atypical Teratoid Rhabdoid Tumor	TERT	1	27	26	3	6292	79.78883238468528	0.01697807740006667	1.4801573311764988	1021.5137417627905	0.061781337205798155
Atypical Teratoid Rhabdoid Tumor	TP53	1	27	26	4	6291	60.06406814559933	0.021179025787245863	1.1832444397872401	642.8418164341061	0.06766957019827337
Choroid plexus tumor	COL7A1	1	18	17	33	6262	11.145499908970395	0.09274914234948595	0.2593263379284692	75.4613101198184	0.16554788927293754
Choroid plexus tumor	SOS2	1	18	17	1	6294	358.5813191206313	0.005694839365206322	4.456487175492838	16383.999999940395	0.03391017985645582
Choroid plexus tumor	TP53	2	18	16	4	6291	193.716197222341	1.144120336219645e-4	16.366361999920755	1438.725325102384	0.0010705697431769535
Craniopharyngioma	EXT2	1	39	38	1	6294	163.3621347435099	0.012277547787111176	2.0562716217178214	11370.505536840938	0.04916264216429724
Craniopharyngioma	FGFR2	1	39	38	1	6294	163.3621347435099	0.012277547787111176	2.0562716217178214	11370.505536840938	0.04916264216429724
Craniopharyngioma	MPL	1	39	38	17	6278	9.705500813745862	0.10535025184067626	0.22664681342872403	65.14794968655806	0.17170232815634515
DIPG or DMG	BRIP1	1	52	51	15	6280	8.200481509686467	0.12346787094940209	0.19129601097714707	55.30222620603213	0.18314059036605465
DIPG or DMG	ELP1	1	52	51	NA	NA	0	0	0	0	0
DIPG or DMG	MSH2	1	52	51	0	6295	Inf	0.008192847014337494	3.1039778920289516	Inf	0.04293051835512847
DIPG or DMG	PMS2	1	52	51	19	6276	6.471428864190605	0.15191944062157173	0.15291560206866478	42.33771471760458	0.20516955382913296
DIPG or DMG	XPC	1	52	51	9	6286	13.664934663238748	0.07902699514491351	0.3065087153106284	101.89834645325601	0.1462096031406889
Ependymoma	ERCC2	1	71	70	25	6270	3.5810993006726712	0.25336927241454466	0.08604955636451492	22.50818753591093	0.2886206494461335
Ependymoma	ERCC4	1	71	70	3	6292	29.847357087864836	0.04388136621856439	0.5627673677194213	376.32986325835753	0.10985197200053319
Ependymoma	FAH	1	71	70	9	6286	9.967437055558717	0.10616708840201493	0.22447211088595767	73.60411980565046	0.17170232815634515
Ependymoma	FGFR2	1	71	70	1	6294	89.45327733504662	0.02218334390846501	1.1294180108579503	6572.736430524303	0.06840969067434759
