Hugo_symbol	n	n_without	count_with_plp_gnomAD	count_without_plp_gnomAD	oddsRatio	pvalue	CI_lower	CI_upper	fdr
ABCB11	1	837	54.10950813	73968.89049	1.6365260456819342	0.46171706152274017	0.04064203827828096	9.538480838519481	0.49103243050831097
APC	1	837	10.51006112	74012.48994	8.038051389442321	0.12636834630712207	0.18653797976938472	55.42172563931764	0.21571328690842723
ASXL1	1	837	55.58081296	73967.41919	1.5780262846007203	0.4737096158244855	0.03921462418634639	9.183407013867289	0.4959147540662583
ATM	9	829	129.7215251	73893.27847	6.170400525274504	2.9708051835948627e-5	2.7501351458098156	12.137051489196075	2.8434849614407973e-4
BAP1	1	837	7.007693334	74015.99231	12.631044394182629	0.08612536158154192	0.2799696111208602	98.52013442299193	0.18614191051494544
BLM	1	837	68.63529259	73954.36471	1.2805148607805545	0.5454147342475907	0.03192497467232748	7.394834014136403	0.5621967260705935
BRCA1	2	836	48.54388376	73974.45612	3.6119142839499396	0.11157914990438637	0.42473522010833675	13.802448115979535	0.21091719907834608
BRCA2	3	835	107.6290848	73915.37092	2.458867124376715	0.1287840518856282	0.49827115495175717	7.404931371225732	0.21571328690842723
BRIP1	3	835	69.07063555	73953.92936	3.850672556739225	0.04722430919251374	0.7736075842259179	11.770370063875204	0.12656114863593684
BUB1B	2	836	19.0239412	74003.97606	9.31721924110018	0.022831828058718282	1.050688869418609	38.71739007160419	0.06651010782322282
CDKN2A	1	837	13.51807154	74009.48193	6.315299428642177	0.15538464344798467	0.14919288196300137	41.61759034173105	0.24211095607011565
CHEK2	4	834	88.09138352	73934.90862	4.029438503611358	0.020078110241707366	1.0716540250716131	10.72608699844734	0.06114697209974516
COL7A1	3	835	131.6253215	73891.37468	2.0110999478590306	0.1931572997678581	0.4086869385329662	6.027337947928032	0.27535189541375515
CREBBP	1	837	2.502530241	74020.49747	29.457838486797296	0.044030936781643354	0.5608542653463048	366.6950853281366	0.12291969851542102
EDNRB	1	837	12.52769103	74010.47231	6.8011966777206325	0.1458211083537314	0.15986130395859743	45.37284858678555	0.2326193871357144
EGFR	1	837	36.53652436	73986.46348	2.388859746716297	0.34811045040518096	0.05884358395686762	14.202352214442914	0.41890109254792585
ELP1	1	837	35.5354478	73987.4646	2.4553812611363655	0.34072684482357835	0.06043531191164214	14.622757361756998	0.41890109254792585
EPCAM	1	837	10.51404149	74012.48596	8.038051389442321	0.12636834630712207	0.18653797976938472	55.42172563931764	0.21571328690842723
ERCC2	5	833	99.83342602	73923.16657	4.437046147728048	0.0066910632522111805	1.4063216425550629	10.745272288107412	0.028018827368634317
ERCC3	1	837	53.53984424	73969.46016	1.6365260456819342	0.46171706152274017	0.04064203827828096	9.538480838519481	0.49103243050831097
ERCC4	1	837	38.55335535	73984.44664	2.266412194826621	0.36263079653402536	0.05589896266640496	13.43048234169836	0.41890109254792585
EXT2	1	837	39.04352437	73983.95648	2.266412194826621	0.36263079653402536	0.05589896266640496	13.43048234169836	0.41890109254792585
EZH2	2	836	31.08738001	73991.91262	5.70973653040157	0.05259133854160287	0.661061739253967	22.501662901548183	0.13552383393413048
FAH	4	834	61.56790815	73961.43209	5.72103102063876	0.006491846314569574	1.50793335714961	15.448853098028431	0.028018827368634317
FANCA	5	833	123.5950967	73899.4049	3.5767427441988398	0.01536042563533796	1.1384219793690376	8.607272754358535	0.05145742587838217
FANCC	1	837	82.05874708	73940.94125	1.0773084278934724	0.6073603490287995	0.026919176211488212	6.189205298225813	0.6165627785595389
FANCD2	2	836	55.55536805	73967.44463	3.1597601666594373	0.13764755376192708	0.37287869459932543	11.99512106530121	0.2249362463914418
FANCG	1	837	28.69504336	73994.30496	3.0482584599234857	0.2866491814512161	0.07454988489710473	18.42634122609747	0.3693364453313746
FANCI	2	836	69.07981483	73953.92019	2.5640434146589275	0.18887488735376234	0.30393922883343855	9.648547212563367	0.2751003794065669
FGFR1	1	837	32.0586	73990.9414	2.7623241453607843	0.3103476386446134	0.06776727679046374	16.571199572451512	0.3923262601733792
FGFR2	2	836	10.01115918	74012.98884	17.703245269678455	0.0076681367527852325	1.88322817593625	83.2812649463873	0.030221480143330034
FH	1	837	22.5440837	74000.45592	3.843865861103112	0.23678435900060474	0.09320473670332843	23.73017206871173	0.31729104106081035
GBA	2	836	78.16050977	73944.83949	2.267926769718421	0.22563833357173818	0.269448270049028	8.4966568882455	0.31194852359223546
GJB2	9	829	187.705924	73835.29408	4.2635808655711624	4.188632496606743e-4	1.9129667785053235	8.306849090562595	0.002551257975205925
HMBS	1	837	22.0123139	74000.98769	4.0185809079194	0.2281414575525304	0.09726065939542602	24.92394962111602	0.31194852359223546
LZTR1	1	837	93.15309263	73929.84691	0.949757188881842	1	0.023765094054296606	5.437278609448056	1
MPL	2	836	67.5609224	73955.43908	2.601772506302846	0.18483962419220043	0.3083252971648785	9.79797857445562	0.2751003794065669
MSH2	1	837	7.504942128	74015.49506	11.050313013045102	0.09635644045606483	0.24881479542947366	82.40335499732944	0.20174629720488574
MSH6	1	837	41.08687243	73981.91313	2.155847334704282	0.37682809030269393	0.05323486586612446	12.738587146358116	0.42792342458102534
MTAP	1	837	4.503652825	74018.49635	17.683296742801268	0.0653148067256957	0.3734997360844697	158.78589540730567	0.15089972588350387
MUTYH	5	833	72.55912346	73950.44088	6.080035291796216	0.0018698978194848063	1.9122226955949284	14.898285148810725	0.009637165685037079
