pathway_name	plot_group	n_plp	n_no_plp	OR	p	ci.int1	ci.int2	padj	cohort	perc_plp	fraction	hist_pathway
MEDICUS: REGULATION OF GF RTK RAS ERK SIGNALING SPRED AND NF1	Neurofibroma plexiform	80	73943	1402.842592979511	1.7177229352577697e-23	424.9584606047257	4300.262467013929	1.8894952287835466e-22	gnomAD	0.10807451737973332	80/74023	Neurofibroma plexiform: MEDICUS: REGULATION OF GF RTK RAS ERK SIGNALING SPRED AND NF1
MEDICUS: REGULATION OF GF RTK RAS ERK SIGNALING SPRED AND NF1	Neurofibroma plexiform	6	6289	1497.4674726489552	5.735231476366336e-22	352.9969146029702	8191.999999985097	6.30875462400297e-21	PMBB	0.09531374106433678	6/6295	Neurofibroma plexiform: MEDICUS: REGULATION OF GF RTK RAS ERK SIGNALING SPRED AND NF1
MEDICUS: STRAD STK11 TSC SIGNALING PATHWAY	Low-grade glioma	38	73985	82.48621311583796	1.9232814774666396e-14	34.683302644795816	176.83649697390248	4.6158755459199354e-12	gnomAD	0.051335395755373325	38/74023	Low-grade glioma: MEDICUS: STRAD STK11 TSC SIGNALING PATHWAY
MEDICUS: IGF IGF1R PI3K SIGNALING PATHWAY	Low-grade glioma	52	73971	60.36242640019018	2.361100646570154e-13	25.81763919017227	125.59233177215062	5.666641551768369e-11	gnomAD	0.07024843629682666	52/74023	Low-grade glioma: MEDICUS: IGF IGF1R PI3K SIGNALING PATHWAY
MEDICUS: RELN VLDLR PI3K SIGNALING PATHWAY	Low-grade glioma	90	73933	34.85888247427299	2.1374563932133438e-11	15.243994787071607	70.53281488926456	5.129895343712025e-9	gnomAD	0.1215838320522	90/74023	Low-grade glioma: MEDICUS: RELN VLDLR PI3K SIGNALING PATHWAY
MEDICUS: IGF IGF1R PI3K SIGNALING PATHWAY	Low-grade glioma	4	6291	66.67458274692335	3.214038771565032e-11	18.399236694743138	296.4472188129471	7.713693051756077e-9	PMBB	0.06354249404289118	4/6295	Low-grade glioma: MEDICUS: IGF IGF1R PI3K SIGNALING PATHWAY
MAPK SIGNALING PATHWAY	Neurofibroma plexiform	3026	70997	46.914684013091524	3.293579699472177e-11	14.59908512090219	174.84081039457897	3.622937669419395e-10	gnomAD	4.087918619888413	3026/74023	Neurofibroma plexiform: MAPK SIGNALING PATHWAY
MEDICUS: RELN VLDLR PI3K SIGNALING PATHWAY	Low-grade glioma	5	6290	53.22501508267021	8.735605977984974e-11	15.871947731651423	204.5823454345631	2.0965454347163936e-8	PMBB	0.07942811755361398	5/6295	Low-grade glioma: MEDICUS: RELN VLDLR PI3K SIGNALING PATHWAY
MEDICUS: MDM2 P21 CELL CYCLE G1 S N00536	Other high-grade glioma	66	73957	95.87241319188662	1.4086605135953718e-10	32.90518273741326	229.82426621009043	1.5072667495470478e-8	gnomAD	0.08916147683828	66/74023	Other high-grade glioma: MEDICUS: MDM2 P21 CELL CYCLE G1 S N00536
MEDICUS: STRAD STK11 TSC SIGNALING PATHWAY	Low-grade glioma	6	6289	44.361991437406395	2.119918662489741e-10	13.95804587404389	152.43406378501714	5.087804789975378e-8	PMBB	0.09531374106433678	6/6295	Low-grade glioma: MEDICUS: STRAD STK11 TSC SIGNALING PATHWAY
MEDICUS: MDM2 P21 CELL CYCLE G1 S N00066	Other high-grade glioma	72	73951	87.89378781094953	2.304566140524587e-10	30.252528329058414	211.2197192076522	2.465885770361308e-8	gnomAD	0.09726706564175999	72/74023	Other high-grade glioma: MEDICUS: MDM2 P21 CELL CYCLE G1 S N00066
MAPK SIGNALING PATHWAY	Neurofibroma plexiform	311	5984	38.40314540021474	2.4225091467456353e-10	11.87382339421114	143.96642355320324	2.664760061420199e-9	PMBB	4.94042891183479	311/6295	Neurofibroma plexiform: MAPK SIGNALING PATHWAY
MEDICUS: TSC1 2 MTORC1 SIGNALING PATHWAY	Low-grade glioma	148	73875	21.1781934151774	1.3451856683650648e-9	9.37498089904997	42.054040192781244	3.2284456040761557e-7	gnomAD	0.19993785715250664	148/74023	Low-grade glioma: MEDICUS: TSC1 2 MTORC1 SIGNALING PATHWAY
MEDICUS: STRAD STK11 TSC SIGNALING PATHWAY	Non-neoplastic tumor	38	73985	321.9634722649539	1.8113957905386907e-9	78.04360022063389	1024.8491116814682	5.434187371616072e-8	gnomAD	0.051335395755373325	38/74023	Non-neoplastic tumor: MEDICUS: STRAD STK11 TSC SIGNALING PATHWAY
MEDICUS: MDM2 P21 CELL CYCLE G1 S N00066	Other high-grade glioma	6	6289	89.41758404938363	2.0596496027595067e-9	23.255835286262123	344.15540387288195	2.203825074952672e-7	PMBB	0.09531374106433678	6/6295	Other high-grade glioma: MEDICUS: MDM2 P21 CELL CYCLE G1 S N00066
MEDICUS: MDM2 P21 CELL CYCLE G1 S N00536	Other high-grade glioma	6	6289	89.41758404938363	2.0596496027595067e-9	23.255835286262123	344.15540387288195	2.203825074952672e-7	PMBB	0.09531374106433678	6/6295	Other high-grade glioma: MEDICUS: MDM2 P21 CELL CYCLE G1 S N00536
MEDICUS: AMPLIFIED MYCN TO TRANSCRIPTIONAL ACTIVATION	Other high-grade glioma	51	73972	101.93204891353749	3.640092632211585e-9	30.868816337725214	265.6176471829072	3.894899116466396e-7	gnomAD	0.06889750482958	51/74023	Other high-grade glioma: MEDICUS: AMPLIFIED MYCN TO TRANSCRIPTIONAL ACTIVATION
