pathway_name	n_plp	n_no_plp	OR	p	ci.int1	ci.int2	padj	cohort	perc_plp	fraction
Basal cell carcinoma	863	73160	3.46230887217544	1.31692464893407e-8	2.32109672242982	4.99314885624983	4.54339003882253e-6	gnomAD	1.1658538562338732	863/74023
p53 signaling pathway	1122	72901	3.10208094566243	1.48856448269309e-8	2.14467839888908	4.35995935780441	5.13554746529115e-6	gnomAD	1.5157451062507599	1122/74023
EGFR tyrosine kinase inhibitor resistance	1266	72757	2.90396085069909	3.20012290488264e-8	2.02914742767928	4.04533613293065	1.10404240218451e-5	gnomAD	1.7102792375342801	1266/74023
Choline metabolism in cancer	1061	72962	2.99765483984697	1.17857389103558e-7	2.0376217369029	4.27298736464513	4.06607992407274e-5	gnomAD	1.4333382867487132	1061/74023
Longevity regulating pathway	907	73116	3.18196451841179	1.26221338535972e-7	2.11946230111311	4.61256839567408	4.35463617949103e-5	gnomAD	1.2252948407927267	907/74023
Glioma	42	6253	4.43192164397915	1.4362014755454e-7	2.55247008479207	7.53418147170534	4.95489509063164e-5	PMBB	0.6671961874503575	42/6295
mTOR signaling pathway	1260	72763	2.75713154735807	2.3228698024414e-7	1.90727126026323	3.87275548665444	8.01390081842282e-5	gnomAD	1.7021736487308	1260/74023
EGFR tyrosine kinase inhibitor resistance	101	6194	2.86079802936228	6.62159123168317e-7	1.89353681011899	4.24197394589806	2.2844489749307e-4	PMBB	1.6044479745830023	101/6295
Chronic myeloid leukemia	612	73411	3.43602385489231	1.63276353065504e-6	2.12469816193929	5.2879694255292	5.6330341807598e-4	gnomAD	0.8267700579549598	612/74023
Longevity regulating pathway	87	6208	2.95388891687435	1.68214475981634e-6	1.90267282530945	4.49033407714226	5.8033994213663e-4	PMBB	1.3820492454328832	87/6295
Autophagy	1432	72591	2.49086875578541	1.7460764464077e-6	1.73282667062588	3.48164429977973	6.0239637401065e-4	gnomAD	1.9345338610972267	1432/74023
Choline metabolism in cancer	88	6207	2.91985721138758	1.95544015837355e-6	1.88191254508324	4.43523365410315	6.7462685463887e-4	PMBB	1.3979348689436062	88/6295
Glioma	588	73435	3.41038617758258	3.08078314005765e-6	2.08308765304937	5.29941502255503	0.00106287018331989	gnomAD	0.7943477027410399	588/74023
Ras signaling pathway	1838	72185	2.26055311010207	3.19522132316824e-6	1.61654654391952	3.08783411002084	0.00110235135649304	gnomAD	2.4830120367993733	1838/74023
MicroRNAs in cancer	2937	71086	1.98931599377255	3.76928599520721e-6	1.49876691081792	2.59806335168054	0.00130040366834649	gnomAD	3.96768571930346	2937/74023
Cellular senescence	2094	71929	2.17286188996406	4.32982016766703e-6	1.57725863124175	2.93008546327714	0.00149378795784512	gnomAD	2.82885049241452	2094/74023
Endometrial cancer	765	73258	3.00024954478504	5.31436239502251e-6	1.89855096668391	4.53237855994463	0.00183345502628277	gnomAD	1.0334625724437	765/74023
p53 signaling pathway	111	6184	2.59892658435325	5.87923954424162e-6	1.72795654961253	3.83301077427513	0.00202833764276336	PMBB	1.7633042096902303	111/6295
Cell cycle	2218	71805	2.09422602122667	8.20732963125903e-6	1.52557050859456	2.81526820686749	0.00283152872278437	gnomAD	2.9963659943531065	2218/74023
MAPK signaling pathway	3836	70187	1.80674474002463	1.17907475954069e-5	1.3922764152141	2.31353458152983	0.00406780792041537	gnomAD	5.182173108358213	3836/74023
Basal cell carcinoma	100	6195	2.56458584877063	2.6013082982881e-5	1.66370631636085	3.86560963036293	0.00897451362909394	PMBB	1.5885623510722795	100/6295
Autophagy	133	6162	2.28397318384589	3.19032346849037e-5	1.54358748752401	3.3139631952615	0.0110066159662918	PMBB	2.112787926926132	133/6295
Ras signaling pathway	153	6142	2.19305408701018	3.55045344771569e-5	1.51325599341088	3.12207826007101	0.0122490643946191	PMBB	2.430500397140588	153/6295
Cellular senescence	193	6102	2.02646947701432	4.08146572988398e-5	1.4409243729486	2.80610665211945	0.0140810567680997	PMBB	3.0659253375694995	193/6295
