pathway_name	n_plp	n_no_plp	OR	p	ci.int1	ci.int2	padj	cohort	perc_plp	fraction
All DNA Repair	9186	64837	1.46775438338681	9.31992815252826e-5	1.20954761337909	1.77047853976242	8.3879353372754e-4	gnomAD	12.409656458127879	9186/74023
All DNA Repair	784	5511	1.43843150020005	4.2451529038246e-4	1.17362602063981	1.75440620231348	0.00382063761344218	PMBB	12.454328832406672	784/6295
Mismatch Repair	476	73547	2.78745673335723	8.5160600107674e-4	1.5051721739179	4.75222257219689	0.00766445400969072	gnomAD	0.6430433784094133	476/74023
Other DNA Repair	1653	72370	1.90854696890512	0.00096477789466431995	1.29963293191302	2.71442693082089	0.00868300105197892	gnomAD	2.23308971535874	1653/74023
Other DNA Repair	143	6152	1.83734258578338	0.00281741902497204	1.21618210374374	2.70866090270806	0.0253567712247484	PMBB	2.27164416203336	143/6295
Mismatch Repair	40	6255	2.68237776510849	0.00403138117877885	1.34188183170326	5.06318261001877	0.0362824306090097	PMBB	0.6354249404289118	40/6295
Base Excision Repair (BER)	1015	73008	1.86830329483951	0.012760782678082	1.12984689569988	2.92119413559517	0.114847044102738	gnomAD	1.3711954392553665	1015/74023
Translesion Synthesis (TLS)	113	73910	3.32847790302834	0.035948345823007	0.889343683083262	8.79389072142591	0.323535112407063	gnomAD	0.15265525579887332	113/74023
Translesion Synthesis (TLS)	12	6283	2.53518226174173	0.106656120107119	0.594518281184095	8.38923306449941	0.959905080964071	PMBB	0.19062748212867356	12/6295
Homology-dependent recombination (HDR)	3465	70558	1.25900032109965	0.128153724866499	0.91185176227573	1.70031492150734	1	gnomAD	4.6809775340097	3465/74023
Base Excision Repair (BER)	107	6188	1.42785854061851	0.161013840962301	0.833920847047209	2.33210483992864	1	PMBB	1.6997617156473392	107/6295
Nucleotide Excision Repair (NER) - includes TC-NER and GC-NER	1303	72720	1.37530823779468	0.172687103120896	0.820775759481423	2.1714310929362	1	gnomAD	1.7602637018224065	1303/74023
Homology-dependent recombination (HDR)	304	5991	1.20960390176121	0.232918066095459	0.864933194996626	1.66112626338091	1	PMBB	4.82922954725973	304/6295
Non-homologous End Joining (NHEJ)	65	6230	1.28725889076934	0.46952432935283	0.60998138948182	2.47099959646646	1	PMBB	1.0325655281969817	65/6295
Fanconi Anemia (FA)	2848	71175	1.05506339013901	0.71048950076118	0.71500296691205	1.50581862077516	1	gnomAD	3.847452818718507	2848/74023
Fanconi Anemia (FA)	232	6063	1.04796795061581	0.769751737779851	0.69524963939225	1.53387684242575	1	PMBB	3.6854646544876886	232/6295
Nucleotide Excision Repair (NER) - includes TC-NER and GC-NER	145	6150	1.04725779136781	0.806377137219357	0.617658713891623	1.68935449213377	1	PMBB	2.3034154090548054	145/6295
Non-homologous End Joining (NHEJ)	892	73131	1.05112177804278	0.868812314837292	0.500307343987143	1.95255453703737	1	gnomAD	1.2050308687840268	892/74023
All DNA Repair	141	689	NA	NA	NA	NA	NA	PBTA	16.987951807228914	141/830
Other DNA Repair	34	796	NA	NA	NA	NA	NA	PBTA	4.096385542168675	34/830
Mismatch Repair	14	816	NA	NA	NA	NA	NA	PBTA	1.6867469879518073	14/830
Translesion Synthesis (TLS)	4	826	NA	NA	NA	NA	NA	PBTA	0.48192771084337355	4/830
Base Excision Repair (BER)	20	810	NA	NA	NA	NA	NA	PBTA	2.4096385542168677	20/830
Fanconi Anemia (FA)	32	798	NA	NA	NA	NA	NA	PBTA	3.8554216867469884	32/830
Homology-dependent recombination (HDR)	48	782	NA	NA	NA	NA	NA	PBTA	5.783132530120482	48/830
Nucleotide Excision Repair (NER) - includes TC-NER and GC-NER	20	810	NA	NA	NA	NA	NA	PBTA	2.4096385542168677	20/830
Non-homologous End Joining (NHEJ)	11	819	NA	NA	NA	NA	NA	PBTA	1.3253012048192772	11/830
