plot_group	Hugo_symbol	n	hist_n	n_without	count_with_plp_PMBB_noTumor	count_without_plp_PMBB_noTumor	oddsRatio	pvalue	CI_lower	CI_upper	adjusted_p
Atypical Teratoid Rhabdoid Tumor	FANCI	1	27	26	12	6283	20.07095060059979	0.054169867914480065	0.4538345803548858	145.20655373802094	1
Atypical Teratoid Rhabdoid Tumor	MTAP	1	27	26	2	6293	119.17148937319529	0.012759769722031345	1.9759163777425106	2394.134024726745	1
Atypical Teratoid Rhabdoid Tumor	NBN	1	27	26	16	6279	15.063834398750297	0.0702611293770992	0.3467525342901831	104.3231155385137	1
Atypical Teratoid Rhabdoid Tumor	PTPN11	1	27	26	5	6290	48.070275440864854	0.025362683584260956	0.9854813035141824	448.90418870930336	1
Atypical Teratoid Rhabdoid Tumor	RAD51D	1	27	26	4	6291	60.06406814559938	0.02117902578724586	1.1832444397872404	642.8418164341062	1
Atypical Teratoid Rhabdoid Tumor	SMARCB1	2	27	25	1	6294	489.794780775213	5.25619272569249e-5	24.809465611870184	16383.999999940395	0.006885612470657162
Atypical Teratoid Rhabdoid Tumor	TERT	1	27	26	3	6292	79.78883238468528	0.016978077400066672	1.4801573311764993	1021.5137417627905	1
Atypical Teratoid Rhabdoid Tumor	TP53	1	27	26	4	6291	60.06406814559938	0.02117902578724586	1.1832444397872404	642.8418164341062	1
Choroid plexus tumor	COL7A1	1	18	17	33	6262	11.145499908970391	0.09274914234948592	0.25932633792846915	75.46131011981842	1
Choroid plexus tumor	SOS2	1	18	17	1	6294	358.5813191206312	0.005694839365206322	4.456487175492837	16383.999999940395	0.7460239568420282
Choroid plexus tumor	TP53	2	18	16	4	6291	193.716197222341	1.1441203362196452e-4	16.366361999920755	1438.725325102384	0.014987976404477353
Craniopharyngioma	EXT2	1	39	38	1	6294	163.3621347435099	0.012277547787111176	2.056271621717822	11370.50553684094	1
Craniopharyngioma	FGFR2	1	39	38	1	6294	163.3621347435099	0.012277547787111176	2.056271621717822	11370.50553684094	1
Craniopharyngioma	MPL	1	39	38	17	6278	9.70550081374586	0.10535025184067627	0.2266468134287241	65.14794968655806	1
DIPG or DMG	BRIP1	1	52	51	15	6280	8.200481509686469	0.12346787094940205	0.1912960109771471	55.30222620603214	1
DIPG or DMG	ELP1	1	52	51	NA	NA	0	0	0	0	0
DIPG or DMG	MSH2	1	52	51	0	6295	Inf	0.008192847014337494	3.1039778920289516	Inf	1
DIPG or DMG	PMS2	1	52	51	19	6276	6.471428864190605	0.15191944062157176	0.15291560206866484	42.33771471760458	1
DIPG or DMG	XPC	1	52	51	9	6286	13.664934663238748	0.07902699514491351	0.3065087153106284	101.89834645325601	1
Ependymoma	ERCC2	1	71	70	25	6270	3.58109930067267	0.2533692724145446	0.0860495563645149	22.508187535910935	1
Ependymoma	ERCC4	1	71	70	3	6292	29.847357087864836	0.04388136621856438	0.5627673677194213	376.32986325835753	1
Ependymoma	FAH	1	71	70	9	6286	9.967437055558715	0.1061670884020149	0.22447211088595767	73.60411980565041	1
Ependymoma	FGFR2	1	71	70	1	6294	89.45327733504666	0.02218334390846501	1.1294180108579508	6572.736430524303	1
Ependymoma	GJB2	2	71	69	32	6263	5.669080990418515	0.05471515521311057	0.6457743797068987	22.988145802925423	1
Ependymoma	MUTYH	1	71	70	18	6277	4.978456757330236	0.19216796715474846	0.11790433654662609	32.44424535983129	1
Ependymoma	NF1	1	71	70	6	6289	14.948972058621896	0.07554126235718046	0.3209991772788964	125.5688809653872	1
Ependymoma	RAD50	1	71	70	9	6286	9.967437055558715	0.1061670884020149	0.22447211088595767	73.60411980565041	1
Ependymoma	SDHA	1	71	70	2	6293	44.685646556287	0.03309236065618642	0.7512591895269433	861.8473210617143	1
Ependymoma	SLX4	1	71	70	6	6289	14.948972058621896	0.07554126235718046	0.3209991772788964	125.5688809653872	1
Ependymoma	TP53	1	71	70	4	6291	22.41641512403805	0.05455166219443385	0.44986262876313976	229.85749110373038	1
Germ cell tumor	ATM	1	13	12	30	6265	17.361418502165378	0.06209421342714934	0.3941208782916981	124.3318548277732	1
Germ cell tumor	EPCAM	1	13	12	1	6294	510.9448319594181	0.004117829038986892	6.170655124075182	4503599627370496	0.5394356041072829
Germ cell tumor	FANCA	1	13	12	21	6274	24.82495618251277	0.04444392760326915	0.5562343708044738	183.00898463875313	1
Low-grade glioma	ASXL1	1	223	222	24	6271	1.1769562285963817	0.5818572824444849	0.02849457043700845	7.284765094852228	1
Low-grade glioma	ATM	3	223	220	30	6265	2.8469540631481145	0.10185057410619087	0.5518504308943681	9.264720416963963	1
Low-grade glioma	BLM	1	223	222	14	6281	2.020608920383857	0.40711227114738646	0.0475826936674672	13.389654425672042	1
Low-grade glioma	BRIP1	1	223	222	15	6280	1.885685312356534	0.4274434972790384	0.044599329426653726	12.358875378196183	1
Low-grade glioma	BUB1B	1	223	222	3	6292	9.438046005229431	0.13001583896216093	0.17916128994413413	117.97343198889003	1
Low-grade glioma	CHEK2	2	223	221	16	6279	3.5501858883570767	0.12465051441154966	0.39365643335797046	15.247968182357788	1
Low-grade glioma	EGFR	1	223	222	2	6293	14.153750431840244	0.09918200744413197	0.23917099253073526	272.24974588542887	1
Low-grade glioma	ERCC2	1	223	222	25	6270	1.1297064248953903	0.596218259807011	0.027393723375705184	6.965733910119374	1
Low-grade glioma	EZH2	1	223	222	7	6288	4.044693873279179	0.24319344558651704	0.08938269401590038	31.705422856204095	1
Low-grade glioma	FAH	1	223	222	9	6286	3.145148288483336	0.29415805721067495	0.07146088493896745	22.882186898304102	1
Low-grade glioma	FANCA	1	223	222	21	6274	1.3457020200139787	0.5356517048455547	0.03239791690570933	8.444559413025436	1
