plot_group	Hugo_symbol	n	hist_n	n_without	count_with_plp_gnomAD	count_without_plp_gnomAD	oddsRatio	pvalue	CI_lower	CI_upper	adjusted_p
Atypical Teratoid Rhabdoid Tumor	FANCI	1	27	26	69	73954	41.18603032468044	0.02521646933157503	0.9913003696919065	256.2965104461657	1
Atypical Teratoid Rhabdoid Tumor	MTAP	1	27	26	5	74018	563.8880111471244	0.0021857915038841786	11.596432906461114	8090.503155951839	0.3147539765593217
Atypical Teratoid Rhabdoid Tumor	NBN	1	27	26	44	73979	64.57429153154747	0.016281699618605813	1.5426582902156214	408.87165810736195	1
Atypical Teratoid Rhabdoid Tumor	PTPN11	1	27	26	10	74013	281.49732343012437	0.004003769294733982	6.319081215558117	2272.685449288977	0.5765427784416934
Atypical Teratoid Rhabdoid Tumor	RAD51D	1	27	26	19	74004	149.5490583438334	0.0072680945854682955	3.4733973242447465	983.4737253441135	1
Atypical Teratoid Rhabdoid Tumor	SMARCB1	2	27	25	6	74017	983.1476849867568	3.5798459570273305e-6	92.17813823679425	8191.999999985097	5.154978178119356e-4
Atypical Teratoid Rhabdoid Tumor	TERT	1	27	26	12	74011	237.06707878402835	0.00473006695951532	5.346783505858525	1745.8000170692237	0.6811296421702061
Atypical Teratoid Rhabdoid Tumor	TP53	1	27	26	22	74001	129.04355137697908	0.00835391176731276	3.0199115985375657	869.6605603260961	1
Choroid plexus tumor	COL7A1	1	18	17	132	73891	32.89521491532961	0.03184805030420881	0.7820561586500051	211.72086999516281	1
Choroid plexus tumor	ERCC5	1	18	17	82	73941	53.03432053281509	0.01998916097235699	1.254087871539055	345.22045209555085	1
Choroid plexus tumor	RMRP	1	18	17	110	73913	39.54235952977784	0.026646934384775913	0.9373541789600218	254.542018444394	1
Choroid plexus tumor	SOS2	1	18	17	4	74019	1065.2374215533357	0.0012149846695620726	20.89009355941123	16383.999999940395	0.17495779241693846
Choroid plexus tumor	TP53	2	18	16	22	74001	422.21326779905905	1.5357316718480312e-5	44.15824817869365	1865.9980150136	0.002211453607461165
Craniopharyngioma	EXT2	1	39	38	40	73983	48.71364370381459	0.021369898776517675	1.1721428508336325	304.1603150000591	1
Craniopharyngioma	FGFR2	1	39	38	10	74013	193.92545480092068	0.005777606176940569	4.37440161726107	1430.8673738074938	0.831975289479442
Craniopharyngioma	MPL	1	39	38	68	73955	28.613580653654633	0.03570758159400475	0.6961428345218913	174.33870968364096	1
Craniopharyngioma	PRF1	1	39	38	41	73982	47.52417413996789	0.021885516965244056	1.1442114223927804	295.9190279501482	1
Craniopharyngioma	PTCH2	1	39	38	14	74009	138.8588995485308	0.007870479277310901	3.2066097424900235	984.6136816830975	1
DIPG or DMG	BRIP1	1	53	52	69	73954	20.609294050700836	0.04888945324190625	0.504886182304811	124.16348232177579	1
DIPG or DMG	ELP1	1	53	52	36	73987	39.49855324047506	0.02614097701440047	0.9557702006191009	245.51125860496617	1
DIPG or DMG	ERCC5	1	53	52	82	73941	17.33735651017199	0.05770710819393974	0.4257221426280374	103.71944284883149	1
DIPG or DMG	MSH2	1	53	52	8	74015	178.01782690960022	0.006421280175931678	3.9348765932383154	1416.194521935773	0.9246643453341616
DIPG or DMG	PMS2	1	53	52	53	73970	26.83970135790491	0.03792576309931354	0.6546594025158152	162.49130243270363	1
DIPG or DMG	XPC	1	53	52	47	73976	30.25743197734792	0.033782491853796164	0.7365730654675419	184.57223124492506	1
Ependymoma	ERCC2	1	73	72	100	73923	10.267430862970526	0.09482082306620837	0.2539162607968507	60.33590507432803	1
Ependymoma	ERCC4	1	73	72	39	73984	26.35088617976088	0.038670585488990224	0.6417879920164575	160.26590302372173	1
Ependymoma	FAH	1	73	72	62	73961	16.558622296327044	0.06023433844727428	0.4073117223112149	98.8431371782864	1
Ependymoma	FGFR2	1	73	72	10	74013	102.55321811044678	0.010784788877744488	2.336561809790099	749.5752168367364	1
Ependymoma	GJB2	2	73	71	188	73835	11.063012772555608	0.015255502579603999	1.3046962251947756	42.05683723071275	1
Ependymoma	MUTYH	1	73	72	73	73950	14.069236107915101	0.07037809554668642	0.3467035989263077	83.42955610393068	1
Ependymoma	NF1	1	73	72	23	74000	44.666413250194246	0.023382619494443983	1.0700795485163792	281.9621344108248	1
Ependymoma	RAD50	1	73	72	86	73937	11.938719976539874	0.08222701219778018	0.29483803998480057	70.49354730417413	1
Ependymoma	SDHA	1	73	72	49	73974	20.965304046659526	0.04810544525547084	0.5133280720349156	125.70736295790016	1
Ependymoma	SLX4	1	73	72	38	73985	27.04113751772014	0.03772204192201216	0.658258340562408	163.93089708537596	1
Ependymoma	TP53	1	73	72	22	74001	46.630307784736004	0.022419199646107408	1.1166671387362306	297.08667988307894	1
Germ cell tumor	ATM	1	13	12	127	73896	48.4052606990091	0.02224566189931764	1.1255270151145622	331.54340654053516	1
Germ cell tumor	EPCAM	1	13	12	11	74012	558.4473794079082	0.0021052055688662147	12.034772135245355	4106.03270666137	0.3031496019167349
Germ cell tumor	FANCA	1	13	12	124	73899	49.57371345504474	0.0217295499074958	1.1525885559056905	339.5959619230513	1
Low-grade glioma	ASXL1	1	223	222	56	73967	5.9491916127824656	0.15761957322944145	0.14736865615787734	34.835584172800765	1
Low-grade glioma	ATM	3	223	220	127	73896	7.933716881080685	0.007227979831548875	1.602483542652365	24.029715464124248	1
Low-grade glioma	BLM	1	223	222	69	73954	4.827116923849007	0.1899517321978177	0.11997417354635041	28.088712339780795	1
Low-grade glioma	BRIP1	1	223	222	69	73954	4.827116923849007	0.1899517321978177	0.11997417354635041	28.088712339780795	1
