Hugo_symbol	n	n_without	count_with_plp_gnomAD	count_without_plp_gnomAD	oddsRatio	pvalue	CI_lower	CI_upper	adjusted_p
ABCB11	1	837	54	73969	1.6365260456819342	0.46171706152274017	0.04064203827828096	9.538480838519481	1
APC	1	837	11	74012	8.038051389442321	0.12636834630712207	0.18653797976938472	55.42172563931764	1
ASXL1	1	837	56	73967	1.5780262846007203	0.4737096158244855	0.03921462418634639	9.183407013867289	1
ATM	9	829	127	73896	6.316388408709262	2.499689516093862e-5	2.813654181577753	12.434210775333673	0.0018497702419094579
BAP1	1	837	7	74016	12.631044394182629	0.08612536158154192	0.2799696111208602	98.52013442299193	1
BLM	1	837	69	73954	1.2805148607805545	0.5454147342475907	0.03192497467232748	7.394834014136403	1
BRCA1	2	836	49	73974	3.6119142839499396	0.11157914990438637	0.42473522010833675	13.802448115979535	1
BRCA2	3	835	108	73915	2.458867124376715	0.1287840518856282	0.49827115495175717	7.404931371225732	1
BRIP1	3	835	69	73954	3.850672556739225	0.04722430919251374	0.7736075842259179	11.770370063875204	1
BUB1B	2	836	19	74004	9.31721924110018	0.022831828058718282	1.050688869418609	38.71739007160419	1
CDKN2A	1	837	14	74009	6.315299428642177	0.15538464344798467	0.14919288196300137	41.61759034173105	1
CHEK2	4	834	88	73935	4.029438503611358	0.020078110241707366	1.0716540250716131	10.72608699844734	1
COL7A1	3	835	132	73891	2.0110999478590306	0.1931572997678581	0.4086869385329662	6.027337947928032	1
CREBBP	1	837	3	74020	29.457838486797296	0.044030936781643354	0.5608542653463048	366.6950853281366	1
CTNNA1	1	837	5	74018	17.683296742801268	0.0653148067256957	0.3734997360844697	158.78589540730567	1
EDNRB	1	837	13	74010	6.8011966777206325	0.1458211083537314	0.15986130395859743	45.37284858678555	1
EGFR	1	837	37	73986	2.388859746716297	0.34811045040518096	0.05884358395686762	14.202352214442914	1
ELP1	1	837	36	73987	2.4553812611363655	0.34072684482357835	0.06043531191164214	14.622757361756998	1
EPCAM	1	837	11	74012	8.038051389442321	0.12636834630712207	0.18653797976938472	55.42172563931764	1
ERCC2	5	833	100	73923	4.437046147728048	0.0066910632522111805	1.4063216425550629	10.745272288107412	0.4951386806636274
ERCC3	1	837	54	73969	1.6365260456819342	0.46171706152274017	0.04064203827828096	9.538480838519481	1
ERCC4	1	837	39	73984	2.266412194826621	0.36263079653402536	0.05589896266640496	13.43048234169836	1
ERCC5	4	834	82	73941	4.324620937255984	0.016072450552355514	1.1483211210921678	11.541142205441448	1
EXT2	1	837	40	73983	2.2096036377292085	0.3697693725020622	0.05453441526896524	13.075341940003552	1
EZH2	2	836	32	73991	5.531988128296542	0.05547451092608756	0.6412438141270412	21.740947387766035	1
FAH	4	834	62	73961	5.72103102063876	0.006491846314569574	1.50793335714961	15.448853098028431	0.48039662727814847
FANCA	5	833	124	73899	3.5767427441988398	0.01536042563533796	1.1384219793690376	8.607272754358535	1
FANCC	1	837	82	73941	1.0773084278934724	0.6073603490287995	0.026919176211488212	6.189205298225813	1
FANCD2	2	836	56	73967	3.1597601666594373	0.13764755376192708	0.37287869459932543	11.99512106530121	1
FANCG	1	837	29	73994	3.0482584599234857	0.2866491814512161	0.07454988489710473	18.42634122609747	1
FANCI	2	836	69	73954	2.5640434146589275	0.18887488735376234	0.30393922883343855	9.648547212563367	1
FGFR1	1	837	20	74003	4.420602998325007	0.21056127959115437	0.10653203749540616	27.703097962328155	1
FGFR2	2	836	10	74013	17.703245269678455	0.0076681367527852325	1.88322817593625	83.2812649463873	0.5674421197061073
FH	1	837	23	74000	3.843865861103112	0.23678435900060474	0.09320473670332843	23.73017206871173	1
GBA	2	836	78	73945	2.267926769718421	0.22563833357173818	0.269448270049028	8.4966568882455	1
GJB2	9	829	188	73835	4.2635808655711624	4.188632496606743e-4	1.9129667785053235	8.306849090562595	0.030995880474889898
HMBS	1	837	22	74001	4.0185809079194	0.2281414575525304	0.09726065939542602	24.92394962111602	1
KIF1B	1	837	10	74013	8.840022179942757	0.1164766621775941	0.20351822784999882	62.30272494712742	1
LZTR1	1	837	93	73930	0.949757188881842	1	0.023765094054296606	5.437278609448056	1
MPL	2	836	68	73955	2.601772506302846	0.18483962419220043	0.3083252971648785	9.79797857445562	1
MSH2	1	837	8	74015	11.050313013045102	0.09635644045606483	0.24881479542947366	82.40335499732944	1
MSH3	2	836	64	73959	2.7644290693651175	0.168833513853252	0.3272107273315947	10.433092925256172	1
MSH6	1	837	41	73982	2.155847334704282	0.37682809030269393	0.05323486586612446	12.738587146358116	1
MTAP	1	837	5	74018	17.683296742801268	0.0653148067256957	0.3734997360844697	158.78589540730567	1
MUTYH	5	833	73	73950	6.080035291796216	0.0018698978194848063	1.9122226955949284	14.898285148810725	0.13837243864187568
NBN	1	837	44	73979	2.0086555934894634	0.397533968076689	0.04968286145437547	11.825219437264213	1
NF1	17	821	23	74000	66.54324970142375	4.043182762862704e-23	33.259822528313826	130.7323165653888	2.991955244518401e-21
NF2	4	834	1	74022	355.6034664600933	7.726028894045623e-8	35.07180502727175	15132.64480714405	5.717261381593761e-6
NTHL1	1	837	38	73985	2.3260565831976754	0.35541146002201623	0.05733350952506397	13.805572744434262	1
PMS2	5	833	53	73970	8.376558923648018	4.874295566916677e-4	2.60617863125693	20.87961124024142	0.03606978719518341
POLE	1	837	17	74006	5.200781191264764	0.18343832184515443	0.12430489236838153	33.29760845111281	1
POLH	1	837	26	73997	3.400160513568298	0.2621373815143879	0.0828404449169444	20.747339059085395	1
PRF1	1	837	41	73982	2.155847334704282	0.37682809030269393	0.05323486586612446	12.738587146358116	1
