Hugo_symbol	count_with_plp_PBTA	count_without_plp_PBTA	count_with_plp_gnomAD	count_without_plp_gnomAD	oddsRatio_gnomad	pvalue_gnomad	CI_lower_gnomad	CI_upper_gnomad	adjusted_p_gnomad	count_with_plp_PMBB_noTumor	count_without_plp_PMBB_noTumor	oddsRatio_pmbb	pvalue_pmbb	CI_lower_pmbb	CI_upper_pmbb	adjusted_p_pmbb
ABCB11	1	837	54.10950813	73968.89049	1.636526045681934	0.46171706152274017	0.040642038278280945	9.538480838519481	1	15	6280	0.5002369054442689	0.9999999999999999	0.011870935955727177	3.259537596065135	1
APC	1	837	10.51006112	74012.48994	8.038051389442323	0.12636834630712204	0.18653797976938474	55.42172563931764	1	1	6294	7.51578197034556	0.22117673820045525	0.09568286234023898	587.3728608672147	1
ASXL1	1	837	55.58081296	73967.41919	1.5780262846007205	0.47370961582448534	0.03921462418634641	9.18340701386729	1	24	6271	0.3122090784516466	0.3522311315194883	0.007585614169550693	1.9197499552452004	1
ATM	9	829	129.7215251	73893.27847	6.1704005252745056	2.9708051835948634e-5	2.7501351458098147	12.137051489196075	0.0019904394730085586	30	6265	2.266965396799529	0.041129334079000573	0.9432816272033853	4.919034380836965	1
BAP1	1	837	7.007693334	74015.99231	12.631044394182632	0.08612536158154192	0.27996961112086016	98.52013442299193	1	1	6294	7.51578197034556	0.22117673820045525	0.09568286234023898	587.3728608672147	1
BLM	1	837	68.63529259	73954.36471	1.2805148607805548	0.5454147342475913	0.03192497467232748	7.394834014136403	1	14	6281	0.536050367631558	0.9999999999999997	0.01266479944169525	3.5319773514488193	1
BRCA1	2	836	48.54388376	73974.45612	3.6119142839499405	0.1115791499043864	0.4247352201083366	13.802448115979534	1	18	6277	0.8343102917201501	1	0.09371495799176417	3.4946064025296772	1
BRCA2	3	835	107.6290848	73915.37092	2.458867124376713	0.12878405188562822	0.4982711549517572	7.404931371225732	1	19	6276	1.186730832530516	0.7379017433488743	0.22444040091627546	4.044302124646141	1
BRIP1	3	835	69.07063555	73953.92936	3.8506725567392266	0.04722430919251373	0.7736075842259179	11.770370063875204	1	15	6280	1.5040836876799129	0.4611352867244678	0.2785294910337034	5.332988859205306	1
BUB1B	2	836	19.0239412	74003.97606	9.317219241100178	0.022831828058718286	1.050688869418609	38.71739007160419	1	3	6292	5.015716466040745	0.10829849391382611	0.41835608313505074	43.87109988195267	1
CDKN2A	1	837	13.51807154	74009.48193	6.315299428642178	0.15538464344798467	0.14919288196300137	41.61759034173105	1	2	6293	3.7581588808135984	0.31270021224168637	0.06364395942263681	72.42281982319072	1
CHEK2	4	834	88.09138352	73934.90862	4.029438503611358	0.020078110241707373	1.071654025071613	10.726086998447341	1	16	6279	1.8819085499136614	0.2834521626565514	0.45676828692871213	5.852646437948941	1
COL7A1	3	835	131.6253215	73891.37468	2.01109994785903	0.1931572997678581	0.40868693853296634	6.027337947928032	1	33	6262	0.6817957096832419	0.7938312325145644	0.13349712380826365	2.1809058579699196	1
CREBBP	1	837	2.502530241	74020.49747	29.45783848679728	0.044030936781643354	0.5608542653463048	366.6950853281366	1	0	6295	Inf	0.11748212533295954	0.19261363808363388	Inf	1
EDNRB	1	837	12.52769103	74010.47231	6.801196677720633	0.1458211083537314	0.15986130395859743	45.37284858678555	1	3	6292	2.505172671456141	0.39347962628677285	0.047675064071599826	31.227088751096808	1
EGFR	1	837	36.53652436	73986.46348	2.388859746716297	0.348110450405181	0.05884358395686761	14.20235221444291	1	2	6293	3.7581588808135984	0.31270021224168637	0.06364395942263681	72.42281982319072	1
ELP1	1	837	35.5354478	73987.4646	2.4553812611363655	0.34072684482357835	0.060435311911642156	14.622757361756998	1	NA	NA	0	0	0	0	0
EPCAM	1	837	10.51404149	74012.48596	8.038051389442323	0.12636834630712204	0.18653797976938474	55.42172563931764	1	1	6294	7.51578197034556	0.22117673820045525	0.09568286234023898	587.3728608672147	1
ERCC2	5	833	99.83342602	73923.16657	4.437046147728048	0.00669106325221118	1.4063216425550629	10.745272288107412	0.448301237898149	25	6270	1.505294073598183	0.38984718331410145	0.4488148802091956	4.018005468657917	1
ERCC3	1	837	53.53984424	73969.46016	1.636526045681934	0.46171706152274017	0.040642038278280945	9.538480838519481	1	25	6270	0.2996735630390249	0.35555708502512084	0.007292698165743797	1.8356036757925527	1
ERCC4	1	837	38.55335535	73984.44664	2.26641219482662	0.36263079653402536	0.055898962666404955	13.43048234169836	1	3	6292	2.505172671456141	0.39347962628677285	0.047675064071599826	31.227088751096808	1
EXT2	1	837	39.04352437	73983.95648	2.26641219482662	0.36263079653402536	0.055898962666404955	13.43048234169836	1	1	6294	7.51578197034556	0.22117673820045525	0.09568286234023898	587.3728608672147	1
EZH2	2	836	31.08738001	73991.91262	5.709736530401569	0.05259133854160285	0.661061739253967	22.501662901548194	1	7	6288	2.1487079830910183	0.2862158866233988	0.21744420186820104	11.306546018793197	1
FAH	4	834	61.56790815	73961.43209	5.721031020638761	0.006491846314569575	1.5079333571496103	15.448853098028431	0.43495370307616155	9	6286	3.3487543909822506	0.056817270121320394	0.7519416232520227	12.032989306782287	1
FANCA	5	833	123.5950967	73899.4049	3.576742744198842	0.015360425635337958	1.1384219793690376	8.607272754358533	1	21	6274	1.79310384416581	0.2215523290880699	0.526849878378436	4.903728671896403	1
FANCC	1	837	82.05874708	73940.94125	1.0773084278934721	0.6073603490287997	0.026919176211488222	6.189205298225814	1	9	6286	0.8345090558368082	1.0000000000000002	0.01901568486226282	6.03537709271709	1
FANCD2	2	836	55.55536805	73967.44463	3.1597601666594364	0.13764755376192708	0.3728786945993253	11.995121065301213	1	9	6286	1.6707669255293205	0.3768066219016191	0.17536376420064012	8.091359087363948	1
FANCG	1	837	28.69504336	73994.30496	3.0482584599234843	0.28664918145121615	0.07454988489710472	18.426341226097474	1	6	6289	1.2522460166995917	0.5832321066633005	0.027192997139910916	10.341137432981366	1
FANCI	2	836	69.07981483	73953.92019	2.564043414658927	0.18887488735376243	0.30393922883343855	9.648547212563367	1	12	6283	1.252547751282328	0.6759106896736262	0.13594496372717949	5.641807455971251	1
FGFR1	1	837	32.0586	73990.9414	2.7623241453607843	0.3103476386446133	0.06776727679046368	16.571199572451512	1	NA	NA	0	0	0	0	0
FGFR2	2	836	10.01115918	74012.98884	17.703245269678447	0.007668136752785233	1.8832281759362495	83.28126494638728	0.5137651624366106	1	6294	15.046277272896585	0.03812979011799323	0.7825039042884844	882.9098655217881	1
FH	1	837	22.5440837	74000.45592	3.843865861103111	0.23678435900060466	0.09320473670332843	23.73017206871173	1	5	6290	1.5028790850556932	0.5276983978676011	0.03173977524334797	13.454217606187347	1
GBA	2	836	78.16050977	73944.83949	2.2679267697184207	0.22563833357173815	0.26944827004902805	8.4966568882455	1	9	6286	1.6707669255293205	0.3768066219016191	0.17536376420064012	8.091359087363948	1
GJB2	9	829	187.705924	73835.29408	4.26358086557116	4.188632496606743e-4	1.9129667785053235	8.306849090562595	0.02806383772726518	32	6263	2.124522671234803	0.050829248154878034	0.8887085460518103	4.5742911117566605	1
HMBS	1	837	22.0123139	74000.98769	4.0185809079194	0.22814145755253035	0.09726065939542605	24.923949621116012	1	3	6292	2.505172671456141	0.39347962628677285	0.047675064071599826	31.227088751096808	1
LZTR1	1	837	93.15309263	73929.84691	0.9497571888818424	1.0000000000000004	0.0237650940542966	5.437278609448056	1	10	6285	0.7509232574453589	0.9999999999999999	0.01728224028345216	5.289962991343297	1
MPL	2	836	67.5609224	73955.43908	2.601772506302846	0.18483962419220054	0.30832529716487844	9.79797857445562	1	17	6278	0.8834748066654037	1	0.09883371385430643	3.7324392600848464	1
MSH2	1	837	7.504942128	74015.49506	11.0503130130451	0.09635644045606483	0.24881479542947355	82.40335499732944	1	0	6295	Inf	0.11748212533295954	0.19261363808363388	Inf	1
MSH6	1	837	41.08687243	73981.91313	2.1558473347042826	0.3768280903026939	0.05323486586612449	12.738587146358116	1	4	6291	1.8787542066398748	0.4647749093800094	0.03810986288785513	19.01493552341655	1
MTAP	1	837	4.503652825	74018.49635	17.683296742801264	0.06531480672569573	0.3734997360844697	158.78589540730567	1	2	6293	3.7581588808135984	0.31270021224168637	0.06364395942263681	72.42281982319072	1
MUTYH	5	833	72.55912346	73950.44088	6.080035291796216	0.0018698978194848059	1.9122226955949284	14.898285148810725	0.125283153905482	18	6277	2.0928986969707135	0.1806835000619261	0.6057951293888374	5.868280090905439	1
NBN	1	837	44.0364021	73978.9636	2.008655593489463	0.39753396807668895	0.049682861454375456	11.825219437264213	1	16	6279	0.46889980248738683	0.7116939072890811	0.011170541206996515	3.0257953571245033	1
NF1	17	821	22.04425483	74000.95575	69.54636821092978	2.3491567383805046e-23	34.571356281774015	137.46389248604746	1.5739350147149381e-21	6	6289	21.68455188058533	6.768986615195391e-12	8.128851526587766	67.42087564713603	4.535221032180912e-10
NF2	4	834	1.001968435	74021.99803	355.60346646009384	7.726028894045624e-8	35.071805027271765	15132.64480714405	5.176439359010568e-6	0	6295	Inf	1.8929480907869793e-4	4.970358070341893	Inf	0.01268275220827276
PMS2	5	833	53.24765747	73969.75234	8.37655892364801	4.874295566916678e-4	2.6061786312569297	20.87961124024142	0.032657780298341745	19	6276	1.9824985274706484	0.192495806676064	0.57697041800302	5.507322285285908	1
POLE	1	837	16.5140112	74006.48599	5.200781191264764	0.1834383218451544	0.12430489236838162	33.297608451112815	1	5	6290	1.5028790850556932	0.5276983978676011	0.03173977524334797	13.454217606187347	1
POLH	1	837	26.03733766	73996.96266	3.400160513568297	0.262137381514388	0.08284044491694441	20.747339059085395	1	4	6291	1.8787542066398748	0.4647749093800094	0.03810986288785513	19.01493552341655	1
PTCH1	4	834	2.505011921	74020.49499	118.16728071193211	5.312295140929875e-7	19.97092099320026	815.5533486382192	3.559237744423016e-5	0	6295	Inf	1.8929480907869793e-4	4.970358070341893	Inf	0.01268275220827276
PTPN11	1	837	10.01180009	74012.9882	8.840022179942753	0.11647666217759413	0.2035182278499989	62.30272494712742	1	5	6290	1.5028790850556932	0.5276983978676011	0.03173977524334797	13.454217606187347	1
RAD50	4	834	86.23795949	73936.76204	4.123196977122245	0.018681177887547168	1.0960641220752645	10.985575763690662	1	9	6286	3.3487543909822506	0.056817270121320394	0.7519416232520227	12.032989306782287	1
RAD51D	4	834	18.51946433	74004.48054	18.669745223391004	1.1652862534205385e-4	4.610659995275923	56.378176039670144	0.007807417897917608	4	6291	7.539206949787633	0.00896766831012798	1.4014964461001227	40.570638229713914	0.6008337767785746
RECQL4	5	833	114.325117	73908.67488	3.8913850807979293	0.011152280646932947	1.2365904241794956	9.384790723670427	0.7472028033445074	23	6272	1.6366842808248583	0.3689167387239863	0.4847333227761619	4.417492582170107	1
RMRP	2	836	110.33719550000001	73912.6628	1.607470794207191	0.3572767337296983	0.19193313434558815	5.964427746894317	1	NA	NA	0	0	0	0	0
SDHA	2	836	48.53849156	73974.46151	3.6119142839499405	0.1115791499043864	0.4247352201083366	13.802448115979534	1	2	6293	7.5235717116864915	0.07036197010642672	0.5446879558231963	103.9455148848367	1
SLX4	2	836	38.05215509	73984.94784	4.657267688281584	0.07385733605365849	0.5434821078420866	18.07222528286658	1	6	6289	2.506967668336222	0.24015598228593882	0.2470854407014657	14.047107929499367	1
SMARCB1	2	836	6.005235353	74016.99476	29.49186718720634	0.003351156329199972	2.90821621799737	165.40174044122526	0.22452747405639814	1	6294	15.046277272896585	0.03812979011799323	0.7825039042884844	882.9098655217881	1
SMARCE1	2	836	1.001076826	74021.99892	176.67640995531096	3.7268320240188123e-4	9.202618148528327	9518.327206827938	0.024969774560926042	0	6295	Inf	0.013787512465463687	1.41169474275911	Inf	0.923763335186067
SOS1	1	837	5.006766669	74017.99323	17.683296742801264	0.06531480672569573	0.3734997360844697	158.78589540730567	1	3	6292	2.505172671456141	0.39347962628677285	0.047675064071599826	31.227088751096808	1
