pathway_name	plot_group	n_plp	n_no_plp	OR	p	ci.int1	ci.int2	padj	cohort	perc_plp	fraction
Cancer predisposition genes	Neurofibroma plexiform	9683	64340	13.288486513715664	2.3528886147175626e-6	4.137360919334116	49.500653784657935	3.9999106450198565e-5	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Neurofibroma plexiform	873	5422	12.41291893486534	4.227212357763254e-6	3.854914274501123	46.38985050423153	7.186261008197532e-5	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Other high-grade glioma	9683	64340	2.8834632338856387	9.596786178078074e-5	1.6858712579477453	4.789615241758034	0.0016314536502732727	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Medulloblastoma	9683	64340	2.4679475264376243	2.1889086368310912e-4	1.5090032205136896	3.9237276517702337	0.003721144682612855	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Other high-grade glioma	873	5422	2.694770905611094	3.2303130318340166e-4	1.5676957380133965	4.500170460555208	0.005491532154117828	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Medulloblastoma	873	5422	2.3064611319794452	8.932946026343789e-4	1.402702178599098	3.688662342914034	0.015186008244784442	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Low-grade glioma	9683	64340	1.5590587933033826	0.012275244431271535	1.085728713982941	2.193846325556175	0.2086791553316161	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Atypical Teratoid Rhabdoid Tumor	9683	64340	2.797686451393391	0.018979238335806507	1.059201073791571	6.695526501471406	0.3226470517087106	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Non-neoplastic tumor	9683	64340	2.6578496226797483	0.023596409333553784	1.012255085984291	6.301428799060047	0.4011389586704143	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Meningioma	9683	64340	2.5838165407485016	0.037017631858470096	0.9119782309054424	6.4851229529243755	0.6292997415939916	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Low-grade glioma	873	5422	1.4571763431036129	0.03797508903200325	1.0077013308293206	2.066404446525549	0.6455765135440552	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Atypical Teratoid Rhabdoid Tumor	873	5422	2.614384273958884	0.043817763527614455	0.9869482151841986	6.278105903541874	0.7449019799694457	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Non-neoplastic tumor	873	5422	2.4838143697995867	0.047624532398543584	0.9432252379806905	5.909465787327933	0.8096170507752409	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Meningioma	873	5422	2.4147569255550474	0.07263656472538248	0.8499499597461586	6.0811964849813895	1	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Germ cell tumor	9683	64340	2.953111502269483	0.07914445285966577	0.6643867616225395	10.583394665935252	1	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Schwannoma	9683	64340	2.953111502269483	0.07914445285966577	0.6643867616225395	10.583394665935252	1	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Germ cell tumor	873	5422	2.759723063729872	0.09455776438995304	0.6196656866401251	9.914567123133319	1	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Schwannoma	873	5422	2.759723063729872	0.09455776438995304	0.6196656866401251	9.914567123133319	1	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Other tumor	9683	64340	2.09829579564557	0.1288828503980966	0.6856884889392862	5.466446761661668	1	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Other tumor	873	5422	1.961117186036391	0.1469014535213303	0.6391876718118484	5.125462629621814	1	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Craniopharyngioma	873	5422	0.5176076255053096	0.35433208202920347	0.10176029659761511	1.6436696989712258	1	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Other CNS embryonal tumor	9683	64340	0	0.38619327657912167	0	2.391812794346416	1	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Other CNS embryonal tumor	873	5422	0	0.3919803047580979	0	2.2399617532269622	1	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Craniopharyngioma	9683	64340	0.5537239131869485	0.47406770094759976	0.10905965312150999	1.7531307084629182	1	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Ependymoma	9683	64340	1.2181766082979544	0.4850991081953925	0.5772741534278426	2.3396050834906785	1	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Choroid plexus tumor	9683	64340	1.3289188205148588	0.7221317643826222	0.24655323392401776	4.6990356127651385	1	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Ependymoma	873	5422	1.138586911939494	0.7289829405666526	0.5375947370970637	2.1968220700878667	1	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Choroid plexus tumor	873	5422	1.2421014449272367	0.7298223319900627	0.2300145144500675	4.403787730742492	1	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Mesenchymal tumor	9683	64340	1.2458642779005447	0.7300679302395563	0.23257924430832397	4.353849244111945	1	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Mesenchymal tumor	873	5422	1.1644692867004023	0.7399309003882805	0.21699220958263363	4.080336996833792	1	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	DIPG or DMG	9683	64340	0.8482743378577616	0.840102618989304	0.2962757808183864	1.9886738522062222	1	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	DIPG or DMG	873	5422	0.7928909235771023	0.8409366216293478	0.2761809887161591	1.8659358189267283	1	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Mixed neuronal-glial tumor	873	5422	0.9000995984286339	0.8705637912701152	0.4117787831131898	1.7654995723991436	1	PMBB	13.868149324861001	873/6295
Cancer predisposition genes	Mixed neuronal-glial tumor	9683	64340	0.9629881298529989	1	0.44209832270685484	1.880434266605656	1	gnomAD	13.081069397349474	9683/74023
Cancer predisposition genes	Atypical Teratoid Rhabdoid Tumor	8	19	NA	NA	NA	NA	NA	PBTA	29.629629629629626	8/27
Cancer predisposition genes	Choroid plexus tumor	3	15	NA	NA	NA	NA	NA	PBTA	16.666666666666664	3/18
