gene_symbol_vep	plot_group	n_plp	n_no_plp	OR	p	ci.int1	ci.int2	padj	cohort	perc_plp	fraction	hist_gene
NF1	Neurofibroma plexiform	48	73975	2152.6223759049867	2.4368953638066426e-25	702.309434779371	8191.999999985097	2.4368953638066426e-25	gnomAD	0.06484471042784	48/74023	Neurofibroma plexiform: NF1
NF1	Neurofibroma plexiform	5	6290	1719.672929661613	2.296061666080557e-22	407.582793101678	8191.999999985097	2.296061666080557e-22	PMBB	0.07942811755361398	5/6295	Neurofibroma plexiform: NF1
TSC2	Low-grade glioma	4	74019	518.5300994092007	1.3509849378414992e-13	121.55540749963079	2470.974123654901	9.456894564890494e-13	gnomAD	0.005403725868986666	4/74023	Low-grade glioma: TSC2
TSC2	Low-grade glioma	0	6295	Inf	1.4247630141976216e-9	34.129599135076624	Inf	9.97334109938335e-9	PMBB	0	0/6295	Low-grade glioma: TSC2
TP53	Other high-grade glioma	44	73979	118.26456314706944	1.8273491414219197e-9	35.56700708556294	310.65671574811125	5.4820474242657594e-9	gnomAD	0.05944098455885333	44/74023	Other high-grade glioma: TP53
TP53	Other high-grade glioma	4	6291	109.61119434388003	2.5677837349267006e-8	23.14197736347874	571.0427757816889	7.703351204780101e-8	PMBB	0.06354249404289118	4/6295	Other high-grade glioma: TP53
PTCH1	Medulloblastoma	6	74017	393.2957864818617	1.7586434547413469e-7	63.24466442665662	1799.6565112473772	1.0551860728448082e-6	gnomAD	0.00810558880348	6/74023	Medulloblastoma: PTCH1
TSC1	Low-grade glioma	2	74021	509.8043330129418	2.5904646546190525e-7	57.976778781230266	7340.881642047224	1.8133252582333368e-6	gnomAD	0.002701862934493333	2/74023	Low-grade glioma: TSC1
SMARCB1	Atypical Teratoid Rhabdoid Tumor	1	74022	6044.824704648143	3.8398684345565065e-7	292.2703275110223	4503599627370496	3.8398684345565065e-7	gnomAD	0.0013509314672466666	1/74023	Atypical Teratoid Rhabdoid Tumor: SMARCB1
NF1	Low-grade glioma	48	73975	35.65591618427038	5.704609200332682e-7	10.97244089739778	90.39416091008806	3.993226440232877e-6	gnomAD	0.06484471042784	48/74023	Low-grade glioma: NF1
