pathway_id	pathway_name	genes	control_cohort	count_with_plp_case	count_without_plp_case	count_with_plp_control	count_without_plp_control	p	OR	ci.int1	ci.int2	FDR	database
HALLMARK_ADIPOGENESIS	Adipogenesis	FABP4,ADIPOQ,PPARG,LIPE,DGAT1,LPL,CPT2,CD36,GPAM,ADIPOR2,ACAA2,ETFB,ACOX1,ACADM,HADH,IDH1,SORBS1,ACADS,UCK1,SCP2,DECR1,CDKN2C,TALDO1,TST,MCCC1,PGM1,REEP5,BCL2L13,SLC25A10,ME1,PHYH,PIM3,YWHAG,NDUFAB1,GPD2,ADIG,ECHS1,QDPR,CS,ECH1,SLC25A1,ACADL,TOB1,GRPEL1,CRAT,GBE1,CAVIN2,SCARB1,PEMT,CHCHD10,AK2,APOE,UQCR10,TANK,ANGPTL4,ACO2,FAH,ACLY,IFNGR1,SLC5A6,JAGN1,EPHX2,IDH3G,GPX3,ELMOD3,ORM1,RETSAT,ESRRA,HIBCH,SUCLG1,STAT5A,ITGA7,MRAP,PLIN2,CYC1,ALDH2,RNF11,ALDOA,SULT1A1,DDT,SDHB,CD151,SLC27A1,BCKDHA,C3,LEP,ADCY6,ELOVL6,LTC4S,SPARCL1,RMDN3,MTCH2,SOWAHC,SLC1A5,CMPK1,REEP6,NDUFA5,FZD4,DRAM2,MGST3,ATP1B3,RETN,STOM,ESYT1,GHITM,DNAJC15,GADD45A,VEGFB,PFKL,COQ3,NABP1,CYP4B1,PPM1B,ARAF,CAVIN1,COL4A1,IMMT,DHRS7,COL15A1,NMT1,COQ5,LAMA4,AGPAT3,BAZ2A,IDH3A,LIFR,PREB,PTGER3,GPHN,PFKFB3,GPX4,SSPN,SQOR,MTARC2,DLD,ITIH5,CD302,ATL2,GPAT4,LPCAT3,TKT,UQCRC1,CAT,OMD,DLAT,MRPL15,RIOK3,RTN3,CHUK,G3BP2,SDHC,SAMM50,ARL4A,SNCG,PDCD4,COQ9,APLP2,SOD1,PTCD3,PHLDB1,ENPP2,HSPB8,AIFM1,CCNG2,PPP1R15B,MDH2,ABCA1,COX7B,MYLK,COX8A,DHRS7B,MIGA2,MGLL,ITSN1,DHCR7,RREB1,CMBL,UBC,ATP5PO,PRDX3,DBT,NDUFS3,NKIRAS1,RAB34,CIDEA,UQCRQ,PEX14,BCL6,COX6A1,DNAJB9,MAP4K3,ANGPT1,UBQLN1,NDUFB7,SLC19A1,ABCB8,SLC66A3,POR,UCP2,UQCR11	gnomAD	53	785	2877	71146	8.38371e-4	1.669593558	1.236351476	2.212501526	0.041918542	Hallmark
HALLMARK_ADIPOGENESIS	Adipogenesis	FABP4,ADIPOQ,PPARG,LIPE,DGAT1,LPL,CPT2,CD36,GPAM,ADIPOR2,ACAA2,ETFB,ACOX1,ACADM,HADH,IDH1,SORBS1,ACADS,UCK1,SCP2,DECR1,CDKN2C,TALDO1,TST,MCCC1,PGM1,REEP5,BCL2L13,SLC25A10,ME1,PHYH,PIM3,YWHAG,NDUFAB1,GPD2,ADIG,ECHS1,QDPR,CS,ECH1,SLC25A1,ACADL,TOB1,GRPEL1,CRAT,GBE1,CAVIN2,SCARB1,PEMT,CHCHD10,AK2,APOE,UQCR10,TANK,ANGPTL4,ACO2,FAH,ACLY,IFNGR1,SLC5A6,JAGN1,EPHX2,IDH3G,GPX3,ELMOD3,ORM1,RETSAT,ESRRA,HIBCH,SUCLG1,STAT5A,ITGA7,MRAP,PLIN2,CYC1,ALDH2,RNF11,ALDOA,SULT1A1,DDT,SDHB,CD151,SLC27A1,BCKDHA,C3,LEP,ADCY6,ELOVL6,LTC4S,SPARCL1,RMDN3,MTCH2,SOWAHC,SLC1A5,CMPK1,REEP6,NDUFA5,FZD4,DRAM2,MGST3,ATP1B3,RETN,STOM,ESYT1,GHITM,DNAJC15,GADD45A,VEGFB,PFKL,COQ3,NABP1,CYP4B1,PPM1B,ARAF,CAVIN1,COL4A1,IMMT,DHRS7,COL15A1,NMT1,COQ5,LAMA4,AGPAT3,BAZ2A,IDH3A,LIFR,PREB,PTGER3,GPHN,PFKFB3,GPX4,SSPN,SQOR,MTARC2,DLD,ITIH5,CD302,ATL2,GPAT4,LPCAT3,TKT,UQCRC1,CAT,OMD,DLAT,MRPL15,RIOK3,RTN3,CHUK,G3BP2,SDHC,SAMM50,ARL4A,SNCG,PDCD4,COQ9,APLP2,SOD1,PTCD3,PHLDB1,ENPP2,HSPB8,AIFM1,CCNG2,PPP1R15B,MDH2,ABCA1,COX7B,MYLK,COX8A,DHRS7B,MIGA2,MGLL,ITSN1,DHCR7,RREB1,CMBL,UBC,ATP5PO,PRDX3,DBT,NDUFS3,NKIRAS1,RAB34,CIDEA,UQCRQ,PEX14,BCL6,COX6A1,DNAJB9,MAP4K3,ANGPT1,UBQLN1,NDUFB7,SLC19A1,ABCB8,SLC66A3,POR,UCP2,UQCR11	PMBB_noCancer	53	785	642	7427	0.10403724	0.781080817	0.573183408	1.045743203	1	Hallmark
HALLMARK_ADIPOGENESIS	Adipogenesis	FABP4,ADIPOQ,PPARG,LIPE,DGAT1,LPL,CPT2,CD36,GPAM,ADIPOR2,ACAA2,ETFB,ACOX1,ACADM,HADH,IDH1,SORBS1,ACADS,UCK1,SCP2,DECR1,CDKN2C,TALDO1,TST,MCCC1,PGM1,REEP5,BCL2L13,SLC25A10,ME1,PHYH,PIM3,YWHAG,NDUFAB1,GPD2,ADIG,ECHS1,QDPR,CS,ECH1,SLC25A1,ACADL,TOB1,GRPEL1,CRAT,GBE1,CAVIN2,SCARB1,PEMT,CHCHD10,AK2,APOE,UQCR10,TANK,ANGPTL4,ACO2,FAH,ACLY,IFNGR1,SLC5A6,JAGN1,EPHX2,IDH3G,GPX3,ELMOD3,ORM1,RETSAT,ESRRA,HIBCH,SUCLG1,STAT5A,ITGA7,MRAP,PLIN2,CYC1,ALDH2,RNF11,ALDOA,SULT1A1,DDT,SDHB,CD151,SLC27A1,BCKDHA,C3,LEP,ADCY6,ELOVL6,LTC4S,SPARCL1,RMDN3,MTCH2,SOWAHC,SLC1A5,CMPK1,REEP6,NDUFA5,FZD4,DRAM2,MGST3,ATP1B3,RETN,STOM,ESYT1,GHITM,DNAJC15,GADD45A,VEGFB,PFKL,COQ3,NABP1,CYP4B1,PPM1B,ARAF,CAVIN1,COL4A1,IMMT,DHRS7,COL15A1,NMT1,COQ5,LAMA4,AGPAT3,BAZ2A,IDH3A,LIFR,PREB,PTGER3,GPHN,PFKFB3,GPX4,SSPN,SQOR,MTARC2,DLD,ITIH5,CD302,ATL2,GPAT4,LPCAT3,TKT,UQCRC1,CAT,OMD,DLAT,MRPL15,RIOK3,RTN3,CHUK,G3BP2,SDHC,SAMM50,ARL4A,SNCG,PDCD4,COQ9,APLP2,SOD1,PTCD3,PHLDB1,ENPP2,HSPB8,AIFM1,CCNG2,PPP1R15B,MDH2,ABCA1,COX7B,MYLK,COX8A,DHRS7B,MIGA2,MGLL,ITSN1,DHCR7,RREB1,CMBL,UBC,ATP5PO,PRDX3,DBT,NDUFS3,NKIRAS1,RAB34,CIDEA,UQCRQ,PEX14,BCL6,COX6A1,DNAJB9,MAP4K3,ANGPT1,UBQLN1,NDUFB7,SLC19A1,ABCB8,SLC66A3,POR,UCP2,UQCR11	PMBB_noTumor	53	785	494	5801	0.128385027	0.792858538	0.579916967	1.065560166	1	Hallmark
HALLMARK_ALLOGRAFT_REJECTION	Allograft rejection	PTPRC,IL12B,TGFB1,IL12A,CD3E,CD3D,CD28,LYN,HCLS1,IL18,CRTAM,IFNG,CD3G,CD86,IL10,UBE2N,BCL10,CD4,LCK,NCK1,C2,HLA-A,ITGB2,HLA-DQA1,CD1D,CD80,HLA-DRA,THY1,TLR1,HLA-G,HLA-DMB,IL7,IL4,TNF,CD247,IL2,HLA-DMA,STAT1,IRF4,SRGN,INHBA,TLR3,ZAP70,CD74,CD40,TRAF2,B2M,BCL3,LTB,IFNGR1,CCR5,CD40LG,HLA-DOA,GLMN,IL6,HLA-E,CD2,CCL5,FAS,FASLG,TLR6,PF4,TGFB2,CD79A,INHBB,ELANE,SPI1,MAP3K7,IL15,CTSS,CD47,PRF1,IL12RB1,LCP2,SOCS1,CDKN2A,STAT4,CD7,HLA-DOB,CD8A,ICAM1,CCL4,GZMB,CSF1,IL11,STAB1,IL2RA,NLRP3,CCND3,EIF3A,SIT1,IFNAR2,HDAC9,CARTPT,TRAT1,CCL22,APBB1,FYB1,IL1B,TIMP1,RPS19,JAK2,KRT1,WARS1,IFNGR2,CCR2,EREG,MMP9,EGFR,IL16,CFP,WAS,ITGAL,KLRD1,RARS1,TLR2,CCND2,IL2RG,ETS1,ITK,NCR1,MAP4K1,CCL19,PSMB10,RPL39,EIF3J,ABCE1,CD8B,F2,ELF4,LY86,FCGR2B,GBP2,PRKCG,RPS9,MTIF2,GZMA,AARS1,CD96,CSK,HIF1A,CCL2,ICOSLG,NPM1,IL4R,CCL11,NME1,FLNA,GPR65,ACHE,EIF3D,IGSF6,F2R,IL13,TAP1,DARS1,IRF7,ACVR2A,CXCR3,PRKCB,CXCL9,PTPN6,NCF4,UBE2D1,LIF,CCR1,MBL2,DEGS1,TPD52,AKT1,RIPK2,IKBKB,GCNT1,SOCS5,IRF8,TAP2,EIF4G3,ABI1,CCL7,IL2RB,BRCA1,FGR,IL18RAP,MRPL3,CXCL13,CAPG,EIF5A,RPS3A,GALNT1,ST8SIA4,CCL13,RPL3L,LY75,TAPBP,NOS2,RPL9,BCAT1,IL9,IL27RA,DYRK3	gnomAD	35	803	1434	72589	4.21e-5	2.206387572	1.519679112	3.108994155	0.002105982	Hallmark
HALLMARK_ALLOGRAFT_REJECTION	Allograft rejection	PTPRC,IL12B,TGFB1,IL12A,CD3E,CD3D,CD28,LYN,HCLS1,IL18,CRTAM,IFNG,CD3G,CD86,IL10,UBE2N,BCL10,CD4,LCK,NCK1,C2,HLA-A,ITGB2,HLA-DQA1,CD1D,CD80,HLA-DRA,THY1,TLR1,HLA-G,HLA-DMB,IL7,IL4,TNF,CD247,IL2,HLA-DMA,STAT1,IRF4,SRGN,INHBA,TLR3,ZAP70,CD74,CD40,TRAF2,B2M,BCL3,LTB,IFNGR1,CCR5,CD40LG,HLA-DOA,GLMN,IL6,HLA-E,CD2,CCL5,FAS,FASLG,TLR6,PF4,TGFB2,CD79A,INHBB,ELANE,SPI1,MAP3K7,IL15,CTSS,CD47,PRF1,IL12RB1,LCP2,SOCS1,CDKN2A,STAT4,CD7,HLA-DOB,CD8A,ICAM1,CCL4,GZMB,CSF1,IL11,STAB1,IL2RA,NLRP3,CCND3,EIF3A,SIT1,IFNAR2,HDAC9,CARTPT,TRAT1,CCL22,APBB1,FYB1,IL1B,TIMP1,RPS19,JAK2,KRT1,WARS1,IFNGR2,CCR2,EREG,MMP9,EGFR,IL16,CFP,WAS,ITGAL,KLRD1,RARS1,TLR2,CCND2,IL2RG,ETS1,ITK,NCR1,MAP4K1,CCL19,PSMB10,RPL39,EIF3J,ABCE1,CD8B,F2,ELF4,LY86,FCGR2B,GBP2,PRKCG,RPS9,MTIF2,GZMA,AARS1,CD96,CSK,HIF1A,CCL2,ICOSLG,NPM1,IL4R,CCL11,NME1,FLNA,GPR65,ACHE,EIF3D,IGSF6,F2R,IL13,TAP1,DARS1,IRF7,ACVR2A,CXCR3,PRKCB,CXCL9,PTPN6,NCF4,UBE2D1,LIF,CCR1,MBL2,DEGS1,TPD52,AKT1,RIPK2,IKBKB,GCNT1,SOCS5,IRF8,TAP2,EIF4G3,ABI1,CCL7,IL2RB,BRCA1,FGR,IL18RAP,MRPL3,CXCL13,CAPG,EIF5A,RPS3A,GALNT1,ST8SIA4,CCL13,RPL3L,LY75,TAPBP,NOS2,RPL9,BCAT1,IL9,IL27RA,DYRK3	PMBB_noCancer	35	803	312	7757	0.639155102	1.083676684	0.735645054	1.553144327	1	Hallmark
HALLMARK_ALLOGRAFT_REJECTION	Allograft rejection	PTPRC,IL12B,TGFB1,IL12A,CD3E,CD3D,CD28,LYN,HCLS1,IL18,CRTAM,IFNG,CD3G,CD86,IL10,UBE2N,BCL10,CD4,LCK,NCK1,C2,HLA-A,ITGB2,HLA-DQA1,CD1D,CD80,HLA-DRA,THY1,TLR1,HLA-G,HLA-DMB,IL7,IL4,TNF,CD247,IL2,HLA-DMA,STAT1,IRF4,SRGN,INHBA,TLR3,ZAP70,CD74,CD40,TRAF2,B2M,BCL3,LTB,IFNGR1,CCR5,CD40LG,HLA-DOA,GLMN,IL6,HLA-E,CD2,CCL5,FAS,FASLG,TLR6,PF4,TGFB2,CD79A,INHBB,ELANE,SPI1,MAP3K7,IL15,CTSS,CD47,PRF1,IL12RB1,LCP2,SOCS1,CDKN2A,STAT4,CD7,HLA-DOB,CD8A,ICAM1,CCL4,GZMB,CSF1,IL11,STAB1,IL2RA,NLRP3,CCND3,EIF3A,SIT1,IFNAR2,HDAC9,CARTPT,TRAT1,CCL22,APBB1,FYB1,IL1B,TIMP1,RPS19,JAK2,KRT1,WARS1,IFNGR2,CCR2,EREG,MMP9,EGFR,IL16,CFP,WAS,ITGAL,KLRD1,RARS1,TLR2,CCND2,IL2RG,ETS1,ITK,NCR1,MAP4K1,CCL19,PSMB10,RPL39,EIF3J,ABCE1,CD8B,F2,ELF4,LY86,FCGR2B,GBP2,PRKCG,RPS9,MTIF2,GZMA,AARS1,CD96,CSK,HIF1A,CCL2,ICOSLG,NPM1,IL4R,CCL11,NME1,FLNA,GPR65,ACHE,EIF3D,IGSF6,F2R,IL13,TAP1,DARS1,IRF7,ACVR2A,CXCR3,PRKCB,CXCL9,PTPN6,NCF4,UBE2D1,LIF,CCR1,MBL2,DEGS1,TPD52,AKT1,RIPK2,IKBKB,GCNT1,SOCS5,IRF8,TAP2,EIF4G3,ABI1,CCL7,IL2RB,BRCA1,FGR,IL18RAP,MRPL3,CXCL13,CAPG,EIF5A,RPS3A,GALNT1,ST8SIA4,CCL13,RPL3L,LY75,TAPBP,NOS2,RPL9,BCAT1,IL9,IL27RA,DYRK3	PMBB_noTumor	35	803	232	6063	0.497145822	1.139025842	0.768551528	1.644454929	1	Hallmark
HALLMARK_ANDROGEN_RESPONSE	Androgen response	KLK3,KLK2,ACSL3,PIAS1,CAMKK2,NKX3-1,TMPRSS2,APPBP2,CENPN,BMPR1B,MAF,FADS1,ZBTB10,HMGCR,SPCS3,INSIG1,NGLY1,UBE2J1,ELK4,ABCC4,ELOVL5,ALDH1A3,TARP,AZGP1,ABHD2,SAT1,DBI,DHCR24,SORD,STK39,TPD52,IDI1,B2M,MAP7,DNAJB9,FKBP5,HERC3,PGM3,HOMER2,ELL2,UAP1,SEC24D,LMAN1,PMEPA1,INPP4B,RRP12,SELENOP,NDRG1,KRT19,ITGAV,B4GALT1,MAK,SPDEF,GSR,KRT8,LIFR,PLPP1,STEAP4,GUCY1A1,SRP19,CCND3,IQGAP2,RAB4A,SLC26A2,SMS,ZMIZ1,SGK1,MERTK,HPGD,ANKH,GNAI3,SRF,SLC38A2,HMGCS1,ARID5B,CDC14B,TNFAIP8,XRCC5,GPD1L,ACTN1,RPS6KA3,TSC22D1,PDLIM5,TMEM50A,ADAMTS1,NCOA4,AKAP12,SCD,PTK2B,CDK6,ADRM1,H1-0,HSD17B14,VAPA,CCND1,XRCC6,MYL12A,UBE2I,PTPN21,AKT1,PA2G4	gnomAD	23	815	738	73285	2.29e-5	2.802290593	1.755096298	4.267207595	0.0011444	Hallmark
HALLMARK_ANDROGEN_RESPONSE	Androgen response	KLK3,KLK2,ACSL3,PIAS1,CAMKK2,NKX3-1,TMPRSS2,APPBP2,CENPN,BMPR1B,MAF,FADS1,ZBTB10,HMGCR,SPCS3,INSIG1,NGLY1,UBE2J1,ELK4,ABCC4,ELOVL5,ALDH1A3,TARP,AZGP1,ABHD2,SAT1,DBI,DHCR24,SORD,STK39,TPD52,IDI1,B2M,MAP7,DNAJB9,FKBP5,HERC3,PGM3,HOMER2,ELL2,UAP1,SEC24D,LMAN1,PMEPA1,INPP4B,RRP12,SELENOP,NDRG1,KRT19,ITGAV,B4GALT1,MAK,SPDEF,GSR,KRT8,LIFR,PLPP1,STEAP4,GUCY1A1,SRP19,CCND3,IQGAP2,RAB4A,SLC26A2,SMS,ZMIZ1,SGK1,MERTK,HPGD,ANKH,GNAI3,SRF,SLC38A2,HMGCS1,ARID5B,CDC14B,TNFAIP8,XRCC5,GPD1L,ACTN1,RPS6KA3,TSC22D1,PDLIM5,TMEM50A,ADAMTS1,NCOA4,AKAP12,SCD,PTK2B,CDK6,ADRM1,H1-0,HSD17B14,VAPA,CCND1,XRCC6,MYL12A,UBE2I,PTPN21,AKT1,PA2G4	PMBB_noCancer	23	815	172	7897	0.262726067	1.295655701	0.795070675	2.022887873	1	Hallmark
HALLMARK_ANDROGEN_RESPONSE	Androgen response	KLK3,KLK2,ACSL3,PIAS1,CAMKK2,NKX3-1,TMPRSS2,APPBP2,CENPN,BMPR1B,MAF,FADS1,ZBTB10,HMGCR,SPCS3,INSIG1,NGLY1,UBE2J1,ELK4,ABCC4,ELOVL5,ALDH1A3,TARP,AZGP1,ABHD2,SAT1,DBI,DHCR24,SORD,STK39,TPD52,IDI1,B2M,MAP7,DNAJB9,FKBP5,HERC3,PGM3,HOMER2,ELL2,UAP1,SEC24D,LMAN1,PMEPA1,INPP4B,RRP12,SELENOP,NDRG1,KRT19,ITGAV,B4GALT1,MAK,SPDEF,GSR,KRT8,LIFR,PLPP1,STEAP4,GUCY1A1,SRP19,CCND3,IQGAP2,RAB4A,SLC26A2,SMS,ZMIZ1,SGK1,MERTK,HPGD,ANKH,GNAI3,SRF,SLC38A2,HMGCS1,ARID5B,CDC14B,TNFAIP8,XRCC5,GPD1L,ACTN1,RPS6KA3,TSC22D1,PDLIM5,TMEM50A,ADAMTS1,NCOA4,AKAP12,SCD,PTK2B,CDK6,ADRM1,H1-0,HSD17B14,VAPA,CCND1,XRCC6,MYL12A,UBE2I,PTPN21,AKT1,PA2G4	PMBB_noTumor	23	815	136	6159	0.263882251	1.277981781	0.778887559	2.012240852	1	Hallmark
HALLMARK_ANGIOGENESIS	Angiogenesis	VCAN,POSTN,FSTL1,LRPAP1,STC1,LPL,VEGFA,PF4,THBD,FGFR1,TNFRSF21,CCND2,COL5A2,ITGAV,SERPINA5,KCNJ8,APP,JAG1,COL3A1,SPP1,NRP1,OLR1,PDGFA,PTK2,SLCO2A1,PGLYRP1,VAV2,S100A4,MSX1,VTN,TIMP1,APOH,PRG2,JAG2,LUM,CXCL6	gnomAD	5	833	223	73800	0.114479355	1.986419139	0.637065285	4.723541679	1	Hallmark
