plot_group	Hugo_symbol	count_with_plp_PBTA	plot_group_n	count_without_plp_PBTA	count_with_plp_gnomAD	count_without_plp_gnomAD	oddsRatio_gnomad	pvalue_gnomad	CI_lower_gnomad	CI_upper_gnomad	adjusted_p_gnomad	count_with_plp_PMBB_noTumor	count_without_plp_PMBB_noTumor	oddsRatio_pmbb	pvalue_pmbb	CI_lower_pmbb	CI_upper_pmbb	adjusted_p_pmbb
Atypical Teratoid Rhabdoid Tumor	FANCI	1	27	26	69	73954	41.18603032468044	0.02521646933157503	0.9913003696919065	256.2965104461657	1	12	6283	20.07095060059979	0.054169867914480065	0.4538345803548858	145.20655373802094	1
Atypical Teratoid Rhabdoid Tumor	MTAP	1	27	26	5	74018	563.8880111471244	0.0021857915038841786	11.596432906461114	8090.503155951839	0.3147539765593217	2	6293	119.17148937319526	0.012759769722031345	1.9759163777425102	2394.1340247267435	1
Atypical Teratoid Rhabdoid Tumor	NBN	1	27	26	44	73979	64.57429153154747	0.016281699618605813	1.5426582902156214	408.87165810736195	1	16	6279	15.0638343987503	0.0702611293770992	0.34675253429018305	104.3231155385137	1
Atypical Teratoid Rhabdoid Tumor	PTPN11	1	27	26	10	74013	281.49732343012437	0.004003769294733982	6.319081215558117	2272.685449288977	0.5765427784416934	5	6290	48.07027544086486	0.025362683584260956	0.9854813035141823	448.90418870930336	1
Atypical Teratoid Rhabdoid Tumor	RAD51D	1	27	26	19	74004	149.5490583438334	0.0072680945854682955	3.4733973242447465	983.4737253441135	1	4	6291	60.06406814559933	0.021179025787245863	1.1832444397872401	642.8418164341061	1
Atypical Teratoid Rhabdoid Tumor	SMARCB1	2	27	25	6	74017	983.1476849867568	3.5798459570273305e-6	92.17813823679425	8191.999999985097	5.154978178119356e-4	1	6294	489.794780775213	5.25619272569249e-5	24.809465611870184	16383.999999940395	0.007568917524997186
Atypical Teratoid Rhabdoid Tumor	TERT	1	27	26	12	74011	237.06707878402835	0.00473006695951532	5.346783505858525	1745.8000170692237	0.6811296421702061	3	6292	79.78883238468528	0.01697807740006667	1.4801573311764988	1021.5137417627905	1
Atypical Teratoid Rhabdoid Tumor	TP53	1	27	26	22	74001	129.04355137697908	0.00835391176731276	3.0199115985375657	869.6605603260961	1	4	6291	60.06406814559933	0.021179025787245863	1.1832444397872401	642.8418164341061	1
Choroid plexus tumor	COL7A1	1	18	17	132	73891	32.89521491532961	0.03184805030420881	0.7820561586500051	211.72086999516281	1	33	6262	11.145499908970395	0.09274914234948595	0.2593263379284692	75.4613101198184	1
Choroid plexus tumor	ERCC5	1	18	17	82	73941	53.03432053281509	0.01998916097235699	1.254087871539055	345.22045209555085	1	11	6284	33.485096217655276	0.03371254168094056	0.7378142449971576	255.71820467094375	1
Choroid plexus tumor	RMRP	1	18	17	110	73913	39.54235952977784	0.026646934384775913	0.9373541789600218	254.542018444394	1	NA	NA	0	0	0	0	0
Choroid plexus tumor	SOS2	1	18	17	4	74019	1065.2374215533357	0.0012149846695620726	20.89009355941123	16383.999999940395	0.17495779241693846	1	6294	358.5813191206313	0.005694839365206322	4.456487175492838	16383.999999940395	0.8200568685897104
Choroid plexus tumor	TP53	2	18	16	22	74001	422.21326779905905	1.5357316718480312e-5	44.15824817869365	1865.9980150136	0.002211453607461165	4	6291	193.716197222341	1.144120336219645e-4	16.366361999920755	1438.725325102384	0.016475332841562888
Craniopharyngioma	EXT2	1	39	38	40	73983	48.71364370381459	0.021369898776517675	1.1721428508336325	304.1603150000591	1	1	6294	163.3621347435099	0.012277547787111176	2.0562716217178214	11370.505536840938	1
Craniopharyngioma	FGFR2	1	39	38	10	74013	193.92545480092068	0.005777606176940569	4.37440161726107	1430.8673738074938	0.831975289479442	1	6294	163.3621347435099	0.012277547787111176	2.0562716217178214	11370.505536840938	1
Craniopharyngioma	MPL	1	39	38	68	73955	28.613580653654633	0.03570758159400475	0.6961428345218913	174.33870968364096	1	17	6278	9.705500813745862	0.10535025184067626	0.22664681342872403	65.14794968655806	1
Craniopharyngioma	PRF1	1	39	38	41	73982	47.52417413996789	0.021885516965244056	1.1442114223927804	295.9190279501482	1	7	6288	23.553770989313584	0.04823550494979281	0.5112035193584085	191.35300396748664	1
Craniopharyngioma	PTCH2	1	39	38	14	74009	138.8588995485308	0.007870479277310901	3.2066097424900235	984.6136816830975	1	4	6291	41.151924413744254	0.03041893150072764	0.8190761249323661	424.0547001279728	1
DIPG or DMG	BRIP1	1	53	52	69	73954	20.609294050700836	0.04888945324190625	0.504886182304811	124.16348232177579	1	15	6280	8.04298515983991	0.12567715167794802	0.1876858446525713	54.20219512954808	1
DIPG or DMG	ELP1	1	53	52	36	73987	39.49855324047506	0.02614097701440047	0.9557702006191009	245.51125860496617	1	15	6280	8.04298515983991	0.12567715167794802	0.1876858446525713	54.20219512954808	1
DIPG or DMG	ERCC5	1	53	52	82	73941	17.33735651017199	0.05770710819393974	0.4257221426280374	103.71944284883149	1	11	6284	10.972683789850944	0.09579327299289794	0.25047198572733065	77.97108731047545	1
DIPG or DMG	MSH2	1	53	52	8	74015	178.01782690960022	0.006421280175931678	3.9348765932383154	1416.194521935773	0.9246643453341616	0	6295	Inf	0.008349086326402019	3.0453993491575817	Inf	1
DIPG or DMG	PMS2	1	53	52	53	73970	26.83970135790491	0.03792576309931354	0.6546594025158152	162.49130243270363	1	19	6276	6.347074661845026	0.15459140205628638	0.15002974768859004	41.46646377837935	1
DIPG or DMG	XPC	1	53	52	47	73976	30.25743197734792	0.033782491853796164	0.7365730654675419	184.57223124492506	1	9	6286	13.403744474797069	0.08047780328110614	0.30072429037842713	99.86971992634419	1
Ependymoma	ERCC2	1	73	72	100	73923	10.267430862970526	0.09482082306620837	0.2539162607968507	60.33590507432803	1	25	6270	3.481997807925094	0.2594541617248214	0.08369164105717078	21.870303031071796	1
Ependymoma	ERCC4	1	73	72	39	73984	26.35088617976088	0.038670585488990224	0.6417879920164575	160.26590302372173	1	3	6292	29.022227071117133	0.045082237301506886	0.5473468743585487	365.8032348578004	1
Ependymoma	FAH	1	73	72	62	73961	16.558622296327044	0.06023433844727428	0.4073117223112149	98.8431371782864	1	9	6286	9.689393401148426	0.10897236848353328	0.21832123136897177	71.5470713663182	1
Ependymoma	FGFR2	1	73	72	10	74013	102.55321811044678	0.010784788877744488	2.336561809790099	749.5752168367364	1	1	6294	86.6110388175548	0.022797502117150863	1.0984728320648187	6403.471371067584	1
Ependymoma	GJB2	2	73	71	188	73835	11.063012772555608	0.015255502579603999	1.3046962251947756	42.05683723071275	1	32	6263	5.510188464369851	0.05745315678288217	0.627929940870541	22.319771271310096	1
Ependymoma	MUTYH	1	73	72	73	73950	14.069236107915101	0.07037809554668642	0.3467035989263077	83.42955610393068	1	18	6277	4.840499151884809	0.19698175876632115	0.11467355022157233	31.518292573858137	1
Ependymoma	NF1	1	73	72	23	74000	44.666413250194246	0.023382619494443983	1.0700795485163792	281.9621344108248	1	6	6289	14.535633987011893	0.0775727202910164	0.31220337440731954	121.87363068002146	1
Ependymoma	RAD50	1	73	72	86	73937	11.938719976539874	0.08222701219778018	0.29483803998480057	70.49354730417413	1	9	6286	9.689393401148426	0.10897236848353328	0.21832123136897177	71.5470713663182	1
Ependymoma	SDHA	1	73	72	49	73974	20.965304046659526	0.04810544525547084	0.5133280720349156	125.70736295790016	1	2	6293	43.51075810472901	0.03400324863701386	0.7306742691596222	836.7551923945989	1
Ependymoma	SLX4	1	73	72	38	73985	27.04113751772014	0.03772204192201216	0.658258340562408	163.93089708537596	1	6	6289	14.535633987011893	0.0775727202910164	0.31220337440731954	121.87363068002146	1
Ependymoma	TP53	1	73	72	22	74001	46.630307784736004	0.022419199646107408	1.1166671387362306	297.08667988307894	1	4	6291	21.778007973028807	0.05603588228532054	0.4375359197029516	223.4357548169577	1
Germ cell tumor	ATM	1	13	12	127	73896	48.4052606990091	0.02224566189931764	1.1255270151145622	331.54340654053516	1	30	6265	17.361418502165375	0.062094213427149346	0.39412087829169806	124.3318548277732	1
Germ cell tumor	EPCAM	1	13	12	11	74012	558.4473794079082	0.0021052055688662147	12.034772135245355	4106.03270666137	0.3031496019167349	1	6294	510.9448319594181	0.004117829038986892	6.170655124075184	4503599627370496	0.5929673816141124
Germ cell tumor	FANCA	1	13	12	124	73899	49.57371345504474	0.0217295499074958	1.1525885559056905	339.5959619230513	1	21	6274	24.824956182512782	0.04444392760326915	0.556234370804474	183.00898463875316	1
Low-grade glioma	ASXL1	1	223	222	56	73967	5.9491916127824656	0.15761957322944145	0.14736865615787734	34.835584172800765	1	24	6271	1.176956228596382	0.5818572824444852	0.028494570437008447	7.284765094852228	1
Low-grade glioma	ATM	3	223	220	127	73896	7.933716881080685	0.007227979831548875	1.602483542652365	24.029715464124248	1	30	6265	2.846954063148114	0.10185057410619087	0.551850430894368	9.264720416963963	1
Low-grade glioma	BLM	1	223	222	69	73954	4.827116923849007	0.1899517321978177	0.11997417354635041	28.088712339780795	1	14	6281	2.0206089203838564	0.4071122711473864	0.0475826936674672	13.389654425672042	1
Low-grade glioma	BRIP1	1	223	222	69	73954	4.827116923849007	0.1899517321978177	0.11997417354635041	28.088712339780795	1	15	6280	1.8856853123565331	0.4274434972790385	0.04459932942665374	12.358875378196183	1
