Kids_First_Biospecimen_ID	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
BS_ZZJF26C4	0.2782812262652789	0	0.1448038718285062	0	0.2582172400617683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12737456506127492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09895170298059401	0	0	0	0	0	0	0	0	0	0
BS_ZX1YPQ88	0.09354089736323254	0	0.33347122481058983	0	0.29465844355172366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06481629267306283	0	0	0	0	0	0	0	0	0	0	0
BS_ZV21J6YW	0.15859866721229993	0	0.29574966726209684	0	0.12722905548569838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13675100205602791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11106386887089705	0	0	0	0	0	0	0	0	0	0
BS_ZSH09N84	0.07514064090840662	0	0.4240559638913835	0	0.12322045548299065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07396488615758522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08253819284460322	0	0	0	0	0	0	0	0	0	0
BS_ZS1QRMXS	0.2158296173475519	0	0.262334574412027	0	0.25732242287773816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13237567011453524	0	0	0	0	0	0	0	0	0	0
BS_ZR75EKKX	0.1632186183739232	0	0.1298603361740676	0	0.2510260899109359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10755642095272226	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10704082357128844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06375675529371626	0	0	0	0	0	0	0	0	0	0
BS_ZPF89720	0.08151785395499418	0	0.43061945492121284	0	0.273812270242079	0	0	0	0	0	0	0.09172647513091821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZP89F1JY	0	0	0.3803651071307382	0	0.09029266493582933	0	0	0	0	0	0	0.43872816891016986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZKZACPVV	0	0	0.28240933348229574	0	0	0	0	0	0	0	0	0.6485216159878355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_ZKFEMJZ8	0	0	0.3411863846838018	0	0.13372904018525028	0	0	0	0	0	0	0.15753829682625073	0	0	0	0	0	0	0	0	0.06235042261351903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
