signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.12483355071532432	0.12558853207057272	-7.549813552484019e-4	233	0.8354809545969342
SBS2	0	0.0011650905689278717	-0.0011650905689278717	243	0.8216545699636649
SBS3	0.3571218605870803	0.20789961069118446	0.14922224989589583	361	0.05607761048726607
SBS5	0.23339706971175372	0.1628268836979092	0.07057018601384452	326	0.18419109550274437
SBS6	0	0.012948986702571962	-0.012948986702571962	219	0.40415031222232956
SBS9	0.020707310497374908	0.009806514227755343	0.010900796269619565	266.5	0.506756630896581
SBS10a	0	0	0	246	NA
SBS10b	0	0.0025531621130458503	-0.0025531621130458503	237	0.6544505122421929
SBS10c	0	0.002274104174977027	-0.002274104174977027	240	0.7243307820056306
SBS10d	0	0	0	246	NA
SBS11	0	0.008558207504690067	-0.008558207504690067	234	0.5978751045982656
SBS13	0	0.006803466212613855	-0.006803466212613855	225	0.46953235863011583
SBS14	0	0.004512441028893998	-0.004512441028893998	240	0.7243307820056306
SBS15	0	0.0549026842056515	-0.0549026842056515	177	0.14222336059534804
SBS18	0.06674180939832335	0.06265763508050123	0.004084174317822112	274	0.633759368817898
SBS20	0	0.0031828963072305385	-0.0031828963072305385	243	0.8216545699636649
SBS21	0	0.009265229894763614	-0.009265229894763614	231	0.5496450037218501
SBS25	0	0.01558362129537782	-0.01558362129537782	222	0.435344817266162
SBS26	0	0.0216793089921702	-0.0216793089921702	213	0.34905703618116535
SBS30	0.010672174977696855	0.010122922307344602	5.49252670352253e-4	270.5	0.363216347227161
SBS31	0	0.015995864077403	-0.015995864077403	222	0.435344817266162
SBS32	0	0.006159101319485241	-0.006159101319485241	228	0.507332270760569
SBS35	0	0.007876622335132612	-0.007876622335132612	228	0.507332270760569
SBS36	0	0.0029404687782589034	-0.0029404687782589034	240	0.7243307820056306
SBS44	0	0	0	246	NA
SBS84	0	0.006307831527924715	-0.006307831527924715	237	0.6544505122421929
SBS85	0.08321649357089049	0.05465589784122248	0.028560595729668008	295.5	0.3975995980013078
SBS86	0	0.0038050947661772915	-0.0038050947661772915	234	0.5978751045982656
SBS87	0	0.03885460845916388	-0.03885460845916388	198	0.24233186312525998
SBS90	0	0.0012657611986407844	-0.0012657611986407844	243	0.8216545699636649
