signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.10048071681681182	0.1034130206252517	-0.0029323038084398817	11419	0.5880078911589456
SBS2	0.003218496222060318	4.165291238735994e-4	0.0028019670981867186	12478.5	0.02124874423655851
SBS3	0.263379204726081	0.2725464286501229	-0.0091672239240419	10990	0.38551075193258894
SBS5	0.1874948324523435	0.2241700792410441	-0.0366752467887006	10401.5	0.18612031465585635
SBS6	0.015609420780664011	0.009577870951702153	0.006031549828961858	12504	0.5778880635156296
SBS9	0.057634807511347974	0.06488046640602205	-0.007245658894674073	10736	0.19868450620370887
SBS10a	0	0	0	12120	NA
SBS10b	0	4.172370774935953e-4	-4.172370774935953e-4	12045	0.6679121496380834
SBS10c	0.0021096655964610404	0.002487203886705331	-3.775382902442906e-4	12140.5	0.9592084061363174
SBS10d	0	8.545560716888814e-5	-8.545560716888814e-5	12105	0.8522368073084572
SBS11	0	0.0016267440599833569	-0.0016267440599833569	12015	0.6106122145454688
SBS13	0.006450432171807175	0.0013432229220203167	0.0051072092497868584	12732	0.04082677330680216
SBS14	0.016984959776122816	5.42102776672521e-4	0.016442856999450296	12884	1.0991609034278371e-5
SBS15	0.013800948816444478	0.00898014393525781	0.0048208048811866685	12086	0.9544397073543538
SBS18	0.06310582125052801	0.04819004082782085	0.014915780422707157	13092.5	0.406683788102657
SBS20	0.0031192552426186956	0.0011721987544898633	0.0019470564881288322	12417.5	0.17556372734090375
SBS21	0.008130085382112157	0.0016543344347574986	0.006475750947354658	12766	0.020538513781250343
SBS25	0.009502210254470216	0.006567860213646196	0.00293435004082402	12301	0.7226434307667045
SBS26	0.003452826796072829	0.006165655426342099	-0.0027128286302692695	11982	0.7666710491027113
SBS30	0.010257214462347586	0.010437374082200072	-1.8015961985248623e-4	12337	0.7646644922360064
SBS31	0	0.009807429330601912	-0.009807429330601912	11610	0.2522380037869097
SBS32	0.002686560467293498	0.002565230587241328	1.2132988005216991e-4	12152.5	0.9347777991026938
SBS35	0	0.003884370127071977	-0.003884370127071977	11700	0.30065441235887236
SBS36	0.002150006469317641	6.909520048490657e-4	0.0014590544644685754	12431	0.1302844619475306
SBS44	0	0.0022744278922896283	-0.0022744278922896283	11775	0.34978235387575735
SBS84	0.007018679708202683	0.004007811294860686	0.003010868413341997	12494	0.3802704532255005
SBS85	0.07492486184413083	0.0728267629492488	0.002098098894882036	12610.5	0.6950713782779754
SBS86	0	8.10509728898039e-4	-8.10509728898039e-4	12000	0.5857472825151953
SBS87	0	0.0064660332808249435	-0.0064660332808249435	11640	0.2672854706618096
SBS90	0.004269050308969608	0.002506646552058177	0.0017624037569114307	12688	0.07424283428578796
