signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.1271186667426675	0.12407541722634893	0.003043249516318569	1225.5	0.8858839404175236
SBS2	0	0.0011510533331576564	-0.0011510533331576564	1189	0.5681922263884915
SBS3	0.1977648866540863	0.20696209520783446	-0.009197208553748143	1146	0.7013197418185573
SBS5	0.18632425375618505	0.16086511401480186	0.025459139741383197	1217	0.9302948025350191
SBS6	0.021614905910080376	0.012792974814589167	0.008821931095491209	1247	0.6076030734930187
SBS9	0.01210851235621867	0.009688363453926966	0.0024201489022917036	1228	0.7472378391976329
SBS10a	0	0	0	1203.5	NA
SBS10b	0	0.002522401123732045	-0.002522401123732045	1160	0.307171069529912
SBS10c	0.002566626010172366	0.002246705329495376	3.199206806769896e-4	1216	0.775659967336972
SBS10d	0	0	0	1203.5	NA
SBS11	0.002898993312927533	0.00845509657089862	-0.005556103257971087	1187	0.766469029582441
SBS13	0.005338551577901981	0.006721496740172724	-0.0013829451622707429	1184	0.7889219821331674
SBS14	0	0.004458074269509733	-0.004458074269509733	1174.5	0.4092471433161972
SBS15	0.0086310071963719	0.05424120608269185	-0.045610198886319946	949	0.02063628354199771
SBS18	0.06632500285791976	0.06328062480384489	0.00304437805407487	1228.5	0.8637974548838421
SBS20	0.0022095502947851345	0.0031445481589506526	-9.349978641655181e-4	1230	0.4515511335044076
SBS21	0.009323381540965235	0.009153600618923088	1.6978092204214708e-4	1215	0.8617527034418857
SBS25	0.006705267361191378	0.019300083327474172	-0.012594815966282794	1151	0.5035867174301806
SBS26	0.01275509942302503	0.021418112498288632	-0.008663013075263602	1168	0.6857466307425204
SBS30	0.020687392097483347	0.010000959387979005	0.010686432709504342	1337	0.07410113512233908
SBS31	0.022349835946363646	0.015803142823458384	0.006546693122905262	1289	0.31008008493902484
SBS32	0.006655826138622297	0.006084895279491444	5.709308591308531e-4	1235	0.6622627761587927
SBS35	0.011546193661622373	0.007781723270853906	0.003764470390768467	1281.5	0.29801130704292633
SBS36	0	0.002905041443581085	-0.002905041443581085	1174.5	0.4092471433161972
SBS44	0	0	0	1203.5	NA
SBS84	0.002173063214376015	0.006231833557708755	-0.0040587703433327404	1200	0.9505797241845645
SBS85	0.05340331670509192	0.05764455534893015	-0.004241238643838227	1146	0.6907420107831933
SBS86	0.007207602334651759	0.0037592502509221433	0.0034483520837296157	1229.5	0.6642434127884311
SBS87	0.04519110756344491	0.03838648064640287	0.006804626917042041	1258	0.6113516455585788
SBS90	0.027234234440094943	0.0012505110637174015	0.02598372337637754	1231	0.43433997989032264
