signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.10225402749623752	0.10277327832651076	-5.192508302732379e-4	75246	0.7978759481873077
SBS2	7.546633212034247e-4	4.0624120237808483e-4	3.4842211882533985e-4	76382	0.4326857690818479
SBS3	0.25027971468083454	0.2437119715475343	0.006567743133300247	77691.5	0.6202260030896338
SBS5	0.21877546244013132	0.22687445637106596	-0.008098993930934634	73267.5	0.38838953097701534
SBS6	0.011237366109759596	0.00935266332167494	0.001884702788084655	76961	0.6102820334267189
SBS9	0.06638983970700132	0.06366991612818751	0.0027199235788138154	77091	0.7074505230250074
SBS10a	0	0	0	76076	NA
SBS10b	0	5.918955568444195e-4	-5.918955568444195e-4	75411	0.12667372584482636
SBS10c	0.0020454662566137607	0.0028101510908106917	-7.64684834196931e-4	75415	0.5079723023400824
SBS10d	0	1.197876849331156e-4	-1.197876849331156e-4	75943	0.4969027834545141
SBS11	5.963523239997991e-4	0.0020233770213020615	-0.0014270246973022624	75982	0.8557012078977433
SBS13	0.0015755891560947652	0.0013836199044946513	1.9196925160011396e-4	76303.5	0.7539040336711911
SBS14	0.001915596967231896	7.657675586562943e-4	0.0011498294085756017	76250	0.6900485413654287
SBS15	0.005996193965956182	0.010709259603911371	-0.004713065637955189	74535	0.2979747558872446
SBS18	0.05255855645917172	0.04887795795739855	0.003680598501773172	77833	0.5520735374941401
SBS20	8.363608141354088e-4	0.0014292775037520625	-5.929166896166537e-4	76261.5	0.7362893383589271
SBS21	0.002815256096272497	0.0014541025514065887	0.0013611535448659082	77278	0.08526480504250569
SBS25	0.0056124922104784135	0.007660593119797761	-0.002048100909319348	75532	0.6790365396975916
SBS26	0.005401706925304304	0.006700608955922352	-0.0012989020306180482	75101	0.41302107228949986
SBS30	0.01237832301393112	0.010510713074020862	0.0018676099399102582	78090	0.2810857092186079
SBS31	0.007415988688845695	0.0106623491874614	-0.0032463604986157054	76285	0.8556120909828783
SBS32	0.003568949722951921	0.0023361329587072545	0.0012328167642446665	76975.5	0.3759749395381404
SBS35	0.0042705498993101006	0.003519600180006161	7.509497193039396e-4	77355	0.20800531813035533
SBS36	5.356812224723629e-4	8.52360225535191e-4	-3.1667900306282814e-4	75980	0.8526495637869549
SBS39	0.019173719342597415	0.017728980003393013	0.0014447393392044011	76362	0.892512067241022
SBS44	0.002004162155320268	0.0026752942467184546	-6.711320913981868e-4	75156	0.34794881063592537
SBS84	0.0022199312874238136	0.004994942892695648	-0.0027750116052718344	74847	0.24936878116874153
SBS85	0.07069923065102483	0.07381795951491478	-0.003118728863889947	75561	0.8694189519726341
SBS86	4.8470507850088785e-4	5.451195333865616e-4	-6.041445488567379e-5	76114	0.937246808171136
SBS87	0.0053148171322550996	0.00622643792065269	-9.116207883975904e-4	75845.5	0.8265812045524801
SBS90	0.005055258335168624	0.0013910457631210913	0.0036642125720475326	77160	0.17371343685916493
