signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.12483355071532432	0.12446276303929976	3.707876760245532e-4	236.5	0.8436967762328801
SBS2	0	0.0011510533331576564	-0.0011510533331576564	246	0.8227142289512038
SBS3	0.3571218605870803	0.19467326840078236	0.16244859218629792	372	0.0426639437431251
SBS5	0.23339706971175372	0.16111888663229176	0.07227818307946196	333	0.16763016651077023
SBS6	0	0.012831114970678053	-0.012831114970678053	222	0.40724482978892723
SBS9	0.020707310497374908	0.009920876533184561	0.010786433964190347	270	0.49899648177676154
SBS10a	0	0	0	249	NA
SBS10b	0	0.002542985402729697	-0.002542985402729697	240	0.6564455566770102
SBS10c	0	0.002246705329495376	-0.002246705329495376	243	0.7259461333579281
SBS10d	0	0	0	249	NA
SBS11	0	0.008474279387707145	-0.008474279387707145	237	0.6001608022244348
SBS13	0	0.006648596798499077	-0.006648596798499077	228	0.4723957615049522
SBS14	0	0.004458074269509733	-0.004458074269509733	243	0.7259461333579281
SBS15	0	0.052881395123010315	-0.052881395123010315	183	0.15696572702396785
SBS18	0.06674180939832335	0.06443163269351526	0.002310176704808084	271	0.7141149318904674
SBS20	0	0.0031445481589506526	-0.0031445481589506526	246	0.8227142289512038
SBS21	0	0.009153600552509508	-0.009153600552509508	234	0.5521631748468931
SBS25	0	0.01959023455218244	-0.01959023455218244	219	0.3786774560135478
SBS26	0	0.022419961188399333	-0.022419961188399333	213	0.3278459824881283
SBS30	0.010672174977696855	0.01000925695427196	6.629180234248959e-4	274	0.3563796627820974
SBS31	0	0.01655403260389704	-0.01655403260389704	222	0.40724482978892723
SBS32	0	0.0069296401793271884	-0.0069296401793271884	228	0.4723957615049522
SBS35	0	0.006935683217416191	-0.006935683217416191	234	0.5521631748468931
SBS36	0	0.0029050412191597365	-0.0029050412191597365	243	0.7259461333579281
SBS39	0	0.012687056605310545	-0.012687056605310545	222	0.40724482978892723
SBS44	0	0	0	249	NA
SBS84	0	0.006231833557708755	-0.006231833557708755	240	0.6564455566770102
SBS85	0.08321649357089049	0.056964654484275554	0.026251839086614936	296	0.4265960873514195
SBS86	0	0.0037567273867122075	-0.0037567273867122075	237	0.6001608022244348
SBS87	0	0.03704718015419054	-0.03704718015419054	204	0.2641548647171814
SBS90	0	0.0011908821278706681	-0.0011908821278706681	246	0.8227142289512038
