signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.11983663415039088	0.12598060161294974	-0.006143967462558866	360	0.532533307996592
SBS2	0	0.0011650905689278717	-0.0011650905689278717	405	0.7532980334628382
SBS3	0.22721547583289262	0.19546092014258296	0.03175455569030966	441.5	0.6932393091385491
SBS5	0.13416918726653265	0.16308375110341727	-0.02891456383688462	355	0.4886521048484766
SBS6	0.02325887805419367	0.01298759198251559	0.010271286071678081	409.5	1
SBS9	0.015378536481360111	0.01004186283236974	0.005336673648990372	417.5	0.8574141386813382
SBS10a	0	0	0	410	NA
SBS10b	0	0.002573997419836157	-0.002573997419836157	395	0.5544311063853873
SBS10c	0	0.002274104174977027	-0.002274104174977027	400	0.6371106827356214
SBS10d	0	0	0	410	NA
SBS11	0	0.00857762425828894	-0.00857762425828894	390	0.4887703210099123
SBS13	0.006013901409684916	0.006729677247261262	-7.15775837576346e-4	412.5	0.9590598706973704
SBS14	0.05095487932836844	0.004512441028893998	0.04644243829947444	482	0.011138973575752713
SBS15	0.04140284644933343	0.053526290185486054	-0.012123443736152623	389	0.7391109005621994
SBS18	0.0960972120459515	0.06382267965175295	0.032274532394198543	448	0.6234219398710215
SBS20	0.009288210991465616	0.0031828963072305385	0.006105314684235077	445.5	0.08221112306123116
SBS21	0.02439025614633647	0.009265229827540113	0.015125026318796357	466	0.12992987476016202
SBS25	0.01120672596161552	0.0158773109496557	-0.004670584988040179	406.5	0.9444736217802341
SBS26	0.009976206607238412	0.02269337534923347	-0.012717168741995058	389	0.6711527376904857
SBS30	0.007206194460191451	0.010131321063470398	-0.002925126603278947	424.5	0.6815682393528081
SBS31	0	0.016755911050286027	-0.016755911050286027	365	0.2788548983923147
SBS32	0	0.007014147986392154	-0.007014147986392154	375	0.34651507440832763
SBS35	0	0.007020264720067608	-0.007020264720067608	385	0.4340647870831945
SBS36	0	0.002940468551100709	-0.002940468551100709	400	0.6371106827356214
SBS39	0	0.012841776807814332	-0.012841776807814332	365	0.2788548983923147
SBS44	0	0	0	410	NA
SBS84	0.013304327914780737	0.006307831527924715	0.006996496386856022	435.5	0.3747987529062877
SBS85	0.03407850424254897	0.05396770550260868	-0.019889201260059712	319	0.22900654554562977
SBS86	0	0.003802541135330649	-0.003802541135330649	390	0.4887703210099123
SBS87	0	0.0374989750341197	-0.0374989750341197	335	0.1462547459989255
SBS90	0	0.001205405080649579	-0.001205405080649579	405	0.7532980334628382
