signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.10253013900109341	0.10277327832651076	-2.4313932541734917e-4	67158	0.9103302021158632
SBS2	4.4146422363686914e-4	4.0624120237808256e-4	3.5223021258786586e-5	67546	0.8762214802461502
SBS3	0.2509396598672383	0.2437119715475343	0.007227688319704023	69301	0.5494461771745929
SBS5	0.22249230795943845	0.22687445637106596	-0.004382148411627512	65941	0.6057127471401702
SBS6	0.010933468819151278	0.009352663321674937	0.0015808054974763407	68362	0.5900416591194461
SBS9	0.06765885522622607	0.06366991612818748	0.003988939098038588	69431	0.4411599526538621
SBS10a	0	0	0	67496	NA
SBS10b	0	5.918955568444216e-4	-5.918955568444216e-4	66906	0.15025351137828816
SBS10c	0.0020373053235823277	0.002810151090810693	-7.728457672283653e-4	66856	0.48805646161182115
SBS10d	0	1.1978768493311604e-4	-1.1978768493311604e-4	67378	0.5224275191690555
SBS11	6.721598228133333e-4	0.0020233770213020593	-0.001351217198488726	67477	0.9695246814942206
SBS13	9.559057126207356e-4	0.001383619904494653	-4.277141918739174e-4	67287.5	0.7420887238625391
SBS14	0	7.657675586562912e-4	-7.657675586562912e-4	67142	0.2659863194745555
SBS15	0.005004064112080554	0.010709259603911381	-0.0057051954918308275	66042	0.2891835779551225
SBS18	0.051242657751855415	0.04887795795739854	0.002364699794456873	68623	0.6796769321630822
SBS20	5.491096044295018e-4	0.0014292775037520581	-8.801678993225564e-4	67473	0.962939742663288
SBS21	0.002139642204004745	0.0014541025514065828	6.855396525981623e-4	68216	0.23473845213840192
SBS25	0.005118036526920134	0.007660593119797765	-0.002542556592877631	66878	0.6102368398114701
SBS26	0.005665643966349833	0.006700608955922344	-0.001034964989572511	66671.5	0.4565011767402969
SBS30	0.012624347344193501	0.010510713074020864	0.0021136342701726374	69360	0.2802083223058087
SBS31	0.008358699115393872	0.010662349187461395	-0.002303650072067523	68065	0.5980903661126324
SBS32	0.003681117848671213	0.002336132958707255	0.001344984889963958	68362	0.35679653464483857
SBS35	0.004813416411934263	0.003519600180006151	0.0012938162319281118	69015	0.11215340557755077
SBS36	3.304703860089795e-4	8.52360225535189e-4	-5.218898395262094e-4	67191.5	0.49797961410252906
SBS39	0.019756403621437223	0.01772898000339299	0.0020274236180442343	68258.5	0.6983264417644823
SBS44	0.0022589285309965726	0.0026752942467184546	-4.1636571572188207e-4	66876	0.5017635254997713
SBS84	0.0016099208949519235	0.004994942892695652	-0.003385021997743729	66056	0.13869286325693464
SBS85	0.07021115977574185	0.0738179595149148	-0.003606799739172939	66684	0.7790634238251736
SBS86	5.463201308526967e-4	5.451195333865594e-4	1.2005974661373573e-6	67594	0.8279391040081099
SBS87	0.005990429479575659	0.0062264379206526865	-2.3600844107702756e-4	67580.5	0.9322584044495913
SBS90	0.0051552000334142605	0.001391045763121088	0.0037641542702931724	68152	0.35270926775321043
