signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.10887279748317381	0.16247977589129556	-0.053606978408121744	474.5	0.025850877832728398
SBS2	0	0.002032711205363521	-0.002032711205363521	667	0.44819924749761625
SBS3	0.22114527267916223	0.14265395189686955	0.07849132078229268	790.5	0.23393076424134854
SBS5	0.15965220206175268	0.16375805790418602	-0.004105855842433337	678.5	0.977986283332508
SBS6	0.023098539078708007	0.010334052444058677	0.01276448663464933	674	0.8938862690906796
SBS9	0.024478307106586106	0.013066304923219143	0.011412002183366963	729	0.3922802315467698
SBS10a	0	0	0	681.5	NA
SBS10b	0	0.0030029922664941756	-0.0030029922664941756	652.5	0.27177866007229307
SBS10c	0	0	0	681.5	NA
SBS10d	0	0	0	681.5	NA
SBS11	0	0.013565297883613716	-0.013565297883613716	638	0.17292317017514747
SBS13	0.005244059308979317	0.004967716724127889	2.7634258485142744e-4	684	0.9603112276891985
SBS14	0.01757064804426498	0.006474346790290037	0.011096301253974941	713	0.3258363951655466
SBS15	0.045715498438770645	0.047634042750725095	-0.0019185443119544496	633	0.4817044139827674
SBS18	0.05219478585864486	0.04872917956639851	0.003465606292246348	662.5	0.8225812147494485
SBS20	0	0.006916477891604309	-0.006916477891604309	652.5	0.27177866007229307
SBS21	0.020993166379756078	0.007250697351059119	0.013742469028696958	746.5	0.14023074205794225
SBS25	0.01056965562381742	0.01523545745970261	-0.00466580183588519	706	0.5831344582708031
SBS26	0.015342506176472126	0.03193368496272795	-0.016591178786255822	643	0.5356921929138662
SBS30	0.008728287470930692	0.022840530771486768	-0.014112243300556077	646	0.5240814459989613
SBS31	0.012255730162625445	0.031822514575863346	-0.0195667844132379	602	0.19789362865879503
SBS32	0.002381158099137308	0.005969047168866566	-0.0035878890697292574	648	0.4115950054303346
SBS35	0.006003032931903742	0.005764667001908519	2.3836592999522312e-4	699.5	0.6286935768928583
SBS36	0	0.0013963955007735551	-0.0013963955007735551	667	0.44819924749761625
SBS39	0.016732934578597054	0.019953269064006945	-0.003220334485409891	642	0.49554799182427883
SBS44	0	0	0	681.5	NA
SBS84	0.0067607624953348894	0.010424428056132105	-0.003663665560797216	683	0.980149471433201
SBS85	0.03510748043126542	0.03736178881867625	-0.002254308387410829	665	0.8447721259783534
SBS86	0.0022770939696190517	0.0030832723953590413	-8.061784257399895e-4	676	0.8740838016117554
SBS87	0.017422418850179894	0.04848640571478658	-0.031063986864606687	593.5	0.18927467057851924
SBS90	0.027234234440094943	0	0.027234234440094943	705	0.21277296751538166
