signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.1271551108722659	0.12528343855160953	0.0018716723206563535	1444.5	0.8943418371637012
SBS2	0	9.748717005314845e-4	-9.748717005314845e-4	1406.5	0.5994262792958637
SBS3	0.18259752867326481	0.20859878952595112	-0.02600126085268631	1277	0.4018037042865079
SBS5	0.18716905045148924	0.16443818246342926	0.022730867988059983	1428.5	0.9675591996730364
SBS6	0.021868118780776845	0.013240523705185869	0.008627595075590976	1479	0.5435745903922368
SBS9	0.012090988369548028	0.011239407959716011	8.515804098320166e-4	1437	0.8607468573912953
SBS10a	0	0	0	1421	NA
SBS10b	0	0.0021537529431282128	-0.0021537529431282128	1377.5	0.34784413001317827
SBS10c	0.002566625975110478	0.0019028218606950635	6.638041144154145e-4	1441	0.6703079204724968
SBS10d	0	0	0	1421	NA
SBS11	0.002898993312927533	0.007177195807956052	-0.004278202495028518	1412	0.8847959474084813
SBS13	0.005290589158672837	0.006244617840533394	-9.540286818605567e-4	1403	0.829601980106938
SBS14	0	0.008975193445438696	-0.008975193445438696	1363	0.2750581368108084
SBS15	0.008484678551795365	0.04901208428268562	-0.040527405730890254	1164	0.036651975085960034
SBS18	0.06712142301067771	0.06729472151319589	-1.7329850251818213e-4	1420	0.9975975480248682
SBS20	0.002209550472844772	0.003611016399056738	-0.0014014659262119662	1440	0.6862911330117814
SBS21	0.009323381603451262	0.010241340891037284	-9.179592875860221e-4	1418.5	0.979399549689856
SBS25	0.006705267361191378	0.014428640382529823	-0.007723373021338445	1371	0.5753269906419798
SBS26	0.012681500080496828	0.020006314741933966	-0.007324814661437138	1383	0.7087014473097325
SBS30	0.021064137405479844	0.009865952261966003	0.01119818514351384	1567	0.09961610492869459
SBS31	0.022546170264053065	0.014020252103300553	0.008525918160752512	1532	0.24309088824400532
SBS32	0.006655826138622297	0.00586898096820568	7.86845170416617e-4	1460	0.6358803556544356
SBS35	0.01209068726157416	0.0058740990514851415	0.006216588210089018	1544.5	0.11227845988781013
SBS36	0	0.0024603920529618177	-0.0024603920529618177	1392	0.4478288947924955
SBS39	0.016732934578597054	0.01074516018613036	0.005987774392466694	1444	0.7989957149474318
SBS44	0	0	0	1421	NA
SBS84	0.002173063214376015	0.0066355659636493265	-0.004462502749273312	1410	0.8579498401124683
SBS85	0.05359264792177462	0.05372893729657903	-1.362893748044075e-4	1391	0.8582352743432388
SBS86	0.0022770939696190517	0.003181718092827686	-9.046241232086344e-4	1411	0.8713543675501343
SBS87	0.044151969703306586	0.03137669339589607	0.012775276307410516	1540	0.30203886692798326
SBS90	0.027234234440094943	0.00100860425115577	0.026225630188939173	1456	0.3581806493924275
