hallmark	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_ADIPOGENESIS	-0.05893237917241379	-0.038692490652173915	-0.020239888520239877	626	0.6614269752153387
HALLMARK_ALLOGRAFT_REJECTION	-0.026769396379310348	-0.16723569623913043	0.14046629985982007	793	0.17320784655797397
HALLMARK_ANDROGEN_RESPONSE	-0.04428992706896552	-0.04098542695652174	-0.0033045001124437784	681	0.8839783820986612
HALLMARK_ANGIOGENESIS	-0.058690084068965524	-0.11526965067391304	0.056579566604947513	727	0.5197653378358652
HALLMARK_APICAL_JUNCTION	-0.021514585862068968	-0.08808012615217392	0.06656554029010495	797	0.15979917079305506
HALLMARK_APICAL_SURFACE	-0.06426566227586207	-0.13853785321739132	0.07427219094152925	813	0.11382527820723079
HALLMARK_APOPTOSIS	-0.017522702793103452	-0.09227679780434783	0.07475409501124439	782	0.21432880105864036
HALLMARK_BILE_ACID_METABOLISM	-0.09928980337931034	-0.02891107663043478	-0.07037872674887556	513	0.09507562504595585
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.04864603903448276	-0.03408128769565217	-0.01456475133883059	636	0.7415883456906386
HALLMARK_COAGULATION	-0.009252342999999998	-0.12541148173913044	0.11615913873913045	810	0.12155473899975162
HALLMARK_COMPLEMENT	-0.001810106379310348	-0.12055668258695652	0.11874657620764617	816	0.1064832460709287
HALLMARK_DNA_REPAIR	0.0642524583448276	0.13544360802173913	-0.07119114967691154	570	0.29578040618407925
HALLMARK_E2F_TARGETS	0.21622874106896553	0.23016870823913044	-0.013939967170164907	627	0.669290586099392
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.04367028555172414	-0.19443701489130436	0.1507667293395802	808	0.12692861958884186
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.07570395693103447	-0.13586986654347827	0.060165909612443794	778	0.23088049280414047
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.075027691	-0.14831842267391304	0.07329073167391305	802	0.14414691958905632
HALLMARK_FATTY_ACID_METABOLISM	-0.05066698034482759	0.010733615347826088	-0.06140059569265368	559	0.24386870841460376
HALLMARK_G2M_CHECKPOINT	0.2186983133448276	0.22160780069565217	-0.00290948735082458	633	0.7172005843204544
