hallmark	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_ADIPOGENESIS	0.1276213424	-0.05459315661702127	0.18221449901702128	159	0.21015560070181916
HALLMARK_ALLOGRAFT_REJECTION	0.013607291600000005	-0.10393268004255321	0.11753997164255321	132	0.6731023178502169
HALLMARK_ANDROGEN_RESPONSE	0.015757561600000015	-0.048657787340425536	0.06441534894042555	125	0.8331909686951702
HALLMARK_ANGIOGENESIS	-0.023838721200000003	-0.09941075314893616	0.07557203194893616	132	0.6731023178502169
HALLMARK_APICAL_JUNCTION	0.07721647599999999	-0.06795153834042554	0.14516801434042553	159	0.21015560070181916
HALLMARK_APICAL_SURFACE	0.0340400186	-0.10544681617021277	0.1394868347702128	179	0.056604180133591905
HALLMARK_APOPTOSIS	0.0852350146	-0.07914349580851064	0.16437851040851065	154	0.27296995721365463
HALLMARK_BILE_ACID_METABOLISM	0.0408028778	-0.08077874663829789	0.12158162443829788	151	0.31588019823313934
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.184442024	-0.06523571455319148	0.24967773855319148	170	0.10818250377073904
HALLMARK_COAGULATION	0.0649729102	-0.08778357987234044	0.15275649007234043	150	0.3310570381998953
HALLMARK_COMPLEMENT	0.0333283316	-0.06325429753191489	0.09658262913191488	134	0.62947409733124
HALLMARK_DNA_REPAIR	0.2853843832	0.06915761589361703	0.21622676730638296	166	0.13981900452488685
HALLMARK_E2F_TARGETS	0.4605247754	0.20520667187234043	0.25531810352765955	153	0.28683627297072667
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.09336206340000003	-0.12897640455319148	0.2223384679531915	154	0.27296995721365463
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.053596226200000006	-0.10275926087234043	0.15635548707234043	166	0.13981900452488685
HALLMARK_ESTROGEN_RESPONSE_LATE	0.07428468440000001	-0.10511238234042554	0.17939706674042555	166	0.13981900452488685
HALLMARK_FATTY_ACID_METABOLISM	0.0735378982	-0.020336343468085112	0.09387424166808511	132	0.6731023178502169
HALLMARK_G2M_CHECKPOINT	0.435286011	0.20699056180851064	0.22829544919148934	147	0.37919090713208353
HALLMARK_GLYCOLYSIS	0.17431912679999997	0.007331232000000008	0.16698789479999995	159	0.21015560070181916
HALLMARK_HEDGEHOG_SIGNALING	-0.006751361	-0.0068153801276595784	6.401912765957845e-5	121	0.9281112444977988
HALLMARK_HEME_METABOLISM	0.08790829	-0.024372465531914893	0.1122807555319149	142	0.46784636931695756
HALLMARK_HYPOXIA	0.10405386479999999	-0.048490871404255315	0.1525447362042553	149	0.3466702065441561
HALLMARK_IL2_STAT5_SIGNALING	0.0459708298	-0.07386890263829786	0.11983973243829786	147	0.37919090713208353
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.05988660379999999	-0.08309302680851063	0.14297963060851063	138	0.5458683473389355
HALLMARK_INFLAMMATORY_RESPONSE	0.02601730699999999	-0.09358533285106382	0.11960263985106381	137	0.5662780496814109
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0910616116	-0.0061762798297872725	0.09723789142978727	132	0.6731023178502169
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0642012798	-0.045942146191489355	0.11014342599148935	135	0.6080947763720872
HALLMARK_KRAS_SIGNALING_DN	-0.052280824	-0.07941141882978724	0.02713059482978724	139	0.5258095545910672
HALLMARK_KRAS_SIGNALING_UP	-0.011121163199999987	-0.038579875468085105	0.02745871226808512	122	0.9042416966786712
HALLMARK_MITOTIC_SPINDLE	0.2352768106	0.12745873744680852	0.10781807315319147	135	0.6080947763720872
HALLMARK_MTORC1_SIGNALING	0.19963092159999998	0.06545898048936169	0.1341719411106383	147	0.37919090713208353
HALLMARK_MYC_TARGETS_V1	0.292172671	0.12712118185106383	0.16505148914893616	140	0.5061116754394065
HALLMARK_MYC_TARGETS_V2	0.29316696200000003	0.14661862519148935	0.14654833680851068	148	0.3627150860344137
HALLMARK_MYOGENESIS	0.042133095	-0.10232252959574469	0.14445562459574468	164	0.15790239172592113
HALLMARK_NOTCH_SIGNALING	0.2430775656	0.09520563676595746	0.14787192883404254	155	0.25954150891125677
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.20928054379999997	-0.012786472936170232	0.2220670167361702	153	0.28683627297072667
HALLMARK_P53_PATHWAY	0.1102639524	-0.09063137519148937	0.20089532759148937	170	0.10818250377073904
HALLMARK_PANCREAS_BETA_CELLS	-0.02326071480000001	0.04370328259574468	-0.06696399739574468	100	0.6080947763720872
HALLMARK_PEROXISOME	0.10810807280000001	-0.028810715510638303	0.1369187883106383	159	0.21015560070181916
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.12480854419999998	0.026402234851063824	0.09840630934893616	143	0.4492989503493705
HALLMARK_PROTEIN_SECRETION	0.012907310999999994	0.05728220285106383	-0.04437489185106383	103	0.6731023178502169
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.2331739206	-0.04001373361702127	0.2731876542170213	174	0.08215055252870378
HALLMARK_SPERMATOGENESIS	0.026298486999999992	0.015001501042553192	0.0112969859574468	122	0.9042416966786712
HALLMARK_TGF_BETA_SIGNALING	0.1526941602	-0.04310048759574468	0.19579464779574468	160	0.1988764736663896
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.09109322499999999	-0.0836679159574468	0.17476114095744677	142	0.46784636931695756
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.14611687639999998	0.06590904714893617	0.08020782925106382	129	0.740476960014775
HALLMARK_UV_RESPONSE_DN	-0.0013037586000000045	-0.0703249125531915	0.06902115395319149	116	0.9760104041616643
HALLMARK_UV_RESPONSE_UP	0.1813874866	0.019430195957446796	0.1619572906425532	158	0.2218572044202296
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.1412910014	0.013199307361702115	0.1280916940382979	151	0.31588019823313934
HALLMARK_XENOBIOTIC_METABOLISM	0.0657042956	-0.06338674174468086	0.12909103734468086	155	0.25954150891125677
