hallmark	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_ADIPOGENESIS	0.03378018457142857	-0.00406280519327731	0.037842989764705875	422	0.9575310908545124
HALLMARK_ALLOGRAFT_REJECTION	0.04741189528571429	-0.08148932203361345	0.12890121731932774	476	0.5297589023655929
HALLMARK_ANDROGEN_RESPONSE	0.014139542000000001	4.446342436974776e-4	0.013694907756302523	400	0.8646904334967629
HALLMARK_ANGIOGENESIS	0.07528937485714286	-0.042850186663865544	0.11813956152100841	493	0.41826725448565494
HALLMARK_APICAL_JUNCTION	0.056005948714285714	-0.02078082212605042	0.07678677084033614	498	0.388311737157894
HALLMARK_APICAL_SURFACE	0.03860493085714286	-0.09459192828571429	0.13319685914285714	590	0.0653990281381923
HALLMARK_APOPTOSIS	0.11497584914285713	-0.01959942499159664	0.13457527413445378	531	0.22469176364817575
HALLMARK_BILE_ACID_METABOLISM	-0.031510741	-0.07437949565546219	0.042868754655462186	457	0.670095942213492
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.16366531242857144	0.015535652159663864	0.14812966026890756	529	0.23292979212346004
HALLMARK_COAGULATION	0.12368854728571428	-0.03931663835294118	0.16300518563865546	539	0.19382390225089774
HALLMARK_COMPLEMENT	0.06740955771428571	-0.03973404447058824	0.10714360218487395	497	0.394195958209361
HALLMARK_DNA_REPAIR	0.16746665814285713	0.10845713088235294	0.059009527260504194	456	0.6778740452496537
HALLMARK_E2F_TARGETS	0.31382039	0.24782697474789916	0.06599341525210084	446	0.757426622823806
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.1495763322857143	-0.04007855218487395	0.18965488447058826	528	0.23712820392883852
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.02353547628571429	-0.061234932722689074	0.08477040900840337	506	0.3431873155217533
HALLMARK_ESTROGEN_RESPONSE_LATE	0.04816334328571429	-0.06749083057142857	0.11565417385714286	537	0.20123214647464419
HALLMARK_FATTY_ACID_METABOLISM	-0.006893189285714286	0.007038701831932773	-0.013931891117647059	363	0.5724331917265295
HALLMARK_G2M_CHECKPOINT	0.30053247285714285	0.2504349726806723	0.05009750017647058	433	0.8646904334967629
HALLMARK_GLYCOLYSIS	0.15031844957142856	0.043730388705882355	0.1065880608655462	514	0.3015619625716743
HALLMARK_HEDGEHOG_SIGNALING	-0.020453515285714284	-0.03482016185714286	0.014366646571428575	444	0.7736827811927027
HALLMARK_HEME_METABOLISM	0.04647139842857143	-0.006342953268907563	0.052814351697478994	441	0.7982521490580127
