hallmark	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_ADIPOGENESIS	-0.14813176744444442	-0.010468297642857144	-0.13766346980158728	134	0.18126112593271368
HALLMARK_ALLOGRAFT_REJECTION	-0.11771174355555555	-0.11422828104761905	-0.003483462507936505	170	0.6529704709642978
HALLMARK_ANDROGEN_RESPONSE	-0.11372523533333334	-0.027562269166666667	-0.08616296616666667	162	0.519010807683833
HALLMARK_ANGIOGENESIS	-0.12887612944444446	-0.10448020373809523	-0.024395925706349228	175	0.7429594137498735
HALLMARK_APICAL_JUNCTION	-0.08306716777777777	-0.05691275807142857	-0.026154409706349198	176	0.761418658409614
HALLMARK_APICAL_SURFACE	-0.07264339555555556	-0.11349223716666666	0.0408488416111111	199	0.8175491421845623
HALLMARK_APOPTOSIS	-0.13430975822222221	-0.05617053826190477	-0.07813921996031745	158	0.45760749582468085
HALLMARK_BILE_ACID_METABOLISM	-0.17246234222222223	-0.038318286714285714	-0.1341440555079365	112	0.05783650912767059
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.09755207611111111	-0.011355566333333334	-0.08619650977777778	159	0.47257854309403835
HALLMARK_COAGULATION	-0.090519132	-0.0876072323095238	-0.0029118996904761996	183	0.8937702310546779
HALLMARK_COMPLEMENT	-0.07006158622222222	-0.06481432202380953	-0.0052472641984126905	183	0.8937702310546779
HALLMARK_DNA_REPAIR	-0.10024299099999999	0.11923872240476191	-0.2194817134047619	114	0.06501122739747613
HALLMARK_E2F_TARGETS	0.0577381398888889	0.2419533379047619	-0.184215198015873	141	0.24515753683214023
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.16993231744444445	-0.12088593885714286	-0.0490463785873016	168	0.6182151599259688
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.09578425066666667	-0.08427008809523809	-0.01151416257142858	182	0.8745982292054924
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.11525967088888887	-0.08602868726190477	-0.029230983626984106	174	0.7246418711740759
HALLMARK_FATTY_ACID_METABOLISM	-0.12346530577777778	0.017107657142857145	-0.14057296292063493	129	0.1435862067220021
HALLMARK_G2M_CHECKPOINT	0.0669471598888889	0.23353199454761905	-0.16658483465873014	150	0.3475148066239813
HALLMARK_GLYCOLYSIS	-0.044739307	0.03282275157142857	-0.07756205857142856	159	0.47257854309403835
