pathway	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
KEGG_ABC_TRANSPORTERS	-0.2780548662380952	-0.2796833787272727	0.0016285124891775027	2317	0.9786334173038305
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.11043604592857142	-0.09636563475454546	-0.014070411174025965	2158	0.5324750727141503
KEGG_ADHERENS_JUNCTION	-0.043257312547619046	-0.018269643190909093	-0.024987669356709954	2144	0.4952913883933543
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	-0.25610491376190475	-0.24217557805454545	-0.013929335707359297	2143	0.4926895124607352
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.15200736878571428	0.12727270387272727	0.02473466491298701	2530	0.36577501815286967
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.011696709023809525	-0.010716615963636364	0.022413324987445887	2444	0.5822740793283618
KEGG_ALLOGRAFT_REJECTION	-0.7918876045	-0.7939169794545454	0.002029374954545471	2229	0.7401250432192915
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.04115909361904762	-0.05786831645454545	0.016709222835497833	2448	0.5710217081235165
KEGG_ALZHEIMERS_DISEASE	-0.16479166133333334	-0.12307242868181818	-0.041719232651515156	2054	0.29245645204940524
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.08460645030952381	0.10931282793636364	-0.02470637762683983	2188	0.6166372464852874
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-0.18516959114285714	-0.19490657554545454	0.009736984402597404	2331	0.9326850839008335
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	-0.20391616666666668	-0.1893151975	-0.014600969166666672	2186	0.610848543739928
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	-0.8375298688571429	-0.8407489013727273	0.003219032515584419	2380	0.7745993692436275
KEGG_APOPTOSIS	-0.17249052871428572	-0.16930310362727272	-0.0031874250870130016	2272	0.8772053152507477
KEGG_ARACHIDONIC_ACID_METABOLISM	-0.07153156335714286	-0.08830668097272727	0.01677511761558441	2369	0.8095239797718041
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.08627788173809524	0.0919246074090909	-0.005646725670995667	2309	0.9983562213888937
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.02798712769047619	0.04513403478181818	-0.017146907091341992	2235	0.7588694861584022
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.017809636095238095	0.04438526351818182	-0.026575627422943723	2187	0.6137398854091436
KEGG_ASTHMA	-0.7609682023571429	-0.7735596398818182	0.012591437524675286	2545	0.3339336722337589
KEGG_AUTOIMMUNE_THYROID_DISEASE	-0.7247379827619048	-0.7303003616727273	0.005562378910822452	2378	0.7809177271904129
KEGG_AXON_GUIDANCE	0.07168162988095238	0.0527560746	0.018925555280952376	2420	0.6518614358582764
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.23647894340476192	-0.24031421256363636	0.0038352691588744436	2373	0.7967761788182867
KEGG_BASAL_CELL_CARCINOMA	0.059980448857142855	0.07653433651818183	-0.01655388766103897	2189	0.6195405902088851
KEGG_BASAL_TRANSCRIPTION_FACTORS	-0.20279198707142856	-0.1980399931090909	-0.004751993962337664	2244	0.7872505828818951
KEGG_BASE_EXCISION_REPAIR	-0.02677986095238095	-0.0202167925	-0.0065630684523809504	2282	0.9097851988319584
KEGG_BETA_ALANINE_METABOLISM	0.12119626988095239	0.10053603638181818	0.020660233499134206	2447	0.573825077671122
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.054675636714285714	0.09336003474545455	-0.03868439803116884	2105	0.39944630357698374
KEGG_BLADDER_CANCER	0.019191585452380953	0.0039055057909090905	0.015286079661471863	2453	0.5571035454545064
KEGG_BUTANOATE_METABOLISM	0.05450790780952381	0.05761109518181818	-0.0031031873722943693	2317	0.9786334173038305
KEGG_CALCIUM_SIGNALING_PATHWAY	7.262245238095297e-5	0.018867524681818182	-0.01879490222943723	2171	0.5682248750382803
KEGG_CARDIAC_MUSCLE_CONTRACTION	-0.07282726654761905	-0.020350790654545453	-0.052476475893073596	1952	0.14074475672962714
KEGG_CELL_ADHESION_MOLECULES_CAMS	-0.5203540289523809	-0.5225025723454545	0.0021485433930735764	2337	0.9130524748230013
KEGG_CELL_CYCLE	0.016305318380952387	-0.0182587429	0.034564061280952386	2460	0.5379000925989132
KEGG_CHEMOKINE_SIGNALING_PATHWAY	-0.17576211328571428	-0.20581278706363637	0.030050673777922088	2560	0.3039375777459227
KEGG_CHRONIC_MYELOID_LEUKEMIA	-0.01679586330952381	-0.015956124763636365	-8.39738545887446e-4	2344	0.8902154807248941
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.13569206035714285	0.17106072485454546	-0.03536866449740261	2147	0.5031408456717685
KEGG_CITRATE_CYCLE_TCA_CYCLE	-0.003927665571428568	0.08103769222727272	-0.08496535779870129	1962	0.15219538823091305
KEGG_COLORECTAL_CANCER	-0.011405738952380954	0.01609085440909091	-0.027496593361471863	2139	0.482355682625733
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	-0.2662116358095238	-0.2839560043	0.017744368490476226	2457	0.5460893158215399
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	-0.022536359166666665	-0.01066348698181818	-0.011872872184848485	2266	0.8577531816042441
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	-0.17735777764285715	-0.21119134056363636	0.033833562920779214	2464	0.5270778878851234
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	-0.13728804664285715	-0.18801776712727272	0.05072972048441557	2615	0.2096076565182056
KEGG_DILATED_CARDIOMYOPATHY	-0.08539261026190476	-0.06618127213636364	-0.019211338125541114	2168	0.5598739143709239
KEGG_DNA_REPLICATION	-0.024476149095238098	-0.07176285884545454	0.04728670975021644	2438	0.5993440964763703
KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.1577807598095238	-0.19029946705454545	0.03251870724502165	2562	0.3000777220666971
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	-0.15266369757142859	-0.13260828213636364	-0.02005541543506495	2190	0.6224498795412132
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	-0.12980428204761904	-0.10482657442727272	-0.024977707620346318	2207	0.6727802607482133
KEGG_ECM_RECEPTOR_INTERACTION	-0.16254010457142856	-0.13462980254545454	-0.027910302025974026	2139	0.482355682625733
KEGG_ENDOCYTOSIS	-0.2860122585714286	-0.26858240256363636	-0.017429856007792233	2135	0.4721408101269589
KEGG_ENDOMETRIAL_CANCER	0.013178003357142856	0.02681367229090909	-0.013635668933766233	2213	0.6909152707764228
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	-0.07699726447619047	-0.10076930397272728	0.023772039496536806	2448	0.5710217081235165
KEGG_ERBB_SIGNALING_PATHWAY	0.046190196452380955	0.031152578327272726	0.015037618125108228	2400	0.7122985229284281
KEGG_ETHER_LIPID_METABOLISM	3.621177142857136e-4	-0.0055358538	0.005897971514285713	2330	0.9359614973378443
KEGG_FATTY_ACID_METABOLISM	0.028923845999999996	0.05734662909090909	-0.028422783090909093	2161	0.540622970023648
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	-0.2337933866904762	-0.23336488614545453	-4.28500545021665e-4	2362	0.8319527540454451
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	-0.012509116738095237	-0.029075361827272727	0.016566245089177492	2394	0.7308095898575953
KEGG_FOCAL_ADHESION	-0.007986366619047619	-0.006844886072727273	-0.001141480546320346	2294	0.9490774463621294
KEGG_FOLATE_BIOSYNTHESIS	0.05253500861904762	0.07001811736363636	-0.017483108744588742	2216	0.7000505394879902
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.09960616597619047	0.11305874554545454	-0.013452579569264073	2247	0.7967761788182867
