pathway	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
KEGG_ABC_TRANSPORTERS	-0.2620196521443631	-0.2813594357361288	0.01933978359176569	463	0.6241913684793863
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.007804758489596684	-0.09163864579651254	0.08383388730691586	482	0.4887636758368997
KEGG_ADHERENS_JUNCTION	-0.026847147113212583	-0.0188510914883434	-0.007996055624869183	386	0.7493381019812223
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	-0.20597219265316422	-0.24417346579444069	0.03820127314127647	483	0.4821012719768987
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.15734050089318075	0.1289904360016906	0.02835006489149014	484	0.4754885592242211
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.08762789339559975	-0.013765943766814769	0.10139383716241451	535	0.20884483138337664
KEGG_ALLOGRAFT_REJECTION	-0.8061837076766626	-0.793830800708347	-0.012352906968315591	312	0.2680162521913312
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.08901866214044102	-0.06021874748368717	0.14923740962412818	578	0.08639735383248222
KEGG_ALZHEIMERS_DISEASE	-0.056615697281060896	-0.1249376036255078	0.0683219063444469	473	0.5508927654674927
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.21290740415528536	0.10983365266516308	0.10307375149012228	503	0.3597009235463442
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-0.16080848145107632	-0.1911438843764829	0.030335402925406568	417	1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	-0.12944315094542977	-0.19143716679099756	0.061994015845567796	515	0.29660568689002975
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	-0.8168620320320704	-0.8408404130372276	0.023978381005157146	602	0.048801071403982564
KEGG_APOPTOSIS	-0.08492019752150697	-0.1678288203067895	0.08290862278528253	496	0.40013381809847215
KEGG_ARACHIDONIC_ACID_METABOLISM	0.04174864324698522	-0.0931963913550559	0.13494503460204113	574	0.09450182080020879
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.17176842244760893	0.09122689864036856	0.08054152380724036	536	0.20501279996152047
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.1067044544006212	0.042469783250743666	0.06423467114987752	481	0.49547538285416937
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.039562890714744954	0.04034073958420678	-7.778488694618266e-4	406	0.9151824152159612
KEGG_ASTHMA	-0.7760683109785745	-0.7732895293032576	-0.002778781675316977	413	0.9745109476501266
KEGG_AUTOIMMUNE_THYROID_DISEASE	-0.7493777567213995	-0.7309396529264465	-0.01843810379495303	331	0.36531457206258267
KEGG_AXON_GUIDANCE	0.06455535978580945	0.057172286696256694	0.007383073089552758	410	0.9490479010950548
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.15511218697567972	-0.23820031444187265	0.08308812746619293	501	0.3709826066744047
KEGG_BASAL_CELL_CARCINOMA	0.12852310336693215	0.07085872754187823	0.05766437582505392	481	0.49547538285416937
KEGG_BASAL_TRANSCRIPTION_FACTORS	-0.20761824604680992	-0.1931468545444406	-0.014471391502369313	393	0.806487872972437
KEGG_BASE_EXCISION_REPAIR	0.013815065937862855	-0.006515741234501364	0.02033080717236422	429	0.8983033715223604
KEGG_BETA_ALANINE_METABOLISM	0.12294323092058425	0.10753524029649064	0.015407990624093607	435	0.8479714472630488
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.27978843179336704	0.09018143241058832	0.18960699938277872	564	0.11743993905016889
KEGG_BLADDER_CANCER	0.09429683464284866	0.01041354597884447	0.08388328866400419	497	0.394195958209361
KEGG_BUTANOATE_METABOLISM	0.14196699123104053	0.05644419601942643	0.0855227952116141	508	0.33245181371576316
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.020846761136917587	0.012719243941534635	-0.03356600507845222	359	0.5438022822067747
KEGG_CARDIAC_MUSCLE_CONTRACTION	-0.018013964018800847	-0.026910291903241245	0.008896327884440398	412	0.9660190932250391
KEGG_CELL_ADHESION_MOLECULES_CAMS	-0.5221751398043936	-0.5232832177750412	0.001108077970647603	415	0.9915023642150373
KEGG_CELL_CYCLE	0.023744833709773715	8.089234946160275e-4	0.022935910215157687	424	0.9405704828671302
KEGG_CHEMOKINE_SIGNALING_PATHWAY	-0.12081625670934062	-0.20171724690979526	0.08090099020045463	529	0.23292979212346004
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.06274557950432243	-0.006070352488558041	0.06881593199288047	464	0.6166743467376304
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.2201083864678688	0.15890324599493436	0.06120514047293443	479	0.5090450841111636
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.06710548901133043	0.0795696900924228	-0.012464201081092377	395	0.8230229805108369
KEGG_COLORECTAL_CANCER	0.06220695484198402	0.02055995644544901	0.04164699839653501	423	0.9490479010950548
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	-0.2253587832560981	-0.2838314694949291	0.058472686238831006	496	0.40013381809847215
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	-0.012123515657010834	-0.007260608095681621	-0.004862907561329214	403	0.8898805873790181
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	-0.09793632683880565	-0.21016632303708802	0.11222999619828236	516	0.2917042008353326
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	-0.15394403279026103	-0.18556155237113695	0.031617519580875914	434	0.8563228805262907
KEGG_DILATED_CARDIOMYOPATHY	-0.06664940037918236	-0.06837668700319502	0.0017272866240126555	422	0.9575310908545124
KEGG_DNA_REPLICATION	-0.012236614154724823	-0.04514549787406867	0.03290888371934385	454	0.6935329685445561
KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.14401777080457112	-0.18627283903043662	0.0422550682258655	471	0.5652087535490442
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	-0.10654140083582331	-0.13790963487373853	0.03136823403791522	474	0.5438022822067747
