pathway	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
KEGG_ABC_TRANSPORTERS	-0.32820247736178826	-0.2810931384597904	-0.047109338901997866	129	0.46113704002913347
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.17960709803274785	-0.10241346254803818	-0.07719363548470967	125	0.3990670672310767
KEGG_ADHERENS_JUNCTION	-0.131987396375675	-0.05962118165763799	-0.072366214718037	144	0.7330251263673478
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	-0.26735392704058913	-0.25568643410284003	-0.011667492937749102	150	0.8543589334972588
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.0953467260324902	0.1357211882372921	-0.0403744622048019	158	0.9999999999999998
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	-0.002567586414568893	0.035059536871238146	-0.037627123285807036	137	0.5993125215645214
KEGG_ALLOGRAFT_REJECTION	-0.8104998934012255	-0.791563462391404	-0.018936431009821564	105	0.1667988891991722
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.1034354214810065	-0.0489819683543467	-0.0544534531266598	134	0.545450297104539
KEGG_ALZHEIMERS_DISEASE	-0.28586995695557654	-0.13625239967690486	-0.14961755727867168	93	0.08635971146446197
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.010787586793121464	0.1046801217442146	-0.09389253495109313	139	0.6364494527619631
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-0.25877374583150325	-0.24612080475496295	-0.012652941076540303	149	0.8338249496055451
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	-0.23816540860800184	-0.17665083505472975	-0.061514573553272084	133	0.5280220079207946
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	-0.8424319053669441	-0.8398118539868382	-0.0026200513801059033	151	0.8749875770417754
KEGG_APOPTOSIS	-0.263815262672702	-0.18668795030286067	-0.07712731236984133	102	0.14294698880050138
KEGG_ARACHIDONIC_ACID_METABOLISM	-0.1304617130820128	-0.07890064952253312	-0.051561063559479675	138	0.6177642472345091
KEGG_ARGININE_AND_PROLINE_METABOLISM	-0.015524938565276966	0.1373532289115199	-0.1528781674767969	104	0.15855158472696704
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	-0.054044934737038565	0.028712307575658045	-0.08275724231269661	117	0.2903955733008354
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.02602358251413188	9.765549703945174e-4	0.025047027543737364	161	0.9373091035318278
KEGG_ASTHMA	-0.7738314475228797	-0.7674094052229059	-0.006422042299973785	142	0.6938073720913686
KEGG_AUTOIMMUNE_THYROID_DISEASE	-0.7462951992816221	-0.7224925724989796	-0.023802626782642555	111	0.22278294296441986
KEGG_AXON_GUIDANCE	0.03887233125328219	0.03533914906595414	0.0035331821873280517	160	0.958183186460381
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.30004823832886074	-0.23966316187375397	-0.06038507645510677	117	0.2903955733008354
KEGG_BASAL_CELL_CARCINOMA	-0.019456021714615468	0.056072365790881706	-0.07552838750549717	119	0.3155834126150283
KEGG_BASAL_TRANSCRIPTION_FACTORS	-0.2562720388886363	-0.22579658081471685	-0.030475458073919465	141	0.674481360180876
KEGG_BASE_EXCISION_REPAIR	-0.1656849640892509	0.006211070665967309	-0.17189603475521822	112	0.2332300229563113
KEGG_BETA_ALANINE_METABOLISM	0.011084928252906353	0.14368001149683327	-0.1325950832439269	95	0.09712778514949709
