hallmark	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_ADIPOGENESIS	-0.09922497543333333	-0.05840338615277778	-0.040821589280555556	799.5	0.3920005604712545
HALLMARK_ALLOGRAFT_REJECTION	-0.10824497431666666	-0.138930791525	0.030685817208333355	933.5	0.7775767521338315
HALLMARK_ANDROGEN_RESPONSE	-0.059229621850000004	-0.029537403769444446	-0.029692218080555558	825.5	0.5264487798007467
HALLMARK_ANGIOGENESIS	-0.17014577708333334	-0.12121158158055556	-0.04893419550277778	825.5	0.5264487798007467
HALLMARK_APICAL_JUNCTION	-0.0897380627	-0.06652097633055555	-0.023217086369444445	836.5	0.5896958521206355
HALLMARK_APICAL_SURFACE	-0.14318148368333333	-0.14876224990833334	0.005580766225000006	916.5	0.8910630483330163
HALLMARK_APOPTOSIS	-0.10106332821666666	-0.08438583452777779	-0.016677493688888878	865.5	0.7710220347863945
HALLMARK_BILE_ACID_METABOLISM	-0.12189915536666666	-0.08717930864166666	-0.034719846725	788.5	0.3420337951937613
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.07842718563333334	-0.025966801358333336	-0.05246038427500001	771.5	0.2732216554649136
HALLMARK_COAGULATION	-0.11597164103333334	-0.10446350363055555	-0.011508137402777785	874.5	0.8305480373724019
HALLMARK_COMPLEMENT	-0.07805308136666667	-0.08881191816111111	0.010758836794444449	920.5	0.8640672981392591
HALLMARK_DNA_REPAIR	0.10971014691666667	0.09955345573611112	0.010156691180555552	938.5	0.7449706120837387
HALLMARK_E2F_TARGETS	0.38507215315	0.32826114135833334	0.056811011791666644	1032.5	0.2585127324520213
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.17286960183333333	-0.12825131004444446	-0.044618291788888875	825.5	0.5264487798007467
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.13743745398333332	-0.11805834785277777	-0.019379106130555546	843.5	0.6316845472027659
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.12300059195	-0.12781336830833334	0.00481277635833334	891.5	0.9454038605597826
HALLMARK_FATTY_ACID_METABOLISM	-0.04861590231666667	0.001103934005555554	-0.049719836322222224	776.5	0.29239882817087376
HALLMARK_G2M_CHECKPOINT	0.36495056503333334	0.3292724382527778	0.03567812678055554	1007.5	0.3597116778929343
HALLMARK_GLYCOLYSIS	-0.0291389363	-0.006570178961111111	-0.02256875733888889	828.5	0.5433490302300568
HALLMARK_HEDGEHOG_SIGNALING	-0.04607021315	-0.08307638459444444	0.037006171444444444	998.5	0.4015394172496105
HALLMARK_HEME_METABOLISM	-0.0377278229	-0.01484080383611111	-0.02288701906388889	808.5	0.43600597312064515
HALLMARK_HYPOXIA	-0.10250860531666667	-0.0674352504111111	-0.03507335490555556	839.5	0.6075337891191241
HALLMARK_IL2_STAT5_SIGNALING	-0.09533250886666667	-0.08856095184166667	-0.0067715570249999996	884.5	0.8978330279547836
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.0775807152	-0.09875158176388889	0.02117086656388889	909.5	0.9385920840813016
HALLMARK_INFLAMMATORY_RESPONSE	-0.10580885598333334	-0.12144520925833334	0.015636353275	898.5	0.9931702316814236
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.0010805077999999969	-0.019175712630555557	0.01809520483055556	936.5	0.7579619648900989
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.042533393466666666	-0.06465819434722221	0.022124800880555545	933.5	0.7775767521338315
HALLMARK_KRAS_SIGNALING_DN	-0.12445384106666667	-0.11749576734166667	-0.006958073725	842.5	0.6256085375458682
HALLMARK_KRAS_SIGNALING_UP	-0.06606315025	-0.08722068734999999	0.0211575371	925.5	0.8305480373724019
HALLMARK_MITOTIC_SPINDLE	0.23195341415	0.22092216461666667	0.011031249533333343	959.5	0.6135328251530183
HALLMARK_MTORC1_SIGNALING	0.04979190853333333	0.07097268614444445	-0.021180777611111118	862.5	0.7514574833600152
HALLMARK_MYC_TARGETS_V1	0.24944126056666668	0.19993007725555556	0.04951118331111112	982.5	0.4827316267275961
HALLMARK_MYC_TARGETS_V2	0.23966150583333334	0.21740935481944446	0.022252151013888888	972.5	0.5376857301579482
HALLMARK_MYOGENESIS	-0.170023932	-0.1437594403361111	-0.02626449166388889	829.5	0.5490418694430361
HALLMARK_NOTCH_SIGNALING	0.07665036473333334	0.14413762259444443	-0.0674872578611111	738.5	0.16815639276130678
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.03867634116666667	-0.00949776997777778	-0.02917857118888889	845.5	0.6439111681708714
HALLMARK_P53_PATHWAY	-0.12988541683333332	-0.12471950515277778	-0.005165911680555538	893.5	0.9590388984359325
HALLMARK_PANCREAS_BETA_CELLS	0.020592235183333335	-0.01121849038611111	0.03181072556944445	990.5	0.4410653367820326
HALLMARK_PEROXISOME	-0.028016824649999997	-0.014153189283333334	-0.013863635366666663	852.5	0.6874502763514055
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.03685776901666667	0.032139591408333334	0.004718177608333332	907.5	0.9522196311245654
HALLMARK_PROTEIN_SECRETION	0.07085640846666667	0.09220924818888888	-0.02135283972222221	898.5	0.9931702316814236
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	-0.090963889	-0.09606915710833333	0.0051052681083333246	891.5	0.9454038605597826
HALLMARK_SPERMATOGENESIS	0.048508090266666665	0.03582338091388889	0.012684709352777775	971.5	0.5433490302300568
HALLMARK_TGF_BETA_SIGNALING	-0.010865679133333332	-0.023891016094444446	0.013025336961111115	912.5	0.9181856787614785
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.11662480066666667	-0.08860329515277778	-0.028021505513888892	846.5	0.6500610821970478
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.09202514678333333	0.09686428434166666	-0.004839137558333331	918.5	0.8775473712081845
HALLMARK_UV_RESPONSE_DN	-0.07644402278333333	-0.028496751983333332	-0.0479472708	754.5	0.21453456732797374
HALLMARK_UV_RESPONSE_UP	-0.0253424137	-0.02890618158888889	0.0035637678888888885	878.5	0.8573418163087865
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.06747174346666666	0.06161856351111111	0.005853179955555551	918.5	0.8775473712081845
HALLMARK_XENOBIOTIC_METABOLISM	-0.10786057435	-0.07517126588055556	-0.03268930846944444	814.5	0.4668610974526965
