hallmark	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_ADIPOGENESIS	0.10801151266666667	-0.05840338615277778	0.16641489881944443	112	0.4877389553604559
HALLMARK_ALLOGRAFT_REJECTION	-0.10550671099999999	-0.138930791525	0.033424080525000024	93	0.9356907538861277
HALLMARK_ANDROGEN_RESPONSE	0.14023865366666666	-0.029537403769444446	0.1697760574361111	118	0.3747781865384822
HALLMARK_ANGIOGENESIS	-0.08712513366666667	-0.12121158158055556	0.03408644791388889	96	0.8591064470745601
HALLMARK_APICAL_JUNCTION	0.05413199566666666	-0.06652097633055555	0.12065297199722222	114	0.44817610605960234
HALLMARK_APICAL_SURFACE	0.017090987999999998	-0.14876224990833334	0.16585323790833334	139	0.11750537210881204
HALLMARK_APOPTOSIS	0.03010969433333333	-0.08438583452777779	0.11449552886111111	100	0.7591393416789014
HALLMARK_BILE_ACID_METABOLISM	-0.09083650900000001	-0.08717930864166666	-0.0036572003583333484	75	0.6397949678180914
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.29503342466666665	-0.025966801358333336	0.321000226025	142	0.09648162941530464
HALLMARK_COAGULATION	-0.04893202333333333	-0.10446350363055555	0.05553148029722222	98	0.8087325413771576
HALLMARK_COMPLEMENT	-0.039012357666666685	-0.08881191816111111	0.04979956049444443	95	0.8845238521612898
HALLMARK_DNA_REPAIR	0.382177925	0.09955345573611112	0.28262446926388884	139	0.11750537210881204
HALLMARK_E2F_TARGETS	0.5847866013333334	0.32826114135833334	0.25652545997500004	136	0.14196677731188245
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.022599850666666674	-0.12825131004444446	0.15085116071111113	108	0.5722029560184593
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.018033435000000004	-0.11805834785277777	0.1360917828527778	117	0.3923940413783893
HALLMARK_ESTROGEN_RESPONSE_LATE	0.011628861333333337	-0.12781336830833334	0.1394422296416667	105	0.6397949678180914
HALLMARK_FATTY_ACID_METABOLISM	0.07684008366666667	0.001103934005555554	0.07573614966111111	90	1
HALLMARK_G2M_CHECKPOINT	0.5723784829999999	0.3292724382527778	0.24310604474722214	145	0.0785809164517666
HALLMARK_GLYCOLYSIS	0.2061840093333333	-0.006570178961111111	0.21275418829444442	124	0.2796046665516757
HALLMARK_HEDGEHOG_SIGNALING	0.099652005333333335	-0.08307638459444444	0.1827283899277778	145	0.0785809164517666
HALLMARK_HEME_METABOLISM	0.12643976733333334	-0.01484080383611111	0.14128057116944445	115	0.4290991727954929
HALLMARK_HYPOXIA	0.08024342933333332	-0.0674352504111111	0.14767867974444443	113	0.4677257478699672
HALLMARK_IL2_STAT5_SIGNALING	-0.038637891	-0.08856095184166667	0.049923060841666665	90	1
