signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	NA	0.1020237968503494	NA	NA	NA
SBS2	NA	0	NA	NA	NA
SBS3	NA	0.24961529626577517	NA	NA	NA
SBS5	NA	0.17753227672595895	NA	NA	NA
SBS6	NA	0.015523773391949072	NA	NA	NA
SBS9	NA	0.0062148819149790025	NA	NA	NA
SBS10a	NA	0	NA	NA	NA
SBS10b	NA	0.0013985430380267724	NA	NA	NA
SBS10c	NA	0.003840980089825754	NA	NA	NA
SBS10d	NA	0	NA	NA	NA
SBS11	NA	0.002997339894494939	NA	NA	NA
SBS13	NA	0.007209052443514756	NA	NA	NA
SBS14	NA	0.0013145173045135225	NA	NA	NA
SBS15	NA	0.02458066721922994	NA	NA	NA
SBS18	NA	0.09054512624178576	NA	NA	NA
SBS20	NA	0.0018576421982931224	NA	NA	NA
SBS21	NA	0.006488897466180714	NA	NA	NA
SBS25	NA	0.013732951885085616	NA	NA	NA
SBS26	NA	0.008938029519297126	NA	NA	NA
SBS30	NA	0.007520574540333294	NA	NA	NA
SBS31	NA	0.0035349856799855527	NA	NA	NA
SBS32	NA	0.007118321644822257	NA	NA	NA
SBS35	NA	0.009625286670325714	NA	NA	NA
SBS36	NA	0.0035097566530780198	NA	NA	NA
SBS39	NA	0.0023044410446489763	NA	NA	NA
SBS44	NA	0	NA	NA	NA
SBS84	NA	0.0025200192898974546	NA	NA	NA
SBS85	NA	0.07850764524264842	NA	NA	NA
SBS86	NA	0.0014587181564173213	NA	NA	NA
SBS87	NA	0.03142423717887039	NA	NA	NA
SBS90	NA	0.0019768643322653104	NA	NA	NA
