signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.10708238864119857	0.10181302219239735	0.005269366448801216	53	0.8233534912339745
SBS2	0	0	0	48	NA
SBS3	0.3277896555326345	0.2463580312963227	0.08143162423631181	60	0.566451706242014
SBS5	0.22141307122206166	0.1757039102886213	0.04570916093344035	70	0.2864947823627236
SBS6	0	0.016170597283280276	-0.016170597283280276	43	0.6687234409817584
SBS9	0	0.006473835328103126	-0.006473835328103126	45	0.7636732720886941
SBS10a	0	0	0	48	NA
SBS10b	0	0.001456815664611221	-0.001456815664611221	47	0.9187074054282888
SBS10c	0	0.004001020926901825	-0.004001020926901825	46	0.8268802890672855
SBS10d	0	0	0	48	NA
SBS11	0	0.0031222290567655617	-0.0031222290567655617	46	0.8268802890672855
SBS13	0	0.007509429628661205	-0.007509429628661205	43	0.6687234409817584
SBS14	0	0.001369288858868253	-0.001369288858868253	47	0.9187074054282888
SBS15	0	0.02560486168669786	-0.02560486168669786	40	0.5607468500595363
SBS18	0.14866492025269934	0.0881234681579977	0.060541452094701645	65	0.40987947793222773
SBS20	0	0.0019350439565553365	-0.0019350439565553365	47	0.9187074054282888
SBS21	0	0.006759268193938243	-0.006759268193938243	45	0.7636732720886941
SBS25	0	0.014305158213630847	-0.014305158213630847	41	0.5937911246065841
SBS26	0	0.009310447415934503	-0.009310447415934503	44	0.7126632811507042
SBS30	0	0.00783393181284718	-0.00783393181284718	45	0.7636732720886941
SBS31	0	0.0036822767499849556	-0.0036822767499849556	47	0.9187074054282888
SBS32	0	0.007414918380023185	-0.007414918380023185	44	0.7126632811507042
SBS35	0	0.010026340281589281	-0.010026340281589281	43	0.6687234409817584
SBS36	0	0.0036559965136229357	-0.0036559965136229357	47	0.9187074054282888
SBS39	0	0.0024004594215093506	-0.0024004594215093506	47	0.9187074054282888
SBS44	0	0	0	48	NA
SBS84	0	0.002625020093643179	-0.002625020093643179	47	0.9187074054282888
SBS85	0.0853339482807022	0.07822321594939617	0.007110732331306033	45	0.90081870585791
SBS86	0	0.001519498079601377	-0.001519498079601377	47	0.9187074054282888
SBS87	0	0.03273358039465665	-0.03273358039465665	42	0.6295239115517219
SBS90	0	0.0020592336794430306	-0.0020592336794430306	47	0.9187074054282888
