signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.270687262892651	0.09499615243192017	0.17569111046073083	89	0.044526015955367704
SBS2	0	0	0	48	NA
SBS3	0.1001930612562208	0.2558412227245066	-0.1556481614682858	25.5	0.2727641493395206
SBS5	0.10389615153575704	0.18060044860888402	-0.07670429707312698	34	0.503335997358069
SBS6	0.11629439027096836	0.011324997688656602	0.10496939258231175	70	0.04091263568514139
SBS9	0	0.0064738353281031304	-0.0064738353281031304	45	0.7636732720886941
SBS10a	0	0	0	48	NA
SBS10b	0	0.001456815664611221	-0.001456815664611221	47	0.9187074054282888
SBS10c	0	0.004001020926901826	-0.004001020926901826	46	0.8268802890672855
SBS10d	0	0	0	48	NA
SBS11	0	0.0031222290567655612	-0.0031222290567655612	46	0.8268802890672855
SBS13	0	0.007509429628661205	-0.007509429628661205	43	0.6687234409817584
SBS14	0	0.001369288858868252	-0.001369288858868252	47	0.9187074054282888
SBS15	0	0.025604861686697854	-0.025604861686697854	40	0.5607468500595363
SBS18	0.08788023194643761	0.09065616350409193	-0.002775931557654321	50	0.9402793948966661
SBS20	0.04644105495732808	0	0.04644105495732808	72	1.6112599376283237e-6
SBS21	0	0.006759268193938241	-0.006759268193938241	45	0.7636732720886941
SBS25	0	0.014305158213630847	-0.014305158213630847	41	0.5937911246065841
SBS26	0.04988103303619206	0.0072320710394265025	0.04264896199676556	69.5	0.027126717724448992
SBS30	0	0.00783393181284718	-0.00783393181284718	45	0.7636732720886941
SBS31	0	0.003682276749984953	-0.003682276749984953	47	0.9187074054282888
SBS32	0	0.007414918380023184	-0.007414918380023184	44	0.7126632811507042
SBS35	0	0.010026340281589283	-0.010026340281589283	43	0.6687234409817584
SBS36	0	0.003655996513622938	-0.003655996513622938	47	0.9187074054282888
SBS39	0	0.00240045942150935	-0.00240045942150935	47	0.9187074054282888
SBS44	0	0	0	48	NA
SBS84	0	0.0026250200936431805	-0.0026250200936431805	47	0.9187074054282888
SBS85	0.08558468312529496	0.07821276866420482	0.0073719144610901455	46	0.9403926902374902
SBS86	0	0.0015194980796013763	-0.0015194980796013763	47	0.9187074054282888
SBS87	0	0.03273358039465666	-0.03273358039465666	42	0.6295239115517219
SBS90	0	0.0020592336794430306	-0.0020592336794430306	47	0.9187074054282888
