signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.07475523490810393	0.12502354475112712	-0.05026830984302319	19	0.7930865084377813
SBS2	0	0.0020769005793931624	-0.0020769005793931624	22.5	1
SBS3	0.2945559828233713	0.18450877207225752	0.11004721075111379	34	0.42777629630708947
SBS5	0	0.18380910766158107	-0.18380910766158107	8.5	0.28810885621178
SBS6	0	0.021129811210070966	-0.021129811210070966	19.5	0.7210525558084618
SBS9	0	0.02073531792387572	-0.02073531792387572	19.5	0.7210525558084618
SBS10a	0	0	0	23	NA
SBS10b	0	0.001469110094736988	-0.001469110094736988	22.5	1
SBS10c	0	0	0	23	NA
SBS10d	0	0	0	23	NA
SBS11	0	0.0014378438035827217	-0.0014378438035827217	22.5	1
SBS13	0.06013901409684916	0.0041355103304913255	0.056003503766357834	44	3.6206608708974544e-4
SBS14	0	0.017692241139724264	-0.017692241139724264	21.5	0.8618925532635657
SBS15	0	0.05252233946017721	-0.05252233946017721	18	0.6429984881410618
SBS18	0.4007823431858372	0.03305798691588661	0.3677243562699506	46	0.04498465962458652
SBS20	0	0.005673858634628351	-0.005673858634628351	22.5	1
SBS21	0	0.02035850633407064	-0.02035850633407064	20	0.7506156425060682
SBS25	0	0.00983055568392929	-0.00983055568392929	21	0.8192844394004257
SBS26	0	0.03119949748602049	-0.03119949748602049	19	0.6935469524347847
SBS30	0	0.00921540607372106	-0.00921540607372106	21	0.8192844394004257
SBS31	0	0.01947287491700414	-0.01947287491700414	19.5	0.7210525558084618
SBS32	0	0.006145956260445021	-0.006145956260445021	21	0.8192844394004257
SBS35	0	0.003682824110834374	-0.003682824110834374	22	0.916070837986047
SBS36	0	0.001426751924703415	-0.001426751924703415	22.5	1
SBS39	0	0.013287266129454004	-0.013287266129454004	20.5	0.7829562508013942
SBS44	0	0	0	23	NA
SBS84	0	0.0068451216236475095	-0.0068451216236475095	22	0.916070837986047
SBS85	0	0.03684810534277147	-0.03684810534277147	14	0.47379643128153776
SBS86	0	0.0013458235460303218	-0.0013458235460303218	22.5	1
SBS87	0	0.026798503883345898	-0.026798503883345898	19	0.6935469524347847
SBS90	0	0.017169408668755506	-0.017169408668755506	22.5	1
