signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.12449517380281197	0.12387481099129462	6.203628115173526e-4	100	0.46589441288950567
SBS2	0	0.002330181137855744	-0.002330181137855744	120	0.7498870081372638
SBS3	0.1087270678274819	0.19828285588249575	-0.08955578805501385	71	0.09258542072483116
SBS5	0.030440544588302428	0.20177013865616866	-0.17132959406786624	51.5	0.0198275621551389
SBS6	0.08425980984821399	0.011375913574975133	0.07288389627323885	154	0.11648047816301436
SBS9	0.025630894135600185	0.019513152675236144	0.0061177414603640415	125.5	0.9180166233403435
SBS10a	0	0	0	123	NA
SBS10b	0	0.00164826986238784	-0.00164826986238784	120	0.7498870081372638
SBS10c	0	0	0	123	NA
SBS10d	0	0	0	123	NA
SBS11	0	0.0016131906088976882	-0.0016131906088976882	120	0.7498870081372638
SBS13	0	0.006106646080474393	-0.006106646080474393	114	0.5225427773704145
SBS14	0.08492479888061406	0.007421812174234916	0.07750298670637915	160	0.006036526325511067
SBS15	0.1799489627870472	0.03259350825477728	0.14735545453226992	170	0.03834485718936166
SBS18	0.020636882750128954	0.04384459621502066	-0.023207713464891706	104.5	0.48797030282101467
SBS20	0	0.006365792614461079	-0.006365792614461079	120	0.7498870081372638
SBS21	0.050150653096997976	0.015502131043542968	0.034648522053455005	151	0.13058347118198504
SBS25	0	0.011029403938067008	-0.011029403938067008	111	0.4487965621601912
SBS26	0.03347817058034347	0.03010506977743613	0.0033731008029073382	143	0.34244409269661874
SBS30	0.012010324100319084	0.00858162767778669	0.0034286964225323947	133	0.5315136036938544
SBS31	0	0.02184761576054123	-0.02184761576054123	102	0.2913992140558637
SBS32	0	0.0068954631214749006	-0.0068954631214749006	111	0.4487965621601912
SBS35	0	0.004131949002399542	-0.004131949002399542	117	0.6161742661378438
SBS36	0	0.0016007460618623673	-0.0016007460618623673	120	0.7498870081372638
SBS39	0	0.014907664437924004	-0.014907664437924004	108	0.38779801710990447
SBS44	0	0	0	123	NA
SBS84	0.022173879857967895	0.004434934525365317	0.017738945332602576	140	0.13262277474976147
SBS85	0.028128840782463714	0.0372253610017733	-0.009096520219309588	114	0.7567486248871987
SBS86	0	0.0015099483687169466	-0.0015099483687169466	120	0.7498870081372638
SBS87	0	0.030066614113022222	-0.030066614113022222	99	0.2525883887115134
SBS90	0	0.0192632389942135	-0.0192632389942135	120	0.7498870081372638
