signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.11065915528069326	0.13044902756987542	-0.019789872289182164	1306	0.2332534032399403
SBS2	0	0.0010056571226535313	-0.0010056571226535313	1504	0.5739497228707063
SBS3	0.23492015091177207	0.20735912837192927	0.0275610225398428	1610	0.61512428497526
SBS5	0.1886933114490955	0.16267369966616563	0.026019611782929886	1533.5	0.9417835206898773
SBS6	0.012245975117264406	0.016096774624734897	-0.003850799507470491	1431	0.3660298683404549
SBS9	0.014079682057022948	0.010344846599783113	0.003734835457239835	1580	0.5149813082083562
SBS10a	0	0	0	1520	NA
SBS10b	0	0.0022037820344185236	-0.0022037820344185236	1472	0.3160136151216561
SBS10c	0	0.0027464073330854192	-0.0027464073330854192	1472	0.3160136151216561
SBS10d	0	0	0	1520	NA
SBS11	0	0.008272040225889305	-0.008272040225889305	1440	0.1900965548200405
SBS13	0.004795894777645978	0.006519711623338657	-0.0017238168456926786	1486	0.6903831544126298
SBS14	0.015923399790115138	0.003894949098624293	0.012028450691490845	1583	0.2513346520851967
SBS15	0.022864135797656088	0.046681004552911035	-0.023816868755254947	1353	0.19621468058777292
SBS18	0.06859642156000395	0.06561340053825643	0.002983021021747523	1532	0.9464707318301
SBS20	0.0029243017899550274	0.0034218363762281373	-4.975345862731099e-4	1535.5	0.7515191479537223
SBS21	0.012168433501784428	0.009311995846998643	0.0028564376547857845	1566.5	0.5658102787959944
SBS25	0.0019693522826395135	0.01601429143439181	-0.014044939151752298	1402.5	0.18291463296804364
SBS26	0.011060823962577425	0.019970943765319892	-0.008910119802742467	1469.5	0.6203170391943367
SBS30	0.00977862278242696	0.013191505952207446	-0.003412883169780485	1573	0.5656289195152434
SBS31	0.012149459615272005	0.016537088306346186	-0.004387628691074182	1499.5	0.8327872989510888
SBS32	0.0041161810539488055	0.005961552342015523	-0.0018453712880667173	1501	0.8173602879783493
SBS35	0.00494680126958146	0.008657105337277014	-0.0037103040676955534	1486	0.6903831544126298
SBS36	0	0.0025380888401813693	-0.0025380888401813693	1488	0.4172750574000612
SBS44	0	0	0	1520	NA
SBS84	0.0080951326138337509	0.004781684779072194	0.0033134478347615565	1566	0.4533050421855522
SBS85	0.04381992365332901	0.05756073697448223	-0.01374081332115322	1278.5	0.15942495897474354
SBS86	0.006531889615778157	0.0032843975876477674	0.0032474920281303893	1552	0.6341922916620224
SBS87	0.03393586892194864	0.035901812710410354	-0.0019659437884617104	1466.5	0.6611484504306722
SBS90	0.02468102496133604	0.0010925517714583614	0.02358847318987768	1552	0.4172750574000612
