signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.12483355071532432	0.13044902756987542	-0.005615476854551105	263	0.756628023416211
SBS2	0	0.0010056571226535313	-0.0010056571226535313	282	0.8341149529029596
SBS3	0.3571218605870803	0.20735912837192927	0.14976273221515102	421	0.0495919944709452
SBS5	0.23339706971175372	0.16267369966616563	0.0707233700455881	376	0.18926432961724338
SBS6	0	0.016096774624734897	-0.016096774624734897	249	0.36409802617999937
SBS9	0.020707310497374908	0.010344846599783113	0.010362463897591795	308.5	0.5037343902912156
SBS10a	0	0	0	285	NA
SBS10b	0	0.0022037820344185236	-0.0022037820344185236	276	0.67798011061786
SBS10c	0	0.0027464073330854192	-0.0027464073330854192	276	0.67798011061786
SBS10d	0	0	0	285	NA
SBS11	0	0.008272040225889305	-0.008272040225889305	270	0.5794469212988631
SBS13	0	0.006519711623338657	-0.006519711623338657	261	0.4709567426671939
SBS14	0	0.003894949098624293	-0.003894949098624293	279	0.7433526690881059
SBS15	0	0.046681004552911035	-0.046681004552911035	216	0.18027614424889232
SBS18	0.06674180939832335	0.06561340053825643	0.0011284088600669179	313	0.6799779001810675
SBS20	0	0.0034218363762281373	-0.0034218363762281373	279	0.7433526690881059
SBS21	0	0.009311995846998643	-0.009311995846998643	267	0.5394386235755547
SBS25	0	0.01601429143439181	-0.01601429143439181	255	0.4135052545433786
SBS26	0	0.019970943765319892	-0.019970943765319892	249	0.36409802617999937
SBS30	0.010672174977696855	0.013191505952207446	-0.0025193309745105905	305.5	0.560961805038672
SBS31	0	0.016537088306346186	-0.016537088306346186	255	0.4135052545433786
SBS32	0	0.005961552342015523	-0.005961552342015523	264	0.5035527446643965
SBS35	0	0.008657105337277014	-0.008657105337277014	261	0.4709567426671939
SBS36	0	0.0025380888401813693	-0.0025380888401813693	279	0.7433526690881059
SBS44	0	0	0	285	NA
SBS84	0	0.004781684779072194	-0.004781684779072194	276	0.67798011061786
SBS85	0.08321649357089049	0.05756073697448223	0.025655756596408258	337.5	0.4380743246637539
SBS86	0	0.0032843975876477674	-0.0032843975876477674	273	0.6248776539235232
SBS87	0	0.035901812710410354	-0.035901812710410354	231	0.24926939740381288
SBS90	0	0.0010925517714583614	-0.0010925517714583614	282	0.8341149529029596
