signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.08878318479518765	0.10357277569596587	-0.014789590900778221	5076	0.23495660052332829
SBS2	0.006436992444120634	4.089374630496601e-4	0.006028054981070974	6561	4.681311912725177e-4
SBS3	0.2552388722291497	0.27252771252447694	-0.017288840295327235	5404	0.4083411523995563
SBS5	0.12137336496627468	0.22470676613103258	-0.1033334011647579	3498	0.003931359402213865
SBS6	0.031218841561328023	0.009403304652460953	0.02181553690886707	7209	0.03516212504910178
SBS9	0.10439166751692087	0.06389621636531279	0.04049545115160809	6137	0.963658166845423
SBS10a	0	0	0	6172.5	NA
SBS10b	0	4.0963251350525535e-4	-4.0963251350525535e-4	6135	0.7652719660621614
SBS10c	0.004219331192922083	0.0024418721026220015	0.0017774590903000811	6388	0.4410280602683998
SBS10d	0	8.38980930649599e-5	-8.38980930649599e-5	6165	0.899729181651994
SBS11	0	0.001597095018792898	-0.001597095018792898	6120	0.7225481629662012
SBS13	0.008891596883057669	0.0013918142562585278	0.00749978262679914	6485	0.1436624895306915
SBS14	0.033969919552245625	5.322224101475095e-4	0.03343769714209811	6974	1.0228891675682257e-10
SBS15	0.027601897632888957	0.00881647181007085	0.018785425822818107	6596	0.3120745657509067
SBS18	0.030293805569540755	0.0490599277555917	-0.01876612218605094	5234.5	0.26210762774773716
SBS20	0.006238510485237392	0.0011508342571419352	0.005087676228095457	6530	0.022517533869233126
SBS21	0.007934120491273991	0.0017759331438375586	0.006158187347436433	6495	0.10541521256844183
SBS25	0.011533269867863414	0.006584323587171665	0.0049489462806917486	6269	0.7913808044904903
SBS26	0.006905653592145656	0.006053280175558244	8.523734165874122e-4	6312	0.6742394464587198
SBS30	0.016418202945722837	0.010321800301460808	0.006096402644262028	6731	0.2796231293977702
SBS31	0	0.00962867909978901	-0.00962867909978901	5917.5	0.42290642141125945
SBS32	0	0.002616407203535603	-0.002616407203535603	5977.5	0.48580527831869497
SBS35	0	0.0038135735876964304	-0.0038135735876964304	5962.5	0.4688736798764007
SBS36	0.004300012938635282	6.78358711929579e-4	0.003621654226705703	6536	0.01319142496589967
SBS44	0	0.0022329741639975933	-0.0022329741639975933	6000	0.5130155541631285
SBS84	0.008869551943187158	0.004028953388026373	0.004840598555160785	6369	0.5188086090609583
SBS85	0.06043300948211059	0.07312913144117289	-0.0126961219590623	5596	0.5184903164097558
SBS86	0	7.957373766094946e-4	-7.957373766094946e-4	6112.5	0.7037570364802203
SBS87	0	0.006348183342535329	-0.006348183342535329	5932.5	0.43749695694732627
SBS90	0.004172447419855359	0.0025405288117062784	0.0016319186081490806	6456	0.21224924918948274
