signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.10238114567805572	0.13044902756987542	-0.028067881891819704	782	0.21438691143882133
SBS2	0	0.0010056571226535313	-0.0010056571226535313	940	0.6629166175161068
SBS3	0.21127609754430962	0.20735912837192927	0.003916969172380352	939	0.9375032340033985
SBS5	0.20198506728764992	0.16267369966616563	0.039311367621484294	948	0.9910629283795948
SBS6	0.00797277958267083	0.016096774624734897	-0.008123995042064068	881.5	0.3614218933344869
SBS9	0.00862602990134419	0.010344846599783113	-0.0017188166984389228	962	0.8621589526547176
SBS10a	0	0	0	950	NA
SBS10b	0	0.0022037820344185236	-0.0022037820344185236	920	0.4304984064932171
SBS10c	0	0.0027464073330854192	-0.0027464073330854192	920	0.4304984064932171
SBS10d	0	0	0	950	NA
SBS11	0	0.008272040225889305	-0.008272040225889305	900	0.3012790200290466
SBS13	0.0076734316442335655	0.006519711623338657	0.0011537200208949086	964	0.8384922170742908
SBS14	0	0.003894949098624293	-0.003894949098624293	930	0.5251464920280626
SBS15	0.01588119405158302	0.046681004552911035	-0.030799810501328014	819	0.18205449713499128
SBS18	0.07084376253093108	0.06561340053825643	0.005230361992674654	936	0.9164730733716991
SBS20	0	0.0034218363762281373	-0.0034218363762281373	930	0.5251464920280626
SBS21	0.01351890323439959	0.009311995846998643	0.0042069073874009474	986	0.5525666563288445
SBS25	0.0031509636522232217	0.01601429143439181	-0.01286332778216859	892.5	0.4098153385939996
SBS26	0.012518078146014638	0.019970943765319892	-0.007452865619305254	925	0.7502581917202652
SBS30	0.008841046728478354	0.013191505952207446	-0.004350459223729092	962	0.8621589526547176
SBS31	0.01943913538443521	0.016537088306346186	0.0029020470780890227	989.5	0.600670319786349
SBS32	0.0065858896863180885	0.005961552342015523	6.243373443025656e-4	973	0.7214785010297657
SBS35	0.007914882031330336	0.008657105337277014	-7.422233059466779e-4	964	0.8384922170742908
SBS36	0	0.0025380888401813693	-0.0025380888401813693	930	0.5251464920280626
SBS44	0	0	0	950	NA
SBS84	0.006300048224743633	0.004781684779072194	0.001518363445671439	967	0.7013178616316929
SBS85	0.03659127355134986	0.05756073697448223	-0.02096946342313237	743	0.10866200941528638
SBS86	0.010451023385245051	0.0032843975876477674	0.0071666257975972845	1006	0.28792130838204144
SBS87	0.05429739027511783	0.035901812710410354	0.01839557756470748	1004.5	0.568424714090018
SBS90	0.039489639938137665	0.0010925517714583614	0.038397088166679305	988	0.22171320937544495
