signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.10004901834776089	0.10330366044387577	-0.003254642096114882	57181	0.5281739934590818
SBS2	0.0018858825952418436	1.449733333112071e-4	0.0017409092619306366	59881	0.008661493403637597
SBS3	0.24968367541314657	0.24474093161052865	0.004942743802617916	59813.5	0.771737891896504
SBS5	0.21939818713132772	0.22563609492688466	-0.006237907795556941	57374.5	0.5754135944830615
SBS6	0.0068687569784502385	0.010788096063811117	-0.003919339085360878	56146.5	0.06369329655138888
SBS9	0.05696055194879877	0.06659021333619215	-0.009629661387393386	56493	0.29609509678073886
SBS10a	0	0	0	58980.5	NA
SBS10b	0	5.137545652731532e-4	-5.137545652731532e-4	58533	0.2432644363440036
SBS10c	0.0016160354849625678	0.002825842331403151	-0.0012098068464405831	58234	0.3957890363261361
SBS10d	0	1.0397352925909276e-4	-1.0397352925909276e-4	58891	0.6042743058240627
SBS11	4.1653023524607866e-4	0.0018838277120784184	-0.0014672974768323397	58772	0.6459155614749104
SBS13	0.00253458875760834	0.0011484763479214799	0.0013861124096868603	59412.5	0.49853692404516947
SBS14	0.0028466413032608062	6.646722967396059e-4	0.0021819690065212004	59372	0.30740533480845667
SBS15	0.0067685082546179234	0.009877270274362731	-0.0031087620197448075	57699.5	0.3258352208301011
SBS18	0.04637283779084672	0.05104405160122926	-0.004671213810382539	58043	0.7186460723158176
SBS20	0.0016424535664337117	0.001132047830522859	5.104057359108527e-4	59518	0.266906279236955
SBS21	0.002968240176561279	0.001592245507448534	0.001375994669112745	59908	0.13156727497824702
SBS25	0.007567699282020947	0.0068591259803184035	7.085733017025437e-4	59704.5	0.5315967326540684
SBS26	0.004943233703103797	0.006653662415877011	-0.0017104287127732137	58413	0.5885596582247796
SBS30	0.012143207096024483	0.010821134643182441	0.0013220724528420422	60462.5	0.3677353522709188
SBS31	0.012178144103309259	0.008940256345930984	0.0032378877573782747	59563	0.564035648986358
SBS32	0.003350401957568145	0.002558249967042584	7.921519905255609e-4	59421	0.6226343879103626
SBS35	0.005353667764400763	0.003324538765329703	0.0020291289990710597	60250	0.1558059378412599
SBS36	7.960402523890978e-4	7.398331547892706e-4	5.620709759982727e-5	59189	0.6459155614749104
SBS39	0.0203654696127052	0.01759600431926781	0.002769465293437391	59855	0.6384966805206885
SBS44	0.002659992273180882	0.0024085536047629276	2.5143866841795433e-4	59161.5	0.8342535472654143
SBS84	0.0027797534981700506	0.004476529864801526	-0.0016967763666314757	58301	0.46964445654157
SBS85	0.06893981236237669	0.07388413017122676	-0.004944317808850074	57898	0.6945788857309968
SBS86	7.202879937499227e-4	4.731538286754374e-4	2.4713416507448537e-4	59279.5	0.47662016842549093
SBS87	0.006305378709702283	0.0058370274032723615	4.683513064299219e-4	58805.5	0.8502650562555258
SBS90	0.007479924168300123	0.001216191908246428	0.006263732260053695	60801	0.009453963808264463
