signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.12483355071532432	0.12940711090307036	-0.004573560187746045	266.5	0.7643362170958925
SBS2	0	9.951815276258904e-4	-9.951815276258904e-4	285	0.834968706358955
SBS3	0.3571218605870803	0.19592948322680065	0.16119237736027964	432	0.038951883791431344
SBS5	0.23339706971175372	0.1611985895530376	0.07219848015871613	383	0.17443750569898955
SBS6	0	0.015988116802245402	-0.015988116802245402	252	0.3668750716756996
SBS9	0.020707310497374908	0.010438114714143501	0.010269195783231407	312	0.4969345383117145
SBS10a	0	0	0	288	NA
SBS10b	0	0.0021986227961100506	-0.0021986227961100506	279	0.6795977275819391
SBS10c	0	0.0027177989127741674	-0.0027177989127741674	279	0.6795977275819391
SBS10d	0	0	0	288	NA
SBS11	0	0.008202458283901995	-0.008202458283901995	273	0.5815036640682563
SBS13	0	0.006388769937639424	-0.006388769937639424	264	0.4734309956860986
SBS14	0	0.00385437671218029	-0.00385437671218029	282	0.7446581048932992
SBS15	0	0.04501907419659355	-0.04501907419659355	222	0.19536965049099478
SBS18	0.06674180939832335	0.06711638011022529	-3.745707119019448e-4	310	0.7505543956992018
SBS20	0	0.003386192301097943	-0.003386192301097943	282	0.7446581048932992
SBS21	0	0.009214995832839	-0.009214995832839	270	0.5416590836234536
SBS25	0	0.019473856332056075	-0.019473856332056075	252	0.3668750716756996
SBS26	0	0.020672464847249186	-0.020672464847249186	249	0.34465191305673776
SBS30	0.010672174977696855	0.013061268373937842	-0.0023890933962409863	309	0.5534494760494739
SBS31	0	0.01701403375915933	-0.01701403375915933	255	0.390647311584146
SBS32	0	0.006629805199769182	-0.006629805199769182	264	0.4734309956860986
SBS35	0	0.007835455027145687	-0.007835455027145687	267	0.5059108418598617
SBS36	0	0.0025116502207318554	-0.0025116502207318554	282	0.7446581048932992
SBS39	0	0.010969017690008076	-0.010969017690008076	261	0.44365086591605
SBS44	0	0	0	288	NA
SBS84	0	0.004731875562623525	-0.004731875562623525	279	0.6795977275819391
SBS85	0.08321649357089049	0.059523001809082245	0.023693491761808246	338	0.4642120770090892
SBS86	0	0.003248003886428263	-0.003248003886428263	276	0.6267375011053451
SBS87	0	0.03436989849672912	-0.03436989849672912	237	0.2685164543512202
SBS90	0	0.0010296168397215153	-0.0010296168397215153	285	0.834968706358955
