signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.10252022354790939	0.12940711090307036	-0.02688688735516097	793	0.22131250278266645
SBS2	0	9.951815276258904e-4	-9.951815276258904e-4	950	0.6645689908086696
SBS3	0.18928342862887182	0.19592948322680065	-0.00664605459792883	905.5	0.6878332300782269
SBS5	0.2032100224181304	0.1611985895530376	0.04201143286509282	974	0.9203965378553699
SBS6	0.008214938709662414	0.015988116802245402	-0.0077731780925829885	892	0.36769684944748104
SBS9	0.00860062012067176	0.010438114714143501	-0.0018374945934717408	972	0.8629188513832491
SBS10a	0	0	0	960	NA
SBS10b	0	0.0021986227961100506	-0.0021986227961100506	930	0.4329445254096861
SBS10c	0	0.0027177989127741674	-0.0027177989127741674	930	0.4329445254096861
SBS10d	0	0	0	960	NA
SBS11	0	0.008202458283901995	-0.008202458283901995	910	0.3038841119123567
SBS13	0.007603885998020009	0.006388769937639424	0.0012151160603805847	975	0.8276617141620135
SBS14	0	0.00385437671218029	-0.00385437671218029	940	0.5273279268933057
SBS15	0.015669017516947045	0.04501907419659355	-0.02935005667964651	839	0.21346780394395498
SBS18	0.07199857122441611	0.06711638011022529	0.0048821911141908175	937.5	0.8661404075703112
SBS20	0	0.003386192301097943	-0.003386192301097943	940	0.5273279268933057
SBS21	0.013518903325004328	0.009214995832839	0.0043039074921653285	997	0.5436543191159395
SBS25	0.0031509636522232217	0.019473856332056075	-0.016322892679832852	882	0.30102064108129634
SBS26	0.01220318278178154	0.020672464847249186	-0.008469282065467645	927	0.6837109051832715
SBS30	0.009387327403272767	0.013061268373937842	-0.003673940970665075	973	0.851132459586036
SBS31	0.019723820145084864	0.01701403375915933	0.0027097863859255333	992.5	0.6793456114400472
SBS32	0.0065858896863180885	0.006629805199769182	-4.391551345109355e-5	974	0.8393792310907343
SBS35	0.008704397751260425	0.007835455027145687	8.689427241147379e-4	986	0.6878452665553134
SBS36	0	0.0025116502207318554	-0.0025116502207318554	940	0.5273279268933057
SBS39	0.024262755138965728	0.010969017690008076	0.013293737448957652	1020.5	0.4067139548543231
SBS44	0	0	0	960	NA
SBS84	0.006300048224743633	0.004731875562623525	0.0015681726621201084	977.5	0.6942779657490299
SBS85	0.036883030721466946	0.059523001809082245	-0.0226399710876153	755	0.11496816447471489
SBS86	0.003301786255947625	0.003248003886428263	5.3782369519362206e-5	967	0.8926053552830872
SBS87	0.05279064092538552	0.03436989849672912	0.0184207424286564	1024.5	0.49408046104917747
SBS90	0.039489639938137665	0.0010296168397215153	0.038460023098416146	998.5	0.21803667456413403
