signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.10446752104698485	0.13389235773762873	-0.02942483669064387	1304.5	0.13080073751802251
SBS2	0	0.0010272841575493061	-0.0010272841575493061	1564	0.5572990995638659
SBS3	0.23002306460201857	0.19443207054460254	0.03559099405741603	1718	0.44960376401993485
SBS5	0.1778919940099301	0.1642829008974975	0.013609093112432608	1597	0.9319624467365472
SBS6	0.011673163374564265	0.01650386250554364	-0.004830699130979374	1478	0.30463959132316776
SBS9	0.013236518535626051	0.010774828092019099	0.0024616904436069523	1628	0.6178282353159872
SBS10a	0	0	0	1581	NA
SBS10b	0	0.002269546112113601	-0.002269546112113601	1530	0.295910442382541
SBS10c	0	0.002805469845444302	-0.002805469845444302	1530	0.295910442382541
SBS10d	0	0	0	1581	NA
SBS11	0	0.008467053712414963	-0.008467053712414963	1496	0.1720738997998345
SBS13	0.004472874116482358	0.006594859290466502	-0.0021219851739841438	1537	0.6120393256576091
SBS14	0.014986729214226011	0.0039787114448312675	0.011008017769394744	1640	0.29244124389413884
SBS15	0.021394376906831623	0.046471302396483664	-0.02507692548965204	1403	0.17040261763387235
SBS18	0.07518317183561808	0.06435673261496597	0.010826439220652115	1667	0.6254521709295591
SBS20	0.0027318267621957693	0.00349542431081078	-7.635975486150106e-4	1593.5	0.8038445118288984
SBS21	0.011452643349094013	0.00951225376293058	0.0019403895861634327	1618.5	0.6506316970716549
SBS25	0.0018535080307195422	0.016617636966860302	-0.01476412893614076	1435	0.11848361644696838
SBS26	0.015365974651737082	0.019418701170805117	-0.004052726519068035	1565	0.883606136754443
SBS30	0.009524751250986794	0.013908451851029534	-0.00438370060004274	1621	0.6716950366764587
SBS31	0.015263558924208616	0.01622432946621398	-9.607705420053639e-4	1593	0.9083086397519409
SBS32	0.0038740527566576994	0.006843669883632704	-0.002969617126975004	1536	0.6038837836982303
SBS35	0.005120233971329662	0.00808821164092458	-0.0029679776695949187	1555	0.7549468137575064
SBS36	0	0.002592671195594173	-0.002592671195594173	1547	0.3976341395487412
SBS39	0.016062382151351383	0.01066838503090476	0.0053939971204466225	1632	0.5879222404676794
SBS44	0	0	0	1581	NA
SBS84	0.007618948342431766	0.005945881202743155	0.0016730671396886108	1606	0.7166918557430779
SBS85	0.04568444429939006	0.05615323627285208	-0.010468791973462024	1409	0.3248807601384666
SBS86	0.001942227209380956	0.0033527782053453035	-0.0014105509959643475	1558.5	0.7221902715112795
SBS87	0.031053318191403244	0.035478604899849414	-0.00442528670844617	1519	0.6115897226695599
SBS90	0.023229199963610392	0.0010628302861641447	0.022166369677446247	1611	0.4563584155481444
