signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.1226635922323786	0.1262103319964192	-0.0035467397640406018	405.5	0.8817903940016668
SBS2	0	7.961452221007123e-4	-7.961452221007123e-4	416.5	0.8359944985248412
SBS3	0.3347150944413794	0.19633300913355844	0.13838208530782098	599	0.0550754136968184
SBS5	0.23177423488682214	0.16420181612997614	0.067572418756846	563	0.12779334347506296
SBS6	0	0.016097889731256195	-0.016097889731256195	371	0.3459906167815938
SBS9	0.017749123283464206	0.011065473164873437	0.0066836501185907685	442	0.6544590807038573
SBS10a	0	0	0	420	NA
SBS10b	0	0.0017588982368880405	-0.0017588982368880405	409.5	0.6879963416143204
SBS10c	0	0.002174239130219334	-0.002174239130219334	409.5	0.6879963416143204
SBS10d	0	0	0	420	NA
SBS11	0	0.006561966627121596	-0.006561966627121596	402.5	0.5940163088316567
SBS13	0	0.006378330283114874	-0.006378330283114874	385	0.43515250064669103
SBS14	0	0.007329741313774935	-0.007329741313774935	406	0.6373800926639426
SBS15	0	0.042076999480877134	-0.042076999480877134	329	0.1750582711935735
SBS18	0.08852414607828994	0.0660144579421235	0.02250968813616644	505	0.34927478639528625
SBS20	0	0.003482971423500489	-0.003482971423500489	409.5	0.6879963416143204
SBS21	0	0.010616912281847838	-0.010616912281847838	388.5	0.46161601583352446
SBS25	0	0.013403829258020606	-0.013403829258020606	378	0.3876284555080131
SBS26	0	0.01940318622536614	-0.01940318622536614	364	0.30913027610932275
SBS30	0.00914757855231159	0.012944120956775971	-0.0037965424044643804	437	0.7312308299683807
SBS31	0	0.01689853036484161	-0.01689853036484161	371	0.3459906167815938
SBS32	0	0.00640149244086836	-0.00640149244086836	385	0.43515250064669103
SBS35	0	0.007719096980259954	-0.007719096980259954	388.5	0.46161601583352446
SBS36	0	0.0020093201765854843	-0.0020093201765854843	413	0.7501636104220496
SBS39	0	0.012819006675167414	-0.012819006675167414	378	0.3876284555080131
SBS44	0	0	0	420	NA
SBS84	0	0.0067667599624816116	-0.0067667599624816116	399	0.5557874993940903
SBS85	0.0855487987543221	0.05147233740228543	0.03407646135203667	545	0.16556265612003412
SBS86	0	0.0031487008184672145	-0.0031487008184672145	402.5	0.5940163088316567
SBS87	0	0.03629435895161422	-0.03629435895161422	343	0.22037442650816438
SBS90	0	0.00740530012813349	-0.00740530012813349	413	0.7501636104220496
