hallmark	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_ADIPOGENESIS	-0.04542352165384615	-0.047099632714285716	0.001676111060439564	627	0.9163473809928994
HALLMARK_ALLOGRAFT_REJECTION	-0.01986054226923077	-0.16230164128571428	0.1424410990164835	751	0.20787283850359622
HALLMARK_ANDROGEN_RESPONSE	-0.03414019407692308	-0.04657331589795918	0.012433121821036106	676	0.6702267047615698
HALLMARK_ANGIOGENESIS	-0.05954821750000001	-0.11135025946938776	0.05180204196938775	690	0.5613121352793734
HALLMARK_APICAL_JUNCTION	-0.008225179153846154	-0.0910562068367347	0.08283102768288854	788	0.09399233278673977
HALLMARK_APICAL_SURFACE	-0.0493203845	-0.1419207236122449	0.09260033911224488	807	0.05882723013049112
HALLMARK_APOPTOSIS	-0.009350923500000002	-0.09203606263265306	0.08268513913265306	754	0.1960180253467903
HALLMARK_BILE_ACID_METABOLISM	-0.10832781857692309	-0.028424296734693877	-0.07990352184222921	482	0.08546434314490568
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.04134274246153846	-0.03884822575510204	-0.0024945167064364254	627	0.9163473809928994
HALLMARK_COAGULATION	-0.0053207205769230746	-0.12038586473469388	0.1150651441577708	773	0.13208786177019133
HALLMARK_COMPLEMENT	0.008782371076923073	-0.11890698228571428	0.12768935336263734	790	0.08964787296482533
HALLMARK_DNA_REPAIR	0.09254929692307692	0.11607031716326531	-0.023521020240188387	598	0.6702267047615698
HALLMARK_E2F_TARGETS	0.24890536680769232	0.21197662312244897	0.03692874368524335	631	0.9515111648202831
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.05170310707692308	-0.1809440853469388	0.1292409782700157	756	0.18839109586290761
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.0816338765	-0.1290397514897959	0.04740587498979591	722	0.3492138163777464
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.07666663223076922	-0.1429615927346939	0.06629496050392467	746	0.22875442972780619
HALLMARK_FATTY_ACID_METABOLISM	-0.03444363384615385	-0.001633911102040816	-0.032809722744113035	578	0.5173716069542382
HALLMARK_G2M_CHECKPOINT	0.249374646	0.20515243108163267	0.044222214918367336	647	0.9163473809928994
HALLMARK_GLYCOLYSIS	0.04546934926923077	-0.025509797469387755	0.07097914673861852	741	0.25106629215907195
HALLMARK_HEDGEHOG_SIGNALING	0.027921212307692306	-0.04546820408163265	0.07338941638932496	767	0.15027004682506528
HALLMARK_HEME_METABOLISM	-0.004319510653846152	-0.02135219651020408	0.017032685856357928	664	0.7694880001084451
HALLMARK_HYPOXIA	0.0012297370769230773	-0.09328497810204082	0.0945147151789639	752	0.20386558965612406
HALLMARK_IL2_STAT5_SIGNALING	-0.013304158730769226	-0.1314418537142857	0.11813769498351648	788	0.09399233278673977
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.02022090292307692	-0.1481641342857143	0.16838503720879122	779	0.115636226828626
HALLMARK_INFLAMMATORY_RESPONSE	-0.006335180307692313	-0.1654440055510204	0.1591088252433281	781	0.11052047028894531
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.08525978376923077	-0.06200659410204082	0.1472663778712716	761	0.17027255560295748
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.04469797234615385	-0.10641177253061225	0.1511097448767661	772	0.1349955379080014
HALLMARK_KRAS_SIGNALING_DN	-0.11131041776923077	-0.09831437220408164	-0.012996045565149134	606	0.7358912867381998
HALLMARK_KRAS_SIGNALING_UP	0.00586378030769231	-0.09750888653061225	0.10337266683830457	789	0.09179974613113553
HALLMARK_MITOTIC_SPINDLE	0.16847549838461537	0.13824901669387754	0.030226481690737828	654	0.8552375150921745
HALLMARK_MTORC1_SIGNALING	0.08996696423076923	0.05969783955102041	0.03026912467974882	673	0.6945924508743094
HALLMARK_MYC_TARGETS_V1	0.16848554584615386	0.15861952459183673	0.009866021254317126	629	0.9339133742122014
HALLMARK_MYC_TARGETS_V2	0.1788493833846154	0.1515221726122449	0.02732721077237049	664	0.7694880001084451
HALLMARK_MYOGENESIS	-0.08614528757692308	-0.1423948889387755	0.05624960136185242	735	0.27976105437772025
HALLMARK_NOTCH_SIGNALING	0.09270679011538462	0.10508894169387756	-0.012382151578492942	595	0.6461984240684632
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0047257296923076935	0.022086243857142862	-0.017360514164835167	617	0.8292860816602643
HALLMARK_P53_PATHWAY	-0.05491217584615385	-0.08824479387755102	0.03333261803139717	706	0.44824766957821616
HALLMARK_PANCREAS_BETA_CELLS	0.052250011769230775	0.011514212000000001	0.04073579976923077	713	0.4031148207206665
HALLMARK_PEROXISOME	-0.014801581538461537	-0.00476994318367347	-0.010031638354788066	624	0.8900763673819684
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.07078225019230769	0.00724946606122449	0.0635327841310832	739	0.26039702588020586
HALLMARK_PROTEIN_SECRETION	0.08275393584615386	0.09143709910204081	-0.008683163255886958	669	0.7275665922721042
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.03763196069230769	-0.11704563544897958	0.1546775961412873	819	0.042788626707886
HALLMARK_SPERMATOGENESIS	-0.001459695	0.004368261918367347	-0.005827956918367346	623	0.8813443231541844
HALLMARK_TGF_BETA_SIGNALING	0.05817892253846154	-0.06674917781632653	0.12492810035478807	817	0.045175503361671095
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.02186849019230769	-0.12645604212244899	0.1045875519301413	723	0.34351697101485923
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.07670446788461538	0.09490755634693877	-0.018203088462323394	624	0.8900763673819684
HALLMARK_UV_RESPONSE_DN	-0.060663968653846156	-0.07116085667346939	0.01049688801962323	642	0.9603193470196947
HALLMARK_UV_RESPONSE_UP	0.045389492384615385	-0.013437235979591837	0.05882672836420722	728	0.3159175378355284
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.056394411923076926	0.042825704673469384	0.013568707249607542	659	0.8120848406961998
HALLMARK_XENOBIOTIC_METABOLISM	-0.05098449019230769	-0.06716374681632653	0.01617925662401884	674	0.6864343878469805
