hallmark	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_ADIPOGENESIS	-0.14936918657894738	0.025478577611111112	-0.17484776419005849	658	0.01299101492834016
HALLMARK_ALLOGRAFT_REJECTION	-0.08821251142105263	-0.06749020241666667	-0.020722309004385958	965	0.68258870904139
HALLMARK_ANDROGEN_RESPONSE	-0.10789830989473685	0.024371689629629628	-0.13226999952436647	715	0.0358398586426219
HALLMARK_ANGIOGENESIS	-0.11394188942105264	-0.017807996287037036	-0.0961338931340156	837	0.20262298971350193
HALLMARK_APICAL_JUNCTION	-0.08174682257894737	-0.0021858304907407425	-0.07956099208820663	828	0.18189365705830618
HALLMARK_APICAL_SURFACE	-0.08567025342105264	-0.0858038565	1.3360307894735857e-4	1015	0.9434201421186207
HALLMARK_APOPTOSIS	-0.07803217247368421	0.0018973103055555552	-0.07992948277923977	870	0.29323120630532784
HALLMARK_BILE_ACID_METABOLISM	-0.15399101342105262	-0.05506015851851852	-0.0989308549025341	741	0.05448007962373891
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.12735776252631578	0.05384121149074074	-0.18119897401705654	643	0.009726498300887563
HALLMARK_COAGULATION	-0.09201084452631579	-0.01600870533333333	-0.07600213919298246	869	0.2901380371671274
HALLMARK_COMPLEMENT	-0.06108282584210527	-0.02507442000925926	-0.03600840583284601	948	0.60038982553716
HALLMARK_DNA_REPAIR	-0.007237026052631575	0.13398325412962964	-0.1412202801822612	756	0.06851397377322344
HALLMARK_E2F_TARGETS	0.18886464521052632	0.25943244685185185	-0.07056780164132553	967	0.6925368517850566
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.1327569790526316	-0.010329181185185188	-0.1224277978674464	821	0.16689136363412085
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.12173417	-0.0442491105	-0.07748505950000001	806	0.1379017759189184
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.12889932263157894	-0.04846615969444445	-0.08043316293713448	810	0.14522318818904142
HALLMARK_FATTY_ACID_METABOLISM	-0.09919577415789474	0.026806228962962964	-0.12600200312085771	735	0.049581706582032585
HALLMARK_G2M_CHECKPOINT	0.19371613542105262	0.2602021567962963	-0.0664860213752437	973	0.7226949565598155
HALLMARK_GLYCOLYSIS	-0.0579649682631579	0.06959304025925926	-0.12755800852241717	754	0.06648645551936011
HALLMARK_HEDGEHOG_SIGNALING	-0.07001211384210526	-0.024333385731481482	-0.045678728110623776	912	0.4429791764783003
HALLMARK_HEME_METABOLISM	-0.0712101312631579	0.009384931407407407	-0.0805950626705653	786	0.10548285574819796
HALLMARK_HYPOXIA	-0.07252593336842106	0.0233851200462963	-0.09591105341471735	836	0.2002381708972947
HALLMARK_IL2_STAT5_SIGNALING	-0.06959690510526316	-0.023108946805555555	-0.0464879582997076	916	0.4592179413978998
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.029364472315789474	-0.03174374334259259	0.0023792710268031175	1023	0.9865179366922889
