pathway	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
KEGG_ABC_TRANSPORTERS	-0.2608070897142857	-0.281705326907563	0.020898237193277325	460	0.6469757465274852
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.009504891000000005	-0.09529269871428571	0.08578780771428571	485	0.4689259114051602
KEGG_ADHERENS_JUNCTION	-0.026506418857142857	-0.01880102743697479	-0.007705391420168066	386	0.7493381019812223
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	-0.20555987757142857	-0.24545039994117648	0.03989052236974791	483	0.4821012719768987
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.15668588328571428	0.1306310128907563	0.02605487039495799	483	0.4821012719768987
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.08769482171428572	-0.01348399455462185	0.10117881626890757	535	0.20884483138337664
KEGG_ALLOGRAFT_REJECTION	-0.8060274394285715	-0.7937449034033613	-0.012282536025210122	313	0.2726448604065886
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.09011453514285715	-0.05842851030252101	0.14854304544537816	578	0.08639735383248222
KEGG_ALZHEIMERS_DISEASE	-0.05601750414285714	-0.12526284057983195	0.06924533643697481	475	0.5367574947052827
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.21028805471428572	0.10834696546218488	0.10194108925210084	500	0.3767049051667994
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-0.1607858917142857	-0.1921801987142857	0.03139430700000001	417	1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	-0.13078228442857143	-0.1945113884789916	0.06372910405042018	516	0.2917042008353326
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	-0.8170005161428572	-0.8407660028655463	0.023765486722689078	602	0.048801071403982564
KEGG_APOPTOSIS	-0.08655576742857143	-0.17062739505882352	0.08407162763025208	497	0.394195958209361
KEGG_ARACHIDONIC_ACID_METABOLISM	0.04204299342857143	-0.09145184259663866	0.1334948360252101	568	0.1077888282430732
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.17449182157142856	0.09342467120168067	0.08106715036974789	535	0.20884483138337664
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.10833578771428572	0.04389291519327731	0.06444287252100842	481	0.49547538285416937
