hallmark	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_ADIPOGENESIS	-0.12528520057142858	-0.06198894747043011	-0.06329625310099848	538	0.2385969743874183
HALLMARK_ALLOGRAFT_REJECTION	-0.17157071364285714	-0.13421636967741934	-0.0373543439654378	581	0.46658195964124644
HALLMARK_ANDROGEN_RESPONSE	-0.11417527704761905	-0.03531340629301075	-0.0788618707546083	514	0.15274158184108458
HALLMARK_ANGIOGENESIS	-0.23414678664285715	-0.1280276610860215	-0.10611912555683564	515	0.15577110990220958
HALLMARK_APICAL_JUNCTION	-0.11198012135714286	-0.07171803956989248	-0.04026208178725038	572	0.41088811813979303
HALLMARK_APICAL_SURFACE	-0.13307999826190475	-0.14794305387096773	0.01486305560906298	694	0.6561669525698202
HALLMARK_APOPTOSIS	-0.1364203133095238	-0.08635823548655915	-0.050062077822964665	574	0.4229113363614443
HALLMARK_BILE_ACID_METABOLISM	-0.1489021326904762	-0.08634097169354839	-0.06256116099692781	506	0.13009714125101932
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.10410608983333333	-0.033556765596774195	-0.07054932423655913	514	0.15274158184108458
HALLMARK_COAGULATION	-0.17396578964285714	-0.1107984496827957	-0.06316733996006144	555	0.31710907616909956
HALLMARK_COMPLEMENT	-0.1280351662857143	-0.09120989855913979	-0.036825267726574504	595	0.5609750909106159
HALLMARK_DNA_REPAIR	0.11303091116666666	0.10323800893010752	0.00979290223655914	688	0.70219578767498
HALLMARK_E2F_TARGETS	0.3485288261904762	0.3387912683790323	0.00973755781144392	717	0.49261889460063085
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.240408266	-0.13309051230107527	-0.10731775369892474	523	0.18166881644535882
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.16193544635714285	-0.12078221439784946	-0.04115323195929339	556	0.3222030778510113
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.15398538842857143	-0.1250576117983871	-0.028927776630184338	579	0.45385552188955974
HALLMARK_FATTY_ACID_METABOLISM	-0.07215914361904763	-0.002891819526881722	-0.0692673240921659	534	0.22231208285645013
HALLMARK_G2M_CHECKPOINT	0.3392126657380952	0.3377193312043011	0.0014933345337941328	720	0.4730186968762545
HALLMARK_GLYCOLYSIS	-0.05484766973809524	-0.009460629938172043	-0.045387039799923194	563	0.3593460935988567
HALLMARK_HEDGEHOG_SIGNALING	-0.028408552976190476	-0.08711782914784946	0.05870927617165898	754	0.2829368687405445
HALLMARK_HEME_METABOLISM	-0.020909955095238093	-0.01676395934139785	-0.004145995753840243	631	0.8381397858347163
HALLMARK_HYPOXIA	-0.14470010321428572	-0.07367212437365592	-0.07102797884062981	548	0.2829368687405445
HALLMARK_IL2_STAT5_SIGNALING	-0.15436013338095236	-0.09153438900806452	-0.06282574437288785	556	0.3222030778510113
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.14031668495238095	-0.099351609577957	-0.040965075374423954	598	0.5823419491434381
HALLMARK_INFLAMMATORY_RESPONSE	-0.17310230488095238	-0.12122368720967742	-0.051878617671274954	573	0.4168741643199207
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.08541373004761904	-0.013943470190860216	-0.07147025985675882	594	0.5539380861538857
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.11978639852380953	-0.06106037464247312	-0.05872602388133641	586	0.499247743266567
HALLMARK_KRAS_SIGNALING_DN	-0.12236768483333334	-0.11574574438709677	-0.006621940446236568	605	0.6336198186960154
HALLMARK_KRAS_SIGNALING_UP	-0.11989957095238095	-0.08836876774193549	-0.03153080321044546	591	0.5330900057041853
HALLMARK_MITOTIC_SPINDLE	0.23022710483333333	0.22071851621774194	0.009508588615591396	711	0.5330900057041853
HALLMARK_MTORC1_SIGNALING	0.007858944452380952	0.06873509848655913	-0.06087615403417818	583	0.4795040010217974
HALLMARK_MYC_TARGETS_V1	0.22526982571428572	0.20814276856989247	0.01712705714439325	698	0.6261777549379445
HALLMARK_MYC_TARGETS_V2	0.2347384376904762	0.22282999284946237	0.011908444841013832	710	0.5399950560988198
HALLMARK_MYOGENESIS	-0.18593852311904763	-0.1511712078655914	-0.03476731525345622	590	0.5262298937075068
HALLMARK_NOTCH_SIGNALING	0.023708871333333333	0.13947647259139784	-0.11576760125806451	462	0.04830859303787453
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.04529730642857143	-0.012366865994623659	-0.03293044043394777	598	0.5823419491434381
HALLMARK_P53_PATHWAY	-0.1536535830952381	-0.1272573416155914	-0.026396241479646698	610	0.6713759716499288
HALLMARK_PANCREAS_BETA_CELLS	0.0024410275238095284	-0.010974766244623655	0.013415793768433184	685	0.7256398299809721
HALLMARK_PEROXISOME	-0.042413384976190474	-0.015413532911290323	-0.026999852064900152	584	0.4860375215237123
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.021592711047619048	0.02748283387903226	-0.00589012283141321	641	0.9207271131085066
HALLMARK_PROTEIN_SECRETION	0.045564104738095246	0.08709508812634409	-0.04153098338824884	628	0.8136653304564604
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	-0.09641438826190477	-0.10390876924193548	0.007494380980030718	640	0.9124145955637333
HALLMARK_SPERMATOGENESIS	0.07902573035714286	0.03722326989247312	0.04180246046466974	801	0.11732596897858873
HALLMARK_TGF_BETA_SIGNALING	-0.02265238892857143	-0.02758401429301075	0.004931625364439321	645	0.9540548237282814
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.18563846964285716	-0.09584142722043011	-0.08979704242242705	549	0.2876596621077683
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.07707808299999999	0.09728183307258065	-0.020203750072580656	658	0.9457130649207945
HALLMARK_UV_RESPONSE_DN	-0.10024671945238095	-0.03484241171774193	-0.06540430773463901	499	0.11250180171692847
HALLMARK_UV_RESPONSE_UP	-0.03690762738095238	-0.02890560119892473	-0.008002026182027649	612	0.6867207772478172
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.06760683866666667	0.062214239349462366	0.005392599317204302	661	0.9207271131085066
HALLMARK_XENOBIOTIC_METABOLISM	-0.13781269804761906	-0.07793347996505376	-0.0598792180825653	530	0.20683891192581882
