hallmark	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_ADIPOGENESIS	0.10801151271302731	-0.06198894742283163	0.17000046013585896	116	0.4817637843564902
HALLMARK_ALLOGRAFT_REJECTION	-0.10550671082215372	-0.1342163696864844	0.028709658864330675	96	0.9376982545098033
HALLMARK_ANDROGEN_RESPONSE	0.1402386536632605	-0.03531340626386325	0.17555205992712375	123	0.3563588354403686
HALLMARK_ANGIOGENESIS	-0.08712513367743571	-0.12802766106918326	0.040902527391747545	100	0.838959755765321
HALLMARK_APICAL_JUNCTION	0.054131995600023526	-0.0717180395907039	0.12585003519072743	120	0.4073706080525183
HALLMARK_APICAL_SURFACE	0.01709098787066113	-0.14794305384864515	0.16503404171930627	143	0.12171119616643584
HALLMARK_APOPTOSIS	0.030109694318508778	-0.08635823549143141	0.1164679298099402	104	0.7426959315045639
HALLMARK_BILE_ACID_METABOLISM	-0.09083650871611593	-0.0863409716693108	-0.004495537046805123	77	0.6279518236300419
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.295033424454488	-0.03355676561160118	0.3285901900660892	148	0.08838908097265606
HALLMARK_COAGULATION	-0.04893202315845357	-0.11079844967680233	0.06186642651834876	102	0.7904280600983324
HALLMARK_COMPLEMENT	-0.03901235789764409	-0.09120989863192963	0.05219754073428554	98	0.8881119105028884
HALLMARK_DNA_REPAIR	0.38217792483397406	0.10323800893193115	0.2789399159020429	143	0.12171119616643584
HALLMARK_E2F_TARGETS	0.5847866012763475	0.33879126838869944	0.24599533288764808	138	0.16413310563501052
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.02259985056244036	-0.13309051230925148	0.15569036287169183	112	0.5629890352780654
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.018033435082891725	-0.12078221433540041	0.13881564941829214	121	0.3899020976896831
HALLMARK_ESTROGEN_RESPONSE_LATE	0.011628861223017864	-0.12505761184384798	0.13668647306686585	108	0.650299315575015
HALLMARK_FATTY_ACID_METABOLISM	0.07684008376228837	-0.0028918195057578123	0.07973190326804619	94	0.9875274699059076
HALLMARK_G2M_CHECKPOINT	0.5723784830995227	0.3377193312257272	0.23465915187379544	147	0.09438795604910281
HALLMARK_GLYCOLYSIS	0.20618400922401123	-0.009460629101733115	0.21564463832574435	130	0.2537940459468172
HALLMARK_HEDGEHOG_SIGNALING	0.09965200502068146	-0.0871178291435594	0.18676983416424087	151	0.07221615469541585
HALLMARK_HEME_METABOLISM	0.12643976749943855	-0.016763959359640777	0.14320372685907934	119	0.42529750029732993
HALLMARK_HYPOXIA	0.08024342954368177	-0.0736721243844506	0.1539155539281324	117	0.4625016041165442
HALLMARK_IL2_STAT5_SIGNALING	-0.03863789098616272	-0.09153438901795843	0.05289649803179571	93	1
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.04963111027236108	-0.09935160952954332	0.04972049925718224	94	0.9875274699059076
HALLMARK_INFLAMMATORY_RESPONSE	-0.036382332923530984	-0.12122368713479147	0.08484135421126049	100	0.838959755765321
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.09635096412749876	-0.013943470268700145	-0.08240749385879861	86	0.838959755765321
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.10460946906121547	-0.06106037459997061	-0.043549094461244865	83	0.7664511905652229
HALLMARK_KRAS_SIGNALING_DN	-0.15937796686783084	-0.1157457443666698	-0.04363222250116104	85	0.814604964520728
HALLMARK_KRAS_SIGNALING_UP	-0.040640063345456896	-0.08836876778057204	0.04772870443511514	101	0.814604964520728
HALLMARK_MITOTIC_SPINDLE	0.418452104965817	0.22071851616215102	0.19773358880366596	145	0.10736262491613331
HALLMARK_MTORC1_SIGNALING	0.33975387426944414	0.06873509848030489	0.27101877578913924	135	0.19445621227350424
HALLMARK_MYC_TARGETS_V1	0.5651922223601242	0.2081427685707684	0.3570494537893558	151	0.07221615469541585
HALLMARK_MYC_TARGETS_V2	0.5020981383580558	0.22282999284112617	0.2792681455169297	155	0.054503400243082825
HALLMARK_MYOGENESIS	-0.05488439528659384	-0.15117120783973786	0.09628681255314403	124	0.34029084779640423
HALLMARK_NOTCH_SIGNALING	0.11624560234128903	0.13947647259146354	-0.023230870250174507	75	0.5842810252049607
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.29848631144362114	-0.012366865984840419	0.3108531774284616	136	0.18392255110469183
HALLMARK_P53_PATHWAY	0.06672050616937622	-0.12725734162177219	0.1939778477911484	123	0.3563588354403686
HALLMARK_PANCREAS_BETA_CELLS	0.029034940911072307	-0.010974766166042213	0.04000970707711452	109	0.6279518236300419
HALLMARK_PEROXISOME	0.10288652085242307	-0.01541353289635288	0.11830005374877595	110	0.6059403506486751
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.26978547437510403	0.027482833893059718	0.2423026404820443	134	0.20542594171627168
HALLMARK_PROTEIN_SECRETION	0.21140246130214535	0.08709508808039952	0.12430737322174583	113	0.5420785996058786
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.1935915799316732	-0.10390876929747292	0.29750034922914614	139	0.15486090853372972
HALLMARK_SPERMATOGENESIS	0.13956438049818162	0.03722326853303492	0.1023411119651467	133	0.21683863096840925
HALLMARK_TGF_BETA_SIGNALING	0.3197035088708292	-0.02758401472376437	0.3472875235945936	150	0.07731405435362845
